Gene = PPP1R35
index = 1062
Annotated 5SS: [425 718 935]
Annotated 3SS: [ 500  797 1031]
SMsplice 5SS: [425 718 935]
SMsplice 3SS: [ 500  797 1031]
top_k =  500
Partition function (log Z): -5.031032997305603

Sorted 5' Splice Sites (High to Low Probability):
Position 718: 0.9401499060512201
Position 425: 0.8819366978178863
Position 935: 0.5624541790457869
Position 28: 0.06576808528180571
Position 851: 0.04458626072147432
Position 839: 0.03633487831874059
Position 79: 0.03258532938982556
Position 866: 0.020194036587601685
Position 531: 0.01461359453071335
Position 32: 0.003255681992118858
Position 710: 0.003180662577160755
Position 943: 0.002982681503343842
Position 501: 0.0010744346930644643
Position 72: 0.0008634096101927099
Position 674: 0.0008333185094755107
Position 708: 0.0007403076002174214
Position 967: 0.0005774781887381632
Position 65: 0.0005715585922476231
Position 757: 0.0004893348109943767
Position 555: 0.0003601407204132914
Position 536: 0.000356252402737443
Position 201: 0.0001867001849413276
Position 251: 0.00017431082519793367
Position 278: 0.00017084948904907068
Position 1000: 0.00014493525270215486
Position 223: 7.515324574127529e-05
Position 1117: 7.416524919476883e-05
Position 126: 5.512971453257304e-05
Position 475: 3.27780309539995e-05
Position 211: 1.9502265016152436e-05
Position 951: 1.809244376139121e-05
Position 204: 1.694434412549367e-05
Position 743: 1.4212372718203879e-05
Position 147: 1.0286393722144418e-05
Position 299: 5.5781407263004914e-06
Position 128: 5.420209500969935e-07
Position 139: 4.130515193620392e-07
Position 579: 3.825208906953588e-08
Position 87: 3.047662147281653e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 797: 0.9278155410380401
Position 500: 0.8286665061586981
Position 1031: 0.5947764843085062
Position 563: 0.07974812511890572
Position 1077: 0.05391215747525051
Position 1158: 0.04381844991778408
Position 178: 0.015759163377571554
Position 624: 0.00994580381417976
Position 998: 0.008764636322834151
Position 913: 0.006076906287765346
Position 611: 0.005614809969954144
Position 820: 0.005572628495100173
Position 592: 0.00478470934577942
Position 299: 0.004625355775764242
Position 548: 0.004180610962205917
Position 345: 0.0032525149184080906
Position 190: 0.0032478822197146697
Position 242: 0.0018033861298710656
Position 1053: 0.0017614327891848339
Position 1034: 0.0011910630261333455
Position 278: 0.0011611464880226185
Position 542: 0.0009512442131905145
Position 1260: 0.0009224154123579983
Position 650: 0.0008760684225287634
Position 215: 0.0007839328883574057
Position 572: 0.0006494731951010074
Position 271: 0.0006445320591445474
Position 934: 0.0005866784690060306
Position 850: 0.0005431626229382751
Position 566: 0.00040227266217359624
Position 587: 0.0003596243788460211
Position 352: 0.00033255453980932456
Position 683: 0.0002258083004256247
Position 145: 0.00020995014366359755
Position 665: 0.00017105369831558058
Position 1160: 0.0001510689618523689
Position 885: 0.00013810458738345704
Position 865: 9.864752244338321e-05
Position 92: 9.620612032158908e-05
Position 293: 4.320814465863097e-05
Position 239: 3.6873359560949805e-05
Position 631: 3.3402859044410716e-05
Position 589: 2.7263013549941245e-05
Position 118: 2.3568284969472446e-05
Position 211: 2.032595565568839e-05
Position 366: 1.5029216526921928e-05
Position 122: 1.3420424910547391e-05
Position 424: 1.010459134639265e-05
Position 843: 7.484435941656202e-06
Position 324: 7.250629545927012e-06
Position 701: 6.3609878312206235e-06
Position 108: 5.744014375098327e-06
Position 382: 5.487201212716883e-06
Position 415: 4.828544682154116e-06
Position 674: 4.147886441527339e-06
Position 659: 3.6613731394375186e-06
Position 706: 3.596543270861942e-06
Position 1267: 3.0601458003398244e-06
Position 307: 2.383288884460443e-06
Position 217: 2.1868331367243854e-06
Position 111: 2.181057670730362e-06
Position 704: 1.4856750180132307e-06
Position 223: 1.142285865277976e-06
Position 330: 7.456356979570694e-07
Position 859: 5.350162492141661e-07
Position 95: 2.611305223035819e-07
Position 394: 4.002628202423962e-08
