Gene = TXNRD3NB
index = 1514
Annotated 5SS: [481]
Annotated 3SS: [590]
SMsplice 5SS: [481]
SMsplice 3SS: [590]
top_k =  500
Partition function (log Z): -7.730826493514158

Sorted 5' Splice Sites (High to Low Probability):
Position 481: 0.6209487784864178
Position 430: 0.3201289504737944
Position 165: 0.07239083042978033
Position 734: 0.06824537842999066
Position 249: 0.021227064301891037
Position 743: 0.003320861713607339
Position 394: 0.003056231813619866
Position 518: 0.0005465496652575699
Position 183: 0.0004914435762747084
Position 330: 0.00022542172806019344
Position 181: 0.00018705436466407197
Position 719: 0.00014236076879950172
Position 485: 0.00011850316758282214
Position 263: 0.00011092192071219902
Position 423: 0.0001082051842279673
Position 462: 4.985831101305123e-05
Position 591: 1.640812179548359e-05
Position 510: 1.1102063759384214e-05
Position 271: 1.321879910475084e-06
Position 358: 1.2882093079367424e-06
Position 17: 4.3798622674638234e-07
Position 741: 2.780409636371593e-07
Position 224: 4.159577889197163e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.9287052589945418
Position 812: 0.07074585714114186
Position 566: 0.049604955266694305
Position 344: 0.03455552265057076
Position 530: 0.017025836169215224
Position 347: 0.0020323546281351247
Position 773: 0.0013185193808134224
Position 833: 0.0012772111172492467
Position 350: 0.0009867011434033803
Position 260: 0.0007198350386735378
Position 597: 0.0006774773524163228
Position 282: 0.0006772360888878769
Position 271: 0.00041718018015877403
Position 619: 0.0004051739909581498
Position 507: 0.00028858728809263355
Position 243: 0.0002457610154474755
Position 423: 0.00021409753848930814
Position 649: 0.00019161397766102308
Position 310: 0.00016623611828550712
Position 248: 0.0001655744578682398
Position 371: 0.00013325069645288686
Position 510: 0.00010498210433903769
Position 622: 9.279314434892371e-05
Position 571: 9.177579745022331e-05
Position 471: 8.927949187495746e-05
Position 542: 7.769533593048056e-05
Position 670: 6.686435152543291e-05
Position 755: 6.056699203397755e-05
Position 380: 3.632825280309568e-05
Position 840: 3.043400866246669e-05
Position 325: 2.6063518857441442e-05
Position 284: 2.548398484887164e-05
Position 321: 1.4379336121062562e-05
Position 369: 1.3877720135131134e-05
Position 393: 1.3777921510264621e-05
Position 290: 7.064024825931358e-06
Position 384: 5.637692469393916e-06
Position 628: 3.5803596802759637e-06
Position 455: 2.2854878097983642e-06
Position 695: 2.274277932815565e-06
Position 656: 1.4998855464627334e-06
Position 428: 1.3767938437455964e-06
Position 631: 1.0788728054204247e-06
Position 399: 8.468497604679938e-07
Position 538: 8.09930509599647e-07
Position 302: 6.875855970637483e-07
Position 386: 6.709677451027372e-07
Position 292: 6.428483256488946e-07
Position 551: 5.147882681096751e-07
Position 438: 4.711617889423171e-07
Position 434: 3.995251846527342e-07
Position 731: 2.433559072220434e-07
Position 706: 2.418024348423886e-07
Position 709: 1.4380525087103835e-07
Position 440: 7.879489908534389e-08
Position 219: 7.646858402429062e-08
Position 444: 5.0340581416119946e-08
Position 451: 3.055048255998394e-08
Position 86: 1.1986834312934888e-09
Position 715: 1.0457079209987163e-09
Position 82: 5.422447973657318e-11
Position 88: 8.642226123503714e-12
Position 221: 2.5831181054926474e-12
Position 149: 1.2174795168116033e-12
Position 115: 4.777850448340016e-13
Position 112: 3.481090637151563e-13
Position 125: 3.3377458271606835e-13
Position 181: 2.702478097095591e-13
Position 138: 2.354733413756305e-13
Position 146: 2.056358242194875e-13
Position 131: 1.4034820551196618e-13
Position 161: 1.2883463862672053e-13
Position 169: 7.276528055151142e-14
Position 110: 7.079538322408412e-14
Position 106: 6.229705960537416e-14
Position 97: 1.5440422020318032e-14
Position 143: 1.493704083099623e-15
