Gene = CLDND1
index = 378
Annotated 5SS: [ 195 1911 4159 5992]
Annotated 3SS: [1600 4047 5853 6163]
SMsplice 5SS: [ 195 5992]
SMsplice 3SS: [5895 6300]
top_k =  500
Partition function (log Z): -7.04934533799988

Sorted 5' Splice Sites (High to Low Probability):
Position 5992: 0.9363980452889824
Position 195: 0.8902368132744138
Position 4159: 0.5456019342408758
Position 502: 0.16067567283404643
Position 1391: 0.07431409286778218
Position 4507: 0.0698481371772697
Position 1911: 0.05902341184533106
Position 6928: 0.05210539952421373
Position 5821: 0.041730568586632336
Position 114: 0.030714809807837994
Position 1714: 0.028161814568312234
Position 1264: 0.026970989490054123
Position 2433: 0.026640927491723792
Position 6184: 0.025202056121463805
Position 3915: 0.024064944625376696
Position 6251: 0.014226681575396236
Position 3911: 0.013617221904638559
Position 356: 0.009401268550931175
Position 7326: 0.007211727811240114
Position 7069: 0.004676844649319037
Position 3530: 0.0038675237797256086
Position 3504: 0.0038372450362846974
Position 6244: 0.003270178154395857
Position 6164: 0.0028102788635457794
Position 6687: 0.0021988942416032724
Position 256: 0.0017335103288238548
Position 199: 0.0009445993640817488
Position 1347: 0.0007679056612214185
Position 1395: 0.0006478715231932194
Position 1310: 0.000637583906652593
Position 1513: 0.0006208154737007776
Position 3512: 0.0005092892403289932
Position 846: 0.00045643615244672615
Position 3124: 0.0004486771358605607
Position 3484: 0.00043664410880470415
Position 2087: 0.00040111482810519764
Position 3009: 0.00036989583498497604
Position 5996: 0.00033553076060770373
Position 3521: 0.00031722437287361974
Position 427: 0.0002434652952659787
Position 139: 0.00022687712171915052
Position 3332: 0.00021087154289008538
Position 3286: 0.00020958951524026982
Position 674: 0.00017085252961566348
Position 7365: 0.00016145397957817198
Position 300: 0.0001440412227362257
Position 1998: 0.00014343378833773759
Position 1491: 0.00013546492761286872
Position 6726: 0.00012773743474945803
Position 3632: 0.0001268553637784552
Position 1888: 0.00012174139610612469
Position 286: 0.000111612043641519
Position 441: 0.0001043537853148986
Position 166: 8.276629553179093e-05
Position 1243: 6.893301332835366e-05
Position 1410: 5.00272467023145e-05
Position 2253: 4.4373608416712556e-05
Position 2309: 4.3983199990797186e-05
Position 1255: 4.15162832668437e-05
Position 667: 3.980013837626912e-05
Position 662: 3.373749193274372e-05
Position 228: 3.279713050752462e-05
Position 144: 2.931771748462629e-05
Position 1339: 2.8399081970229182e-05
Position 351: 2.3093329047884186e-05
