Gene = USF3
index = 1540
Annotated 5SS: [  277 19365 21815 23299 26526 32334]
Annotated 3SS: [19248 21749 23269 26442 32236 35220]
SMsplice 5SS: [  277 12690 19365 21815 26526 32334 35364 41391]
SMsplice 3SS: [12621 19248 21749 26442 32236 35220 41222 41484]
top_k =  500
Partition function (log Z): -26.048326731176665

Sorted 5' Splice Sites (High to Low Probability):
Position 277: 0.9980563767335153
Position 2946: 0.4466695192935822
Position 1189: 0.36254778329072995
Position 2399: 0.2702141847550412
Position 6254: 0.21477106216207462
Position 5269: 0.12197122737895703
Position 857: 0.06788920901555139
Position 3116: 0.05103331725145471
Position 2172: 0.025639860980533433
Position 2298: 0.023517499612782336
Position 2377: 0.023472870889564675
Position 2637: 0.01845792970626125
Position 3546: 0.01379186726776947
Position 2209: 0.013408488156539843
Position 2249: 0.009982469946179648
Position 5583: 0.008885725658578994
Position 5315: 0.0073030956428573116
Position 2281: 0.005711356513618432
Position 2082: 0.003984705562566532
Position 181: 0.0010220653648244117
Position 1222: 0.0008305571723715894
Position 1083: 0.0007157873202926343
Position 1727: 0.0005399071641501666
Position 2236: 0.0005265977051866235
Position 1575: 0.00042415733746326874
Position 2971: 0.000319531449256684
Position 825: 0.00025064199481499586
Position 1162: 0.00023769560275693113
Position 978: 0.00011844681837329641
Position 1460: 0.0001163417993860769
Position 1967: 0.00011423724088140691
Position 1074: 0.00010800633694715464
Position 1126: 9.382785047603387e-05
Position 619: 7.004152070418829e-05
Position 913: 5.781344922502862e-05
Position 712: 3.279800099799449e-05
Position 2412: 1.9869288081660258e-05
Position 454: 1.8729751883382825e-05
Position 526: 1.4556987222652326e-05
Position 10: 1.3477843163677971e-05
Position 1892: 1.2272146194179969e-05
Position 1918: 8.78714371307258e-06
Position 281: 7.549819383914971e-06
Position 1030: 6.506751161555945e-06
Position 595: 6.4216002624574604e-06
Position 415: 6.265951279766524e-06
Position 891: 5.514301477073426e-06
Position 32: 5.498282705367877e-06
Position 1344: 4.533327197484633e-06
Position 70: 1.7383548359449416e-06
Position 764: 1.2933449018606326e-06
Position 442: 6.35240844259421e-07
Position 461: 3.375696370148851e-07
Position 810: 3.0986150963818693e-07
Position 1820: 2.752032373151745e-07
Position 150: 1.628325565562658e-07
Position 706: 1.1222293406704428e-07
Position 727: 5.904838084688769e-08
Position 1387: 5.1772201924180195e-08
Position 716: 4.18949945541934e-08
Position 1396: 3.55357671236483e-08
Position 1455: 2.78254054969717e-08
Position 2072: 2.7033532721597816e-08
Position 1414: 1.8124438186298234e-08
Position 228: 1.2751180596478223e-08
Position 1055: 1.1116826894842368e-10
Position 507: 7.175505225943489e-14
Position 237: 1.598810740048865e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 6125: 0.42208032318678596
Position 2790: 0.2562350841241077
Position 940: 0.22815356776394435
Position 2767: 0.1949487047392868
Position 2316: 0.17637029283839425
Position 2208: 0.1688110053544023
Position 10692: 0.15970634510463244
Position 5113: 0.13048825411595355
Position 3034: 0.12197666377069766
