Gene = THG1L
index = 1397
Annotated 5SS: [ 435 1848 3549 4738 6798]
Annotated 3SS: [1670 3378 4648 6689 8123]
SMsplice 5SS: [ 435 1848 3378 3549 4738 6798]
SMsplice 3SS: [1670 3302 3473 4648 6689 8123]
top_k =  500
Partition function (log Z): -0.7008919716872719

Sorted 5' Splice Sites (High to Low Probability):
Position 3549: 0.952593082661291
Position 1848: 0.9395960861098005
Position 4738: 0.8813945808586698
Position 3378: 0.8753404913919561
Position 6798: 0.7304383306391646
Position 435: 0.7032567613468106
Position 7538: 0.4389910775910264
Position 5656: 0.12487435141747133
Position 351: 0.10806455996604568
Position 538: 0.07593067313577577
Position 86: 0.0652299929629474
Position 8307: 0.06501865583470424
Position 2540: 0.061861936622557255
Position 5726: 0.03681488226103279
Position 6114: 0.03341037046921589
Position 5926: 0.03330340231700521
Position 5879: 0.03087805749532289
Position 130: 0.03034008469925183
Position 1419: 0.028116042961389465
Position 4565: 0.02757028602293564
Position 3604: 0.023813921798882393
Position 3361: 0.022650205115876954
Position 9326: 0.018648551497584355
Position 6520: 0.010916219678760403
Position 6064: 0.009456304352052653
Position 1779: 0.008653332437698608
Position 2594: 0.008458237384232365
Position 3220: 0.006532501544422032
Position 355: 0.00532417122897634
Position 9342: 0.004868861588015613
Position 8390: 0.0047453637375732384
Position 7857: 0.00466161142223126
Position 309: 0.004047336356770864
Position 6306: 0.003954111889623605
Position 1797: 0.002666042254745137
Position 813: 0.00265378359374475
Position 557: 0.002527956070518712
Position 36: 0.002450991956829708
Position 262: 0.0023303924306478235
Position 5196: 0.002268699139962632
Position 546: 0.002198603115624443
Position 9649: 0.0021752746632673903
Position 1736: 0.002106827461157912
Position 6883: 0.00209772482980912
Position 5019: 0.002044290679968281
Position 3977: 0.0020430549928097163
Position 1371: 0.0020295833631946065
Position 3573: 0.001991350027260726
Position 1534: 0.0018432879478577884
Position 3496: 0.0018214089016200586
Position 7216: 0.0017365214904752394
Position 7503: 0.0016644284035781088
Position 5602: 0.0014774431483689948
Position 182: 0.0013762335441399919
Position 529: 0.0013176938949089063
Position 403: 0.0012778132217626035
Position 5029: 0.0012167533527189037
Position 4021: 0.0011632556853408544
Position 4405: 0.0011418250585573126
Position 4784: 0.0010838813790212721
Position 8301: 0.000996643516533492
Position 1201: 0.0009549315480541492
Position 2569: 0.000927718505408745
Position 4382: 0.0008852735509886928
Position 268: 0.0008140639400799208
Position 5721: 0.0007826091277964362
Position 1194: 0.0007806395057606404
Position 6611: 0.0007507420843260325
Position 246: 0.000747704066126302
Position 680: 0.0006815483664177778
Position 505: 0.0006702628154557286
Position 6497: 0.0006587588511222044
Position 1790: 0.0006475397588294607
Position 4904: 0.0005469175343785217
Position 5560: 0.0005122728022241133
Position 1671: 0.00044935985651949387
Position 2321: 0.00043936348918247135
Position 6145: 0.0003941499618072944
Position 2717: 0.00035901600109537724
Position 2262: 0.00035736276581960116
Position 685: 0.00030564028970151157
Position 4504: 0.00027622857122979236
Position 4500: 0.0002596571387894053
Position 7531: 0.00023393713606671796
Position 1544: 0.00022201307624864413
Position 1456: 0.00020815367131399258
Position 2147: 0.00019837013013657864
Position 626: 0.0001959964907996824
Position 2127: 0.00019598486927891866
Position 257: 0.0001844006354991458
Position 1771: 0.00018244808071408137
Position 1747: 0.00016573413386690905
Position 1228: 0.00016461146871968888
Position 2481: 0.00016370393486991804
Position 3868: 0.0001634336987126087
Position 239: 0.00014282237153340506
Position 3576: 0.00012733864606615135
Position 620: 0.00010602798599337705
Position 1182: 9.082752057156356e-05
Position 1973: 9.029273506846508e-05
Position 4245: 8.770324684496138e-05
Position 2461: 7.660504954007609e-05
Position 345: 7.466521586356822e-05
Position 4515: 6.464167973932892e-05
Position 3700: 5.6315616885525286e-05
Position 799: 5.470098186049887e-05
Position 3670: 5.208450290973783e-05
Position 807: 4.9792751184857034e-05
Position 4249: 4.6240661774104e-05
Position 4426: 4.1118417806222726e-05
Position 699: 3.9003999330049564e-05
Position 3463: 3.8316662624996435e-05
Position 1156: 3.641426024706434e-05
Position 842: 3.5552924955054336e-05
Position 4577: 3.3153743327310504e-05
Position 723: 3.080399294909673e-05
Position 3332: 1.859726458965393e-05
Position 3658: 1.845941089044348e-05
Position 6764: 1.788252071479839e-05
Position 3723: 1.7108727369553256e-05
Position 3943: 1.642299263426369e-05
Position 6829: 1.547738339651127e-05
Position 3947: 1.5125333580746369e-05
Position 79: 1.2083396169005959e-05
Position 1809: 1.0816775873673895e-05
Position 2978: 7.056970137981383e-06
Position 1830: 5.391385545571402e-06
Position 1967: 4.467339149822947e-06
Position 2247: 3.5221315743404184e-06
Position 1322: 1.652602980359474e-06
Position 4777: 7.027396609462583e-07
Position 237: 1.0994591569180542e-07
Position 400: 1.0758419615349529e-07
Position 406: 4.2940250678693096e-08
Position 4714: 1.3906639652729364e-08
Position 4649: 1.2551083493217559e-08
Position 523: 7.751866454874494e-09
Position 3693: 1.3680181657932492e-09
Position 457: 1.2136149356362329e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3473: 0.9754325251567926
Position 4648: 0.8790415116024715
Position 3302: 0.8450008758732063
Position 8123: 0.7236336367879813
Position 1670: 0.7214791905987521
Position 6689: 0.7113247002818468
Position 7384: 0.20068027512841957
Position 7337: 0.13209021756669584
Position 10176: 0.11318371544909225
Position 1722: 0.10823764268880362
Position 5549: 0.10593461979129948
Position 1709: 0.09925837831210194
Position 3275: 0.05650748466979122
Position 5811: 0.05642663528653676
Position 9195: 0.03968595276050543
Position 2318: 0.037479765652454186
Position 5787: 0.037460315153486454
Position 7508: 0.03684862317157429
Position 2344: 0.0309925208462004
Position 7424: 0.030781289899159806
Position 10060: 0.030678394384703316
Position 5459: 0.030396583972621696
Position 7470: 0.029890913995650737
Position 9456: 0.025763070557390286
Position 8473: 0.02504444102119278
Position 6471: 0.024347518290697947
Position 6045: 0.02296201269166364
Position 305: 0.021770697517807018
Position 7652: 0.02108101767809038
Position 6610: 0.019048209506862382
Position 7648: 0.01738581412910329
Position 4507: 0.01724113363654154
Position 5594: 0.01525436770263957
Position 1404: 0.015212153264982283
Position 7530: 0.014611157363352077
Position 4319: 0.012501736798197431
Position 1743: 0.011667086408044248
Position 4836: 0.01138364466760086
Position 5559: 0.011076147476207677
Position 8683: 0.011059803321193135
Position 8746: 0.01094026227001843
Position 8470: 0.009117280838812204
Position 7605: 0.006916247164626498
Position 242: 0.005905410846932514
Position 4458: 0.00535118502718897
Position 1631: 0.0048616427567912774
Position 8537: 0.004699916228504524
Position 7046: 0.004644819001168026
Position 6705: 0.004039916575324886
Position 4675: 0.0038944872125184307
Position 4955: 0.003170825601139693
Position 3077: 0.0030737279045262673
Position 1495: 0.0029039061536085342
Position 3785: 0.0025751639335053747
Position 8514: 0.002468185464904124
Position 8795: 0.002348710565752454
Position 5692: 0.0021755396777743564
Position 2942: 0.002112590528613114
Position 2397: 0.0020936937493846075
Position 1116: 0.0018156455829170613
Position 1592: 0.0016022611553281605
Position 7265: 0.0014150452764631269
Position 8301: 0.0013426652019647922
Position 5970: 0.0013398421646991909
Position 3764: 0.001206705921978159
Position 1606: 0.0011889613711275435
Position 6702: 0.0011046554309550977
Position 523: 0.0010928388361000935
Position 8625: 0.0010816571996128325
Position 8200: 0.0010691729904275314
Position 8979: 0.0009345334427570902
Position 1363: 0.0009341367079734199
Position 6769: 0.0008933816683698868
Position 5073: 0.0008904537607264429
Position 6902: 0.0007562162647903051
Position 1447: 0.0007525637910113867
Position 7761: 0.0007264855801786185
Position 7672: 0.0006754465148786008
Position 5097: 0.0005948115818034049
Position 1989: 0.000538568464964378
Position 3760: 0.0005013719798428653
Position 3417: 0.0004820343390041414
Position 3241: 0.00041924568273437896
Position 1683: 0.0004017911680084487
Position 598: 0.00040032789301576986
Position 3117: 0.00036361052305748437
Position 2146: 0.00036139847040550656
Position 2370: 0.00034519734727966335
Position 2320: 0.00033455425497429817
Position 1353: 0.00031975074330514133
Position 3120: 0.0002842379527082605
Position 3162: 0.0002829538217458162
Position 3406: 0.00026515361842738446
Position 3045: 0.0002568901912373356
Position 8341: 0.000239274476022561
Position 505: 0.0002294987853074707
Position 5314: 0.00022320978864595693
Position 2835: 0.00022246069089265568
Position 5570: 0.00022063801102031408
Position 3486: 0.00021867352065273985
Position 860: 0.00021538389772116879
Position 1922: 0.0002067209968343316
Position 4862: 0.00018617946023430338
Position 5993: 0.00018348702278005204
Position 4333: 0.000180050706076555
Position 6002: 0.0001752684961095518
Position 1310: 0.0001736883784057317
Position 5637: 0.0001730535847687951
Position 2914: 0.00017193100484453412
Position 180: 0.00017052901589539898
Position 2373: 0.00016639859620963372
Position 2247: 0.0001657260608162353
Position 4881: 0.00016344267066848301
Position 6818: 0.00015260993978541217
Position 7562: 0.0001498555363630022
Position 2403: 0.00014736651502998718
Position 4412: 0.0001380999189617085
Position 6862: 0.0001260489488758687
Position 2205: 0.00011691142518445944
