Gene = URGCP-MRPS24
index = 1536
Annotated 5SS: [   28 19175 24683 24931 37282 37627]
Annotated 3SS: [19103 24631 24891 37212 37514 39606]
SMsplice 5SS: [   28  5729 19175 24734 37133 37282 37627]
SMsplice 3SS: [ 5662 19103 24631 36978 37212 37514 39606]
top_k =  500
Partition function (log Z): -22.546279547735686

Sorted 5' Splice Sites (High to Low Probability):
Position 5729: 0.8869845295392486
Position 28: 0.6309866550888952
Position 279: 0.26047172609901736
Position 1218: 0.20554674400176415
Position 4041: 0.10257630686790677
Position 4045: 0.06770505455125989
Position 969: 0.05928294209951299
Position 440: 0.04519679683797402
Position 5927: 0.04133052221077301
Position 2463: 0.04116913718234399
Position 6528: 0.037151005943850075
Position 11040: 0.022849474102272626
Position 322: 0.017482832728184433
Position 8425: 0.015938627134852387
Position 4226: 0.01321688339380402
Position 8575: 0.012265453170684702
Position 5154: 0.012058218850439692
Position 5733: 0.011474621412498233
Position 8446: 0.007537959221240787
Position 1308: 0.007465656015856192
Position 9142: 0.006743158248663702
Position 1272: 0.006424341250551714
Position 11174: 0.005439290747274203
Position 4250: 0.004341487048986969
Position 8801: 0.002982365921439069
Position 116: 0.0022519008664879793
Position 11176: 0.0019426347472620757
Position 5704: 0.0012213720365393805
Position 374: 0.0006904042562593018
Position 983: 0.00046874206700343163
Position 273: 0.00044920375862410425
Position 585: 0.00035619383318745825
Position 858: 0.00023691407375726878
Position 617: 0.00018539629073959968
Position 1748: 0.0001613940833295857
Position 1472: 0.00012478871492230966
Position 1820: 9.996415548074691e-05
Position 2899: 9.67531341815695e-05
Position 6043: 9.550733687552718e-05
Position 1934: 7.973633245510285e-05
Position 510: 7.678135635833631e-05
Position 1068: 7.666505660887769e-05
Position 751: 7.078146411846297e-05
Position 380: 3.754266774982193e-05
Position 521: 3.549499633851174e-05
Position 989: 3.542570604447e-05
Position 971: 3.2333749649581055e-05
Position 703: 2.6098013409641256e-05
Position 1003: 2.264071891362085e-05
Position 219: 2.127429913653201e-05
Position 707: 1.9951248051583962e-05
Position 255: 1.0225001264816324e-05
Position 456: 7.3863775606471154e-06
Position 975: 4.780325888039632e-06
Position 668: 4.113785874981627e-06
Position 794: 2.3201110464765005e-07
Position 32: 3.7179358724373206e-08
Position 473: 3.2454938433767295e-08
Position 490: 2.116757394966066e-08
Position 1081: 2.0248789831717414e-08
Position 448: 1.886283015768311e-08
Position 19: 4.686004134732871e-10
Position 480: 3.6487868570932614e-11
Position 502: 1.0239153827685042e-14
Position 499: 8.662884868586788e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 5662: 0.8912431207004121
Position 24631: 0.7160166480884596
Position 1137: 0.19878122740697354
Position 3835: 0.1330913557628575
Position 10921: 0.09061427336269086
Position 11465: 0.07228049749276241
Position 8362: 0.06180971256166687
Position 6451: 0.04220930128272845
Position 9393: 0.03392736582622677
Position 5831: 0.02800443109446071
Position 6858: 0.02619189950707129
Position 2361: 0.016600439041225008
Position 7851: 0.015517597407170269
Position 3999: 0.015488028270001035
Position 3963: 0.015487244113515085
Position 1043: 0.014187994059610664
Position 2274: 0.010944953347638887
Position 681: 0.01086181576799963
Position 10141: 0.010818427115474807
Position 4093: 0.009944153390650018
Position 5683: 0.009664702984189574
Position 5644: 0.008984581462112246
Position 5043: 0.008192052042894006
Position 9026: 0.007673899394001386
Position 8644: 0.0067946264033925735
Position 4027: 0.006030464178752956
Position 2292: 0.005914973256891595
