Gene = SIT1
index = 1259
Annotated 5SS: [187 439 584 757]
Annotated 3SS: [302 524 694 858]
SMsplice 5SS: [187 439 584 757]
SMsplice 3SS: [302 524 694 858]
top_k =  500
Partition function (log Z): 2.788864609499926

Sorted 5' Splice Sites (High to Low Probability):
Position 187: 0.9865845365120257
Position 584: 0.939316528424483
Position 757: 0.9340964269663833
Position 439: 0.9339976912029261
Position 1015: 0.04316379240292459
Position 952: 0.011519790907344892
Position 211: 0.010641614024497932
Position 942: 0.008387223886379115
Position 34: 0.006602649155719941
Position 621: 0.0062618278925093375
Position 443: 0.004022563070642698
Position 911: 0.0025121736461623735
Position 871: 0.0021660641552520518
Position 955: 0.0011362634269461885
Position 58: 0.0009800361293267213
Position 1457: 0.0007357019161580927
Position 555: 0.0006114544894093469
Position 547: 0.0005953151800325376
Position 237: 0.00047791428874886343
Position 923: 0.00010893871972736033
Position 334: 9.986220150530398e-05
Position 1342: 9.793199312721277e-05
Position 1285: 4.7271831573431576e-05
Position 1264: 4.6324262285870756e-05
Position 797: 3.588235057277011e-05
Position 1446: 2.0280394426982834e-05
Position 1479: 1.2327062082319124e-05
Position 1475: 1.1236223348786794e-05
Position 222: 9.797121940613576e-06
Position 628: 9.773800715384143e-06
Position 79: 9.03603940097169e-06
Position 227: 6.2579362221733175e-06
Position 534: 5.700132066221324e-06
Position 10: 4.418428863285851e-06
Position 65: 3.1399733294015543e-06
Position 260: 2.434338514764252e-06
Position 463: 1.8534258822199806e-06
Position 119: 1.8054508798347668e-06
Position 338: 1.3272147537754273e-06
Position 353: 1.2989804021562035e-06
Position 117: 1.1464500627468472e-06
Position 492: 9.198240118338431e-07
Position 761: 8.194657090262814e-07
Position 397: 4.3513700935859957e-07
Position 768: 2.84034795449648e-07
Position 474: 1.492652456734752e-07
Position 391: 1.0383683190178912e-07
Position 825: 7.913510670498978e-08
Position 538: 1.745624532054532e-08
Position 1019: 1.7136194076251333e-08
Position 125: 1.1587703377808737e-08
Position 70: 2.1740460945768785e-09
Position 830: 3.380998991415586e-10
Position 273: 6.321554796175125e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 694: 0.9750118432992358
Position 302: 0.9232089921299838
Position 524: 0.9138084624283334
Position 858: 0.43030932998174204
Position 1167: 0.30091424973741265
Position 823: 0.06911212412334014
Position 347: 0.05145607133042928
Position 844: 0.03803250354782986
Position 1326: 0.033087026933191384
Position 909: 0.027859208303535266
Position 1059: 0.02344903519414279
Position 1495: 0.015200904541680962
Position 1176: 0.009725995427381822
Position 865: 0.009575870880740243
Position 1034: 0.007927142696689956
Position 1618: 0.007803375961060686
Position 1141: 0.0076035956721607284
Position 322: 0.005664457468798756
Position 894: 0.004920591389204051
Position 1341: 0.0047501963349894155
Position 830: 0.0038340199069350693
Position 1015: 0.002844647778919666
Position 1505: 0.0024810805701131543
Position 1400: 0.002374303404675697
Position 1144: 0.0021837537218640387
Position 887: 0.0021356175737262647
Position 492: 0.0021023995094005005
Position 144: 0.0020547876651933507
Position 112: 0.0019628610383322573
Position 117: 0.0018996673223959488
Position 1429: 0.001484374009842234
Position 650: 0.001000325664345727
Position 674: 0.0008638829758582519
Position 1073: 0.000802852140065898
Position 397: 0.0007628198740678451
Position 1200: 0.0005143667987048861
Position 996: 0.0005050037407209573
Position 1026: 0.00046815162703005156
Position 1364: 0.0004504872879575716
Position 1131: 0.0004354442620077973
Position 942: 0.00040702707524474594
Position 1194: 0.00037996805005890787
Position 1564: 0.00031994980693960523
Position 1373: 0.0003070578805604636
Position 579: 0.0002722056506988231
Position 1572: 0.00024150122251428304
Position 1418: 0.00023581212313572293
Position 715: 0.00017120666663408179
Position 870: 0.00016504876834007063
Position 663: 0.00015652540854987597
Position 1528: 0.00015069785776242206
Position 1435: 0.00013002901108955588
Position 1002: 0.00011208478577624438
Position 653: 7.560193063886699e-05
Position 1498: 7.406306072937427e-05
Position 709: 7.013422729476079e-05
Position 1238: 6.3381694722019e-05
Position 975: 4.959123532170929e-05
Position 657: 4.910617322366038e-05
Position 1251: 4.2390373684868956e-05
Position 951: 4.106602868707501e-05
Position 489: 3.866513679149084e-05
Position 405: 3.207934978356788e-05
Position 1575: 3.116810843297822e-05
Position 114: 2.6853411969656365e-05
Position 583: 2.564774137738481e-05
Position 417: 2.3794791149374026e-05
Position 1471: 2.1250468039869243e-05
Position 755: 2.038246838445021e-05
Position 456: 6.104026570508325e-06
Position 433: 5.334130701621598e-06
Position 154: 3.1692585460472717e-06
Position 532: 2.616084182061524e-06
Position 534: 2.3888649139868732e-06
Position 546: 2.1423286161940674e-06
Position 420: 1.8341079210309379e-06
Position 414: 1.8087250604263282e-06
Position 721: 1.7489825671464167e-06
Position 544: 1.560984250404171e-06
Position 867: 1.2824406391280402e-06
Position 151: 8.60305256938234e-07
Position 717: 7.148598130108274e-07
Position 83: 6.323922990820603e-07
Position 729: 4.949886859967269e-07
Position 95: 4.5863598792497764e-07
Position 236: 4.5270950365761105e-07
Position 448: 2.307337461953753e-07
Position 474: 1.8238299085605328e-07
Position 745: 1.0340930702767234e-07
Position 472: 5.6623289940988634e-08
Position 156: 3.1305982319647685e-08
Position 598: 2.720331270303634e-08
Position 726: 2.4709913412852722e-08
Position 620: 2.4117459949551192e-08
Position 613: 2.1337561483576395e-08
Position 587: 1.5294392487320078e-08
Position 615: 1.5087566168805487e-08
Position 199: 4.203503521591851e-10
Position 191: 2.2164115198137237e-10
Position 204: 2.5922796031459958e-11
Position 782: 3.123209576029823e-12
Position 219: 1.1494130067734365e-13
