Gene = IVL
index = 722
Annotated 5SS: [45]
Annotated 3SS: [1233]
SMsplice 5SS: [45]
SMsplice 3SS: [1233]
top_k =  500
Partition function (log Z): -8.397561582793255

Sorted 5' Splice Sites (High to Low Probability):
Position 45: 0.8368960082290009
Position 603: 0.14478567513551716
Position 36: 0.09669466849212396
Position 1391: 0.05771032886755136
Position 947: 0.03294999724103648
Position 111: 0.01463773178416931
Position 287: 0.013583016976346821
Position 899: 0.010858399894042938
Position 59: 0.005731624703206376
Position 1476: 0.003583012878267317
Position 1107: 0.0034993175189296168
Position 3086: 0.003428949644059045
Position 235: 0.0032200846664575803
Position 130: 0.003116587111618737
Position 105: 0.0018091726564481566
Position 124: 0.001623681532762179
Position 2741: 0.001139903241600645
Position 1110: 0.0008040766100344644
Position 781: 0.0007814858176186025
Position 70: 0.0006892794546369607
Position 263: 0.0006289873092282315
Position 2621: 0.0005286540553367409
Position 1415: 0.0004575744713412115
Position 283: 0.00045633048715174734
Position 2531: 0.00039430690615942167
Position 392: 0.0003731285657769207
Position 3151: 0.0003223846259882875
Position 1118: 0.00031804194569066377
Position 2984: 0.00028359888087802236
Position 1178: 0.00026037531458278574
Position 761: 0.0002554481664688301
Position 51: 0.00021552694872700666
Position 102: 0.00012160596955111089
Position 285: 9.65412905407483e-05
Position 508: 7.368915650602805e-05
Position 221: 2.1355616711513147e-05
Position 191: 1.2453003599291554e-05
Position 1234: 3.3865682297582255e-06
Position 903: 1.154956017685939e-06
Position 917: 1.0951121165500592e-06
Position 350: 9.180009130796962e-07
Position 205: 4.988377470036214e-07
Position 49: 4.902347241616763e-07
Position 185: 2.5616616473746474e-07
Position 40: 1.6857753436359953e-07
Position 627: 1.3876411309157329e-07
Position 248: 1.1700183957551577e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1233: 0.6340650973408297
Position 174: 0.10542446153838328
Position 1299: 0.078133087969672
Position 3217: 0.06865871847543425
Position 359: 0.06669804384443634
Position 812: 0.06309959285957667
Position 975: 0.030290432759547455
Position 2960: 0.017752125026586945
Position 656: 0.017157090973136613
Position 475: 0.016408749026216574
Position 431: 0.014361856566807331
Position 903: 0.013113449927246786
Position 1203: 0.011865791995247716
Position 2894: 0.008355781315018617
Position 542: 0.008086327505130778
Position 1387: 0.007600565236092039
Position 391: 0.007106538703039342
Position 2938: 0.005339785176113729
Position 1331: 0.005310495918308381
