Gene = PXK
index = 1103
Annotated 5SS: [  211 33045 36599 49821 57780 58341 58968 62223 62880 64321 64843 66498
 71031 76122 76739 77280 80084]
Annotated 3SS: [32993 36550 49633 57701 58266 58892 62117 62777 64158 64724 66418 70981
 76043 76651 77209 80020 91871]
SMsplice 5SS: [  211  2573  8356 33045 36599 45185 49888 58341 59084 62223 62880 64321
 64843 71031 76122 76739 77280]
SMsplice 3SS: [ 2476  8242 32993 36550 45028 49633 58266 58996 62117 62777 64158 64724
 70981 76043 76651 77209 91871]
top_k =  500
Partition function (log Z): -45.20874666861146

Sorted 5' Splice Sites (High to Low Probability):
Position 211: 0.9874534142736066
Position 2573: 0.9757573448386723
Position 8356: 0.5489999453359715
Position 3752: 0.10214675925832215
Position 745: 0.0674354498300467
Position 712: 0.05269746481864523
Position 2275: 0.046881412103497375
Position 1612: 0.04612683700541002
Position 3490: 0.025914518332010077
Position 3705: 0.02223394724004215
Position 1311: 0.014838539941482334
Position 1960: 0.012294051096497885
Position 2265: 0.008425045199747508
Position 10321: 0.0065034820696733674
Position 808: 0.005854451913432823
Position 2558: 0.004736458366183813
Position 9451: 0.0031393818604282804
Position 160: 0.0021086484696090733
Position 1110: 0.0018178303215211768
Position 142: 0.0015867629576495957
Position 1103: 0.001482465799216753
Position 2637: 0.0013328823460917927
Position 1392: 0.0011946434675684512
Position 1468: 0.001073356053878438
Position 324: 0.000995145121030021
Position 2332: 0.0009580418723868487
Position 2049: 0.0005513235893363092
Position 5281: 0.0005278558202466298
Position 2043: 0.0004471100704056982
Position 2410: 0.0004207524400971714
Position 611: 0.00032219034215051157
Position 776: 0.00030279539640931603
Position 1144: 0.00029918488038679035
Position 2259: 0.00023040899977704065
Position 810: 0.00022873851573170097
Position 5079: 0.0002149068580683996
Position 799: 0.00016142897896597797
Position 370: 0.0001524666102015596
Position 2847: 0.00014544961898970806
Position 2021: 0.00014060717317484624
Position 725: 0.00012364291790804282
Position 818: 0.00010295771984447306
Position 1358: 0.00010158675872885729
Position 1134: 9.35909521997697e-05
Position 1332: 9.123323680141547e-05
Position 1197: 7.207177231710185e-05
Position 912: 5.075300932290339e-05
Position 364: 9.059802544205399e-06
Position 488: 4.028533370304044e-06
Position 656: 1.5770212862299786e-06
Position 635: 1.3198867507162551e-06
Position 641: 1.1254784541231982e-06
Position 851: 7.425122267342009e-07
Position 903: 6.777916728545785e-07
Position 297: 4.500499478371609e-07
Position 763: 4.4930993148760866e-07
Position 240: 3.2918077340308756e-07
Position 64: 3.1881254376908616e-07
Position 1084: 1.748994386107954e-07
Position 927: 1.711499904672135e-07
Position 449: 1.3627790919690473e-07
Position 896: 1.0650492571185171e-07
Position 773: 8.109965243321356e-08
Position 949: 7.783024044612651e-08
Position 28: 5.17169233064785e-08
Position 1180: 4.9820803421510316e-08
Position 841: 1.0421848811963115e-08
Position 201: 9.409752318884968e-09
Position 349: 7.793949013407215e-09
Position 51: 6.680867209930458e-09
Position 883: 3.0174903513229486e-09
Position 675: 3.9711972887191e-11
Position 300: 1.0815068642319579e-11
Position 101: 1.7010964321561063e-12
Position 12: 1.481090998556281e-12
Position 10: 1.3023217551492047e-13
Position 77: 1.0909140409370333e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2476: 0.988879215961124
Position 8242: 0.37276391307888324
Position 8118: 0.164596121105165
Position 14480: 0.12096470811860258
Position 16496: 0.11551100721144685
Position 628: 0.10513573402606978
Position 13803: 0.0966428263188134
Position 11135: 0.08864915426458826
Position 7917: 0.06269501946097689
Position 3583: 0.05376614614749528
Position 2186: 0.05025624239660848
Position 13019: 0.04096750564891625
Position 12942: 0.03899478101200923
Position 6954: 0.03616490294469322
Position 5850: 0.03597386666680512
Position 10166: 0.03537104021473975
Position 1463: 0.03126657278604285
Position 9289: 0.02926332142929886
Position 14505: 0.02862609349610243
Position 16111: 0.02730904976649511
Position 13418: 0.026631797464709745
Position 3640: 0.026149002768788135
Position 6859: 0.023626687656302103
Position 8868: 0.02101981322363942
Position 3241: 0.020245722601925652
Position 1197: 0.01854695304107713
Position 12555: 0.01847783392407626
Position 10320: 0.015882055216953152
Position 3607: 0.01389013755830672
