Gene = AGMO
index = 38
Annotated 5SS: [   296   1875  17244 131011 143458 167903 171176 171345 174610 176570
 195876 196502]
Annotated 3SS: [  1743  17091 130906 143361 167835 171109 171264 174474 176452 195792
 196395 360655]
SMsplice 5SS: [   350   1875   2375  17244  45221  53682  53956  55364  63199  93286
 107115 123491 131011 143458 162399 167753 167903 171345 174572 176570
 195939 196502 298170 335208 344975 358987]
SMsplice 3SS: [  1743   2189  17091  45163  53542  53858  55180  63131  93151 106991
 123324 130906 143361 162325 167512 167835 171228 174474 176452 195792
 196395 297960 335075 344859 358746 360655]
top_k =  500
Partition function (log Z): -171.47031270517243

Sorted 5' Splice Sites (High to Low Probability):
Position 1875: 0.9941581082534855
Position 2375: 0.9319821539412131
Position 17244: 0.7180499776627607
Position 350: 0.48060175515207126
Position 296: 0.46932916074802183
Position 13725: 0.373219967164439
Position 1320: 0.031539916043409257
Position 3002: 0.024360125661887465
Position 275: 0.017699146122612835
Position 3163: 0.00847202596232963
Position 9776: 0.007021682901503314
Position 2370: 0.004147752888767621
Position 13757: 0.0040917587627803615
Position 5516: 0.0040592094226571855
Position 355: 0.003971842333430884
Position 740: 0.0038338038991905343
Position 3908: 0.0033028043409799412
Position 6622: 0.0031153206951398857
Position 1924: 0.0019121120025576968
Position 2976: 0.001847365688556571
Position 4680: 0.0012623964005915912
Position 620: 0.0010378996865314195
Position 6418: 0.0008274454280508863
Position 4147: 0.0007347018932951445
Position 4324: 0.0006364966192133625
Position 4588: 0.0006240218595136065
Position 3527: 0.0005794294294532499
Position 3840: 0.0005482694264785674
Position 7057: 0.0005141128327086101
Position 1559: 0.0004672623814017798
Position 572: 0.00042886225200198765
Position 896: 0.0004171071085959073
Position 1376: 0.00036983289602242987
Position 1023: 0.0003618029278581596
Position 1887: 0.00036108568945618857
Position 1817: 0.0003535472183757271
Position 3209: 0.000348185378610549
Position 494: 0.0002721203875302209
Position 287: 0.0002479847034891602
Position 203: 0.00024374281238254394
Position 6500: 0.00019962275165240408
Position 4377: 0.00015222476119399275
Position 797: 0.00014809317407044422
Position 6494: 0.00013605930587158937
Position 4910: 0.00011892105100134213
Position 2757: 0.00010499438594454555
Position 1879: 9.264454587357261e-05
Position 578: 7.117786980103526e-05
Position 1839: 6.376933717332181e-05
Position 698: 5.782202406620842e-05
Position 25: 5.2997041754869515e-05
Position 823: 4.753745185188291e-05
Position 3862: 4.1096608675690526e-05
Position 974: 2.8929972053082863e-05
Position 20: 2.8032812139802496e-05
Position 969: 2.5612962585733122e-05
Position 2755: 2.534767806080768e-05
Position 777: 2.0696971531955464e-05
Position 1014: 1.941804967049628e-05
Position 4698: 1.5847266810738816e-05
Position 760: 1.445782830444018e-05
Position 2886: 1.1100202674126241e-05
Position 3024: 1.0919414704286619e-05
Position 878: 1.0547083164039522e-05
Position 1853: 9.283279717501891e-06
Position 1436: 8.49178283744851e-06
Position 918: 6.064438122463475e-06
Position 1687: 5.933642935842646e-06
Position 629: 5.67793539714397e-06
Position 1395: 4.838330763981517e-06
Position 1601: 4.3202421913297965e-06
Position 703: 3.6459834148278177e-06
Position 843: 3.5056294766400394e-06
Position 1241: 2.959323086443091e-06
Position 2559: 2.379466080320281e-06
Position 2236: 1.2911834164756488e-06
Position 3306: 9.046783032508173e-07
Position 3251: 7.155089866422857e-07
Position 3113: 3.648602308609206e-07
Position 27: 3.2659293545744334e-07
Position 3263: 2.486465787595404e-07
Position 47: 1.350604515298378e-07
Position 246: 1.1322282296276317e-07
Position 542: 9.66534856685011e-08
Position 223: 8.634792011800752e-08
Position 36: 8.517539588304166e-08
Position 446: 5.691324303903447e-08
Position 549: 4.8888602499635156e-08
Position 370: 3.7332360476498645e-08
Position 103: 2.8035726916305756e-08
Position 1860: 2.595661966397084e-08
Position 197: 2.4789440228625967e-08
Position 75: 1.2481777810579384e-08
Position 606: 1.0963810715231327e-08
Position 2110: 8.131122807732062e-09
Position 56: 4.230792786022725e-09
Position 375: 3.5245439085732196e-10
Position 422: 3.491814855202873e-10
Position 435: 5.759001784504543e-11
Position 226: 5.016505173036642e-11
Position 514: 3.6365444287528065e-11
Position 94: 2.6838909202740795e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 1743: 0.9305988451819063
Position 2189: 0.8529699825362307
Position 17091: 0.7543985525245633
Position 13644: 0.3961350904745035
Position 17654: 0.2888136900809404
Position 20309: 0.251819412854918
Position 20236: 0.1774168747268965
Position 1790: 0.050036856515750905
Position 2290: 0.04433199196096802
Position 13890: 0.03889143521589743
Position 4232: 0.023283012658074444
Position 7000: 0.021882168630915105
Position 13035: 0.02146439631470869
Position 2915: 0.021072783539080556
Position 2307: 0.01963512871784087
Position 6490: 0.014345073659113217
Position 4488: 0.013769347710466118
Position 14161: 0.012515909890771155
Position 3095: 0.011406041607549528
Position 5392: 0.010990908389767639
Position 9629: 0.009780096326109227
Position 3373: 0.007932101677391022
Position 1637: 0.007292157200209551
Position 7734: 0.006256310818989915
Position 2265: 0.006118341744874228
Position 2131: 0.006045122798325496
Position 14726: 0.005177200040458258
Position 2919: 0.0050257012102124235
Position 13814: 0.004998643845690879
Position 11590: 0.0046821349362451475
Position 1597: 0.004614263591186942
Position 2219: 0.004065460159309146
Position 11758: 0.003926791597912366
Position 3791: 0.003921755918986536
Position 2235: 0.003758305509370382
Position 13467: 0.0037568494766518235
Position 9968: 0.003452982276480702
Position 13683: 0.003388877865665063
Position 701: 0.003151184037079455
Position 5389: 0.0026887322510541433
Position 10146: 0.002405808246978903
Position 2505: 0.002309185582108921
Position 1156: 0.0020348853218866746
Position 1715: 0.0020229599120799037
Position 6878: 0.001828821240509882
Position 673: 0.0017415293108350959
Position 9862: 0.001740406316377666
Position 7584: 0.0017391810242512013
Position 2230: 0.001449860235013146
Position 3062: 0.0014057776973904848
Position 7115: 0.001357033843153908
Position 2716: 0.0012921299061390552
Position 4304: 0.0011049763956959707
Position 1308: 0.0010894697883865132
Position 6379: 0.0010535398514963145
Position 1804: 0.0010279546041532253
Position 1274: 0.0010246674118659501
Position 4535: 0.00100358408379367
Position 4679: 0.0009379344378729665
Position 3746: 0.0008300388061994582
Position 1233: 0.0007964469599794178
Position 1849: 0.000753555149962793
Position 2811: 0.0007412772950736718
Position 6176: 0.0007126362148039807
Position 5892: 0.0006396813273195433
Position 8955: 0.0006217251354235699
Position 3817: 0.000507873072425278
Position 4987: 0.00047991371246242613
Position 2863: 0.0004509274380201199
Position 6528: 0.0003811691036373052
Position 8734: 0.0003671884319363672
Position 8477: 0.0003668521522021755
Position 3492: 0.0003548890351015779
Position 523: 0.00031231403428481815
Position 2670: 0.000279191311859455
Position 1681: 0.00027403969179945774
Position 7902: 0.0002711723525850671
Position 2618: 0.0002618096447877863
Position 481: 0.00025555113733471643
Position 5417: 0.0002474826453686238
Position 4649: 0.00024558683955733793
Position 1036: 0.00024454939501064143
Position 5186: 0.00024072319864105207
Position 4430: 0.0002268007785975202
Position 1070: 0.00022671975910669903
Position 1271: 0.0002044871199842861
Position 4624: 0.0002014171702421238
Position 3892: 0.00018260261093527852
Position 1062: 0.00016730115723974427
Position 3907: 0.00016331930329722006
Position 5028: 0.00015913168884177175
Position 1816: 0.00015377075817979663
Position 1577: 0.0001264426037249239
Position 2771: 0.00012597984713073922
