Gene = MMACHC
index = 852
Annotated 5SS: [ 361 7498 8312]
Annotated 3SS: [7302 8158 8742]
SMsplice 5SS: [ 361 7498 8312]
SMsplice 3SS: [ 7302  8158 10588]
top_k =  500
Partition function (log Z): -5.910082840802445

Sorted 5' Splice Sites (High to Low Probability):
Position 361: 0.9928223422599087
Position 8312: 0.9490336334657237
Position 7498: 0.9014747883836437
Position 11877: 0.18905917572283862
Position 10629: 0.054889891665952005
Position 6321: 0.03779430252749831
Position 8753: 0.037738779123647787
Position 3775: 0.029210927970352626
Position 6158: 0.02728685814045331
Position 3287: 0.02436697182038309
Position 1665: 0.022587039019183672
Position 3115: 0.021041423841124278
Position 3721: 0.019369276326323258
Position 599: 0.01726914091490603
Position 5213: 0.015842539200244334
Position 7375: 0.013086488975322498
Position 1156: 0.01065308893879306
Position 6397: 0.010098845090193083
Position 3945: 0.009209531341343087
Position 7602: 0.00884404684407201
Position 162: 0.008763550599664412
Position 2516: 0.008073541792739128
Position 11154: 0.0072668762020584535
Position 1018: 0.00687094698660318
Position 6714: 0.00683785466985402
Position 8350: 0.006536603281556041
Position 42: 0.006430987539073656
Position 6368: 0.006311068102164653
Position 5379: 0.005011547342512414
Position 1386: 0.004450241672166518
Position 2783: 0.004425117700127812
Position 7464: 0.004334266689634444
Position 346: 0.003595429350814681
Position 4718: 0.0034615493606192987
Position 7761: 0.002636618687348916
Position 5791: 0.0022005163272983616
Position 1262: 0.002031653349324519
Position 4222: 0.0019752275741847843
Position 3119: 0.0019390885126487007
Position 10739: 0.0018836106594194541
Position 63: 0.0018263074963499415
Position 2779: 0.001662890266221694
Position 219: 0.0015612103459838951
Position 3788: 0.001515170049320625
Position 11403: 0.0015047222472270928
Position 3858: 0.0011818609695270648
Position 6301: 0.0010672995156552965
Position 1698: 0.0010508866235816488
Position 3133: 0.0009962532779217205
Position 8030: 0.000752549293667767
Position 3679: 0.0007426452826746349
Position 1677: 0.0007074661222781853
Position 7956: 0.000705222529303711
Position 6152: 0.000687639161084927
Position 4149: 0.0006246593801462312
Position 519: 0.0005637989085492397
Position 3478: 0.000539337376980169
Position 6372: 0.0005331805210020018
Position 631: 0.0005007120649282427
Position 1511: 0.0004900520371131908
Position 8879: 0.00048082215477165155
Position 5256: 0.00047065446159661286
Position 8824: 0.00043922135036040985
Position 7673: 0.0003728225148809119
Position 8326: 0.00023238470483146257
Position 13: 0.00012061413501633186
Position 8249: 6.960958728760452e-05
Position 8552: 6.721063228587832e-05
Position 10053: 2.8812783799311656e-05
Position 105: 1.7152622819722924e-05
Position 83: 1.5792758397857678e-05
Position 99: 1.1065105697019018e-05
Position 273: 1.0140289432154716e-05
Position 1039: 8.856274891055429e-06
Position 1093: 8.06957584873322e-06
Position 959: 7.391933097682e-06
Position 753: 5.127151769961962e-06
Position 1224: 4.867154093252021e-06
Position 8201: 4.543685336478333e-06
Position 8476: 3.6473052103456617e-06
Position 1540: 3.415581531368048e-06
Position 1713: 2.6107135880890693e-06
Position 2057: 2.161915321824007e-06
Position 1390: 2.1558163449993055e-06
Position 422: 1.6942342088759047e-06
Position 268: 8.811048149054026e-07
Position 909: 8.137150119126329e-07
Position 97: 7.62004292184431e-07
Position 365: 5.398801688835036e-07
Position 61: 4.680477443340766e-07
Position 1912: 4.0804078806198936e-07
Position 835: 6.998294558870093e-08
Position 678: 4.831934698971465e-08
Position 200: 2.8340974793717627e-08
Position 7489: 2.160640214115783e-08
Position 329: 8.599344656125606e-09
Position 381: 7.738480895148836e-09
Position 475: 4.756497865883542e-09
Position 453: 1.6700970457800121e-09
Position 498: 1.48754511380613e-09
Position 467: 1.3222483388329544e-09
Position 492: 4.900635141110642e-10
