Gene = TMEM88B
index = 1455
Annotated 5SS: [258]
Annotated 3SS: [1425]
SMsplice 5SS: [258]
SMsplice 3SS: [1425]
top_k =  500
Partition function (log Z): -5.645002984083771

Sorted 5' Splice Sites (High to Low Probability):
Position 258: 0.9983595091412145
Position 521: 0.012819386170962664
Position 731: 0.006669416021319083
Position 527: 0.00527124013781728
Position 4: 0.0019948625347064146
Position 204: 0.00048197882083972224
Position 43: 0.0004296942811371079
Position 489: 0.0003750356969877795
Position 371: 0.0003492087501801836
Position 273: 0.000309898789860667
Position 775: 0.0002491230299221047
Position 576: 0.00020615440107739537
Position 1055: 0.0002001723154949208
Position 567: 0.00016223573348043854
Position 667: 0.00014143695621349976
Position 122: 0.00013291517378502635
Position 119: 0.00013204515283631247
Position 1147: 7.13958191626266e-05
Position 46: 5.7183840135842234e-05
Position 266: 4.8561212110947125e-05
Position 645: 3.714472788719816e-05
Position 319: 3.15072115716581e-05
Position 373: 2.6135627919027087e-05
Position 543: 2.5388989715141434e-05
Position 294: 2.162118070326738e-05
Position 110: 1.371789486942076e-05
Position 304: 1.2433065437625124e-05
Position 245: 5.686937505703476e-06
Position 847: 5.557191488041404e-06
Position 462: 3.215902408572471e-06
Position 833: 1.4182188847713293e-06
Position 332: 9.237641045742807e-07
Position 1449: 3.4175104911440815e-07
Position 228: 3.792343119129763e-10
Position 310: 7.394599014925575e-11
Position 225: 2.0808425522956423e-11
Position 357: 1.8409105402528833e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1425: 0.8030290677173431
Position 364: 0.0677546280410433
Position 345: 0.04094126785940471
Position 1468: 0.03637427227942825
Position 1375: 0.023995126151509383
Position 665: 0.02360047554037001
Position 389: 0.011116702830070964
Position 975: 0.0037907260805389023
Position 922: 0.0029295986631127794
Position 366: 0.002420435753003539
Position 859: 0.002323885016245892
Position 1341: 0.0019055429381153624
Position 192: 0.0016405354955263984
Position 619: 0.001506910010921935
Position 592: 0.000949171896707342
Position 451: 0.0006209617442963538
Position 643: 0.0005192510551555086
Position 876: 0.0004001130468990997
Position 495: 0.000379403740104716
Position 117: 0.00037806614981968973
Position 95: 0.00033044254997541955
Position 630: 0.00027304894151963295
Position 576: 0.000270285154703842
Position 403: 0.00022410589165912836
Position 804: 0.0001715839134974447
Position 475: 0.00013875166425720095
Position 326: 0.00011348144936323901
Position 599: 9.064471954466012e-05
Position 505: 8.321333607985342e-05
Position 415: 7.058080873127875e-05
Position 484: 5.292745716427781e-05
Position 421: 5.1522849109529134e-05
Position 1555: 5.0589035997287636e-05
Position 727: 3.791487096712872e-05
Position 549: 2.5281029467511318e-05
Position 747: 2.2570623697434745e-05
Position 457: 1.3393112542575864e-05
Position 516: 1.1379211725098954e-05
Position 817: 1.0664901149499194e-05
Position 102: 8.957227405532236e-06
Position 667: 7.0474591018034316e-06
Position 792: 5.006673535371955e-06
Position 555: 4.677457739961813e-06
Position 558: 7.459465576391114e-07
Position 775: 6.095475664118913e-07
Position 740: 3.7233207219138095e-07
Position 765: 3.065898686534359e-07
Position 1632: 2.9791086262238573e-07
Position 256: 1.6115782071875921e-09
Position 427: 3.2893844756218223e-10
Position 430: 3.0150840878041553e-10
Position 288: 1.1089443395156332e-12
Position 262: 4.350905851170468e-15
Position 304: 7.064900561197394e-16
