Gene = GIMAP1-GIMAP5
index = 591
Annotated 5SS: [   23  2423  3739 21041 24260]
Annotated 3SS: [ 2373  3379 20836 24210 25514]
SMsplice 5SS: [   23  2423  3739 10259 21041 24260]
SMsplice 3SS: [ 2373  3599 10014 20931 24210 25514]
top_k =  500
Partition function (log Z): -9.46355555108987

Sorted 5' Splice Sites (High to Low Probability):
Position 10259: 0.9969788636586118
Position 2423: 0.8666885549454145
Position 24260: 0.8624409868194666
Position 23: 0.841130122679014
Position 3739: 0.5760817578104717
Position 13364: 0.4135348079373653
Position 1820: 0.2821525061713405
Position 6894: 0.27816558264541785
Position 3730: 0.2757823468379187
Position 6241: 0.1952665734838646
Position 2291: 0.15024723876782745
Position 2728: 0.12473745002433734
Position 6950: 0.07173821389267494
Position 24472: 0.05449882495072429
Position 288: 0.05041748401323554
Position 2475: 0.040233399151695326
Position 9041: 0.03852501799691258
Position 174: 0.03689791174172566
Position 3492: 0.028912629870017956
Position 3552: 0.028618409330766214
Position 182: 0.022035284596107273
Position 6635: 0.021187275542564065
Position 1367: 0.01888237679062535
Position 3889: 0.0185153120241869
Position 420: 0.01694180395322437
Position 1805: 0.013161744434554605
Position 741: 0.010247062510643487
Position 2374: 0.010098400732513281
Position 445: 0.007533588150511672
Position 1320: 0.007419348701714118
Position 770: 0.005759280521978435
Position 3516: 0.0052740833595079795
Position 1941: 0.005109599013892054
Position 2295: 0.004473184607063342
Position 718: 0.0028965936837559193
Position 6640: 0.002560186940654634
Position 1912: 0.0025121339242749193
Position 3701: 0.00189992132219838
Position 3832: 0.0013764074872210778
Position 191: 0.0012136687061869893
Position 2996: 0.0011822919573656098
Position 1968: 0.0009815719379705
Position 4024: 0.0008580896316180819
Position 246: 0.0006576133454889242
Position 6652: 0.0006017794322064192
Position 3937: 0.00030434873793872827
Position 1422: 0.0002894851833417118
Position 2527: 0.00027315929706037313
Position 2723: 0.00026966133812712665
Position 2298: 0.00024831640224124097
Position 2591: 0.00024619774970447984
Position 651: 0.00023936218428411086
Position 3255: 0.00014926246413381032
Position 5703: 0.00014560242299306055
Position 3629: 0.00013981583424660875
Position 6374: 0.0001395023620847106
Position 3688: 0.0001317741217169382
Position 613: 0.00011780030024698858
Position 831: 0.00010648203336642067
Position 6222: 0.00010116240669480636
Position 806: 8.997854217881307e-05
Position 6361: 7.446532961930291e-05
Position 1824: 7.269456695770005e-05
