Gene = SIMC1
index = 1258
Annotated 5SS: [  271 56896 57954 75479 84059 86391 98510 98780]
Annotated 3SS: [ 56662  57883  75323  83905  86261  98352  98694 106815]
SMsplice 5SS: [  271 19597 25136 32154 57954 70320 75479 84059 86391 98510 98780]
SMsplice 3SS: [ 19517  25049  32023  57883  70227  75323  83905  86261  98352  98694
 106815]
top_k =  500
Partition function (log Z): -57.0330665574097

Sorted 5' Splice Sites (High to Low Probability):
Position 271: 0.7174824837691721
Position 7387: 0.3832655164208071
Position 689: 0.2789847014422482
Position 4235: 0.19865201614382383
Position 2765: 0.1931388276904599
Position 3536: 0.15423802810213788
Position 5043: 0.14668979071574983
Position 1037: 0.13858939413834553
Position 3380: 0.10007486352256116
Position 3995: 0.0853447682901241
Position 1313: 0.07488659749558176
Position 1052: 0.043438990884142145
Position 5039: 0.03744084190290094
Position 1078: 0.01509551444486075
Position 3870: 0.014973853513823864
Position 275: 0.014345985719218794
Position 3850: 0.014084925826357078
Position 9334: 0.0060120279822973586
Position 7352: 0.005915728125601448
Position 126: 0.004928835605399356
Position 1085: 0.004713959671828838
Position 3353: 0.004592346110996985
Position 3991: 0.0027379179136725646
Position 2369: 0.0023586900352530397
Position 1448: 0.0017408657544712466
Position 1859: 0.0010917738059318255
Position 918: 0.0008172240404912089
Position 915: 0.0006480368323698393
Position 2959: 0.0004987018274475374
Position 985: 0.00039546234027431146
Position 677: 0.0003224158955680116
Position 1527: 0.0002237100268208091
Position 647: 0.00021576317057698692
Position 2269: 0.0002015958056129009
Position 1177: 0.00017602344163110593
Position 3178: 0.00013819325862692602
Position 157: 0.00013282424702048382
Position 210: 9.673691425563394e-05
Position 1024: 8.130674507668168e-05
Position 119: 4.7407446497896404e-05
Position 554: 3.4569359318489846e-05
Position 1170: 3.4428354443889715e-05
Position 982: 2.75078917510322e-05
Position 598: 1.6372428945816118e-05
Position 612: 1.4391743055582147e-05
Position 1055: 1.0797042719528671e-05
Position 679: 9.541525447275689e-06
Position 92: 7.411288048628712e-06
Position 665: 7.301828516783409e-06
Position 1366: 6.310963994837692e-06
Position 1686: 6.010688508376221e-06
Position 1191: 5.211442846823995e-06
