Gene = BLACE
index = 134
Annotated 5SS: [ 126 4831 5123 7007 8035]
Annotated 3SS: [4736 4983 6849 7890 9153]
SMsplice 5SS: [ 126 4141 4831 5123 6577 7007 8035]
SMsplice 3SS: [3977 4564 4983 6388 6913 7890 9667]
top_k =  500
Partition function (log Z): -2.8191635886448054

Sorted 5' Splice Sites (High to Low Probability):
Position 6577: 0.9463364608712269
Position 5123: 0.7776075063484135
Position 7007: 0.7414332614695686
Position 4141: 0.7147543507074363
Position 4831: 0.6400584071627399
Position 8035: 0.46345334425318396
Position 3577: 0.4279886171870187
Position 126: 0.36967270897130255
Position 9847: 0.3584624037549761
Position 4466: 0.3361973468071969
Position 8000: 0.3235482050869282
Position 7731: 0.2726280326577584
Position 350: 0.16177615898684627
Position 208: 0.10247308120472405
Position 80: 0.07976404088727952
Position 524: 0.06691576394855658
Position 4900: 0.06618212537786308
Position 4461: 0.06548011774143919
Position 8320: 0.06522764182943783
Position 4002: 0.06293995866457262
Position 7223: 0.052692960894658906
Position 4016: 0.04470546647182409
Position 8260: 0.04209840001033702
Position 699: 0.03842216865842871
Position 3379: 0.03591879421705562
Position 6967: 0.035025831965461676
Position 9246: 0.032962182505986884
Position 7738: 0.032426613894251013
Position 874: 0.027165283950480488
Position 163: 0.025083780926472243
Position 3469: 0.022030441560346954
Position 431: 0.021072205550304406
Position 8173: 0.019751995307589816
Position 8504: 0.01603506867421413
Position 606: 0.013630409696216022
Position 3595: 0.013523476428795055
Position 5128: 0.013367777145992226
Position 2089: 0.012192425515929339
Position 7824: 0.012100445458222173
Position 1001: 0.011706523478315642
Position 36: 0.01165239943549449
Position 4843: 0.010163460521502958
Position 1256: 0.010079327628638977
Position 305: 0.009508974223022406
Position 7762: 0.00915005633672619
Position 10684: 0.008436070750841063
Position 216: 0.008221244610722041
Position 2229: 0.008014157470584626
Position 5291: 0.00799396889681099
Position 1128: 0.007749228001237912
Position 5148: 0.00767919212582684
Position 2027: 0.007515906279837024
Position 479: 0.006669083530148158
Position 8522: 0.006624534182753001
Position 4880: 0.006482269250283407
Position 2119: 0.006458721856682192
Position 4421: 0.005895707834599556
Position 1440: 0.00542940622494925
Position 387: 0.005256290346951117
Position 5421: 0.005191183644626583
Position 3669: 0.00504204014541729
Position 3978: 0.004888729386890042
Position 2423: 0.004647857956812197
Position 1333: 0.004596141009336469
Position 654: 0.004580886128831791
Position 9981: 0.0042206186102782366
Position 89: 0.004083751095245643
Position 3761: 0.003894028025842375
Position 781: 0.0037306842680217443
Position 4375: 0.0034514366129003255
Position 3985: 0.0031778265857436683
Position 5140: 0.002804596036703146
Position 10697: 0.002675362188633663
Position 5481: 0.002452654507290907
Position 4031: 0.0024359305175652227
Position 8640: 0.002351895813434161
Position 5740: 0.0023206323285018373
Position 8743: 0.002007218454798356
Position 6029: 0.0019741460857269732
Position 7214: 0.0017001715514491848
Position 8262: 0.0016266799137280477
Position 3308: 0.001487116144586199
Position 3998: 0.001012829269223053
Position 6653: 0.0009261346578924188
Position 6546: 0.0009101270031848796
Position 3295: 0.0008816252361986245
Position 561: 0.000834135409897323
Position 6720: 0.0008188042600216935
Position 438: 0.0008174461482651941
Position 9364: 0.0007951016048417256
