Gene = NAPEPLD
index = 911
Annotated 5SS: [  422 20750 29656 34173 45809]
Annotated 3SS: [20439 29008 34057 45677 46109]
SMsplice 5SS: [  310 20516 29656 34173]
SMsplice 3SS: [20439 29561 34057 46168]
top_k =  500
Partition function (log Z): -30.474121763799197

Sorted 5' Splice Sites (High to Low Probability):
Position 1413: 0.7582521205053574
Position 872: 0.5694963794235858
Position 310: 0.36264799400746045
Position 1272: 0.11380305469639526
Position 238: 0.10769659826786936
Position 189: 0.0692757540126128
Position 534: 0.05777607941072959
Position 930: 0.04759124928824452
Position 444: 0.01842084454402736
Position 422: 0.018122894562468937
Position 12063: 0.00999945571693626
Position 113: 0.008643285735557307
Position 7528: 0.0060223748538538
Position 1249: 0.005993931063159807
Position 843: 0.005936812299953007
Position 9785: 0.005562574259900946
Position 395: 0.00400934169598866
Position 448: 0.0029687693453375403
Position 278: 0.0028330729037080974
Position 876: 0.0021872845336538102
Position 153: 0.0018134668516640257
Position 349: 0.0013317249207082983
Position 87: 0.0013139779789970807
Position 63: 0.001295026735314408
Position 1278: 0.0012336022413814158
Position 2691: 0.0011469218516049404
Position 689: 0.000759261841700858
Position 2593: 0.000655925788352867
Position 1222: 0.0005414183379693893
Position 150: 0.0005319391240107511
Position 22: 0.0005060219529552101
Position 562: 0.00041856837177737854
Position 2548: 0.00041270707263853994
Position 2555: 0.0001913900408391559
Position 881: 0.00017014212603648854
Position 173: 0.00016172834729776667
Position 37: 0.00015432772295625901
Position 847: 0.00014044317576624894
Position 460: 0.00013185308518935926
Position 193: 0.0001316518540309102
Position 797: 0.00012992652244112464
Position 1177: 0.00011961317659194293
Position 1779: 0.00011206072846194996
Position 3558: 0.00010457732710805756
Position 901: 9.248957028518716e-05
Position 426: 8.036919145923401e-05
Position 20: 7.233863566260535e-05
Position 441: 5.3142252410130605e-05
Position 80: 4.8201575980646534e-05
Position 355: 4.816560855139992e-05
Position 727: 4.3421571222078376e-05
Position 715: 3.598163000921899e-05
Position 626: 2.4820148258577537e-05
Position 43: 2.0223213640440628e-05
Position 697: 1.5761821044714882e-05
Position 639: 1.5397301638342208e-05
Position 666: 1.2205571240767727e-05
Position 34: 9.407053958342709e-06
Position 505: 8.092194635169515e-06
Position 658: 6.6543415406045e-06
Position 651: 6.449126185939744e-06
Position 629: 6.107677442272233e-06
Position 1036: 5.5564615103740205e-06
Position 974: 5.087365420426946e-06
Position 560: 4.781254602253823e-06
Position 488: 4.7788571918200875e-06
Position 663: 3.206922923223404e-06
Position 1654: 2.2879138506647877e-06
Position 1663: 5.971225174579241e-07
Position 2544: 4.979652891490413e-07
Position 2490: 4.4359405048921615e-07
Position 200: 3.45265397702056e-10
Position 503: 1.6061499419093431e-12

