Gene = TARBP1
index = 1376
Annotated 5SS: [  931  6390  7916 11602 13448 15267 18843 19874 21437 28676 30624 32301
 41829 45694 49017 49688 49968 51528 51787 53431 58402 61020 68659 73201
 77923 80722 85458 85742 86688]
Annotated 3SS: [ 6291  7845 11452 13394 15168 18706 19776 21346 28536 30523 32127 41730
 45531 48801 49425 49778 51336 51714 53309 58290 60869 68571 73003 77840
 80549 85265 85616 86550 87357]
SMsplice 5SS: [  931 11602 18843 19874 21437 28676 30624 32301 41829 45694 49017 49688
 51056 51528 51787 53431 58402 68529 73201 77923 80698 85458 86688]
SMsplice 3SS: [11452 18706 19776 21346 28536 30523 32127 41730 45531 48801 49547 50967
 51336 51714 53309 58290 68406 73003 77840 80549 85265 86550 87357]
top_k =  500
Partition function (log Z): 20.871849090644954

Sorted 5' Splice Sites (High to Low Probability):
Position 32301: 0.9999999999999986
Position 41829: 0.9999999999999982
Position 73201: 0.9977495532877353
Position 85458: 0.9968197108056847
Position 21437: 0.9881598541620337
Position 77923: 0.9791850046363844
Position 28676: 0.9720193021409516
Position 18843: 0.9693833426632692
Position 53431: 0.9487184581482327
Position 49688: 0.9456605863968964
Position 11602: 0.9245970601982026
Position 58402: 0.9149064181422689
Position 19874: 0.9034558212177588
Position 49017: 0.8917048823237544
Position 51787: 0.8793044175000561
Position 45694: 0.8762938031660897
Position 931: 0.8675990145196759
Position 30624: 0.7126672819995055
Position 51528: 0.6949816761660473
Position 68529: 0.6616986161105124
Position 85742: 0.6314423808717824
Position 15267: 0.629114724884536
Position 7916: 0.61920139908913
Position 61020: 0.6101427629961674
Position 51056: 0.5841915325817011
Position 86688: 0.567172538161619
Position 21747: 0.5596729344797705
Position 80698: 0.506821744518069
Position 68659: 0.45854417585803436
Position 78251: 0.41337966275024884
Position 6390: 0.4106160888169777
Position 13448: 0.39409653488585955
Position 80722: 0.3775418294875108
Position 5572: 0.33931464553855667
Position 49968: 0.29853374188695697
Position 78873: 0.2965671288119282
Position 66607: 0.2747912159804967
Position 30739: 0.24792848270954834
Position 25707: 0.24756368624643205
Position 50192: 0.24349439837187586
Position 3517: 0.22719711867784412
Position 29996: 0.2230512501182369
Position 1708: 0.2087823187148308
Position 14943: 0.16591263505432874
Position 48531: 0.16250258734098602
Position 15492: 0.14869560242960214
Position 30296: 0.1389593575515578
Position 67807: 0.13622578799099627
Position 54998: 0.13285937975705928
Position 52175: 0.12214340615169678
Position 3562: 0.10663923959009505
Position 32014: 0.10096584373626907
Position 47792: 0.09880820835334188
Position 45714: 0.09172381343084748
Position 3780: 0.08527726230701242
Position 58378: 0.0839108469053948
Position 13182: 0.08372696473249186
Position 49064: 0.08172275061407566
Position 29756: 0.08080209947080592
Position 55617: 0.07477512693157432
Position 87455: 0.06449076322106027
Position 80660: 0.06265163846585896
Position 26421: 0.05761407797574457
Position 6548: 0.055194755150547434
Position 4031: 0.05517897643253449
Position 11651: 0.05145681871724784
Position 47820: 0.050802437893885784
Position 54991: 0.050224845833632376
Position 3575: 0.048241270912664246
Position 13264: 0.04539487683813317
Position 200: 0.04371343903222064
Position 87202: 0.03972049406244216
Position 50151: 0.037735334883191196
Position 51061: 0.03706983073526936
Position 189: 0.03602215781319462
Position 12366: 0.03470663895950127
Position 26322: 0.034061150754495985
Position 48859: 0.03222434500424532
Position 56931: 0.029272527588362608
Position 28650: 0.02798069785904789
Position 9776: 0.026078327116009607
Position 32066: 0.025241176916890738
Position 13298: 0.02520821465126479
Position 60699: 0.023052035627341504
Position 15505: 0.022175296990437535
Position 58585: 0.020588167068848365
Position 64062: 0.020257562034137425
Position 51582: 0.01986137491412377
Position 15277: 0.019763778157089736
Position 16134: 0.019012127935069893
Position 53731: 0.01831017862362757
Position 52964: 0.01784403549271536
Position 4001: 0.016580126066176436
Position 53027: 0.01624010776903852
Position 60674: 0.01618976401926352
Position 1397: 0.0161303876155687
Position 11859: 0.01466091888569432
Position 13537: 0.014132208260468897
Position 54084: 0.013850082698003878
Position 51047: 0.013022499728019141
Position 85753: 0.0126497665330349
Position 1242: 0.01256905995603985
Position 25368: 0.012477256227055793
Position 82648: 0.01168200117809472
Position 12501: 0.010821104249741111
Position 58894: 0.009688366280815963
Position 47695: 0.009223640156157996
Position 65477: 0.00917470126936246
Position 84382: 0.008839858375295946
Position 82239: 0.008536852402381726
Position 78336: 0.008279093153301062
Position 9464: 0.008066874246435483
Position 55555: 0.007910101017021878
Position 60570: 0.007174821883145984
Position 78977: 0.006985816476681791
Position 317: 0.006616584265922476
Position 51796: 0.006290130573734009
Position 50161: 0.005714796005398386
Position 86636: 0.0051882223730233285
Position 54260: 0.0050667210487772615
Position 48327: 0.0048272762085727
Position 14106: 0.0045466426578606
Position 55145: 0.0045247917298996305
Position 49394: 0.004180207543567206
Position 58607: 0.003994668376279663
Position 11911: 0.003755842424912309
Position 55092: 0.003384316974742593
Position 804: 0.0033141671639528216
Position 879: 0.0032376809667667653
Position 77184: 0.003181975267909496
