Gene = NEXN
index = 937
Annotated 5SS: [  132 27506 29130 29411 29646 36602 37984 38265 40877 44852 47417 53581]
Annotated 3SS: [27426 28937 29331 29496 36559 37785 38087 40687 44653 47194 53394 53832]
SMsplice 5SS: [  132   469 25075 27506 29411 29646 37984 38265 40877 44852 47417 53581
 53960 54191]
SMsplice 3SS: [  267 24980 27426 29331 29496 37785 38087 40687 44738 47194 53394 53832
 54100 54271]
top_k =  500
Partition function (log Z): -30.573530386507393

Sorted 5' Splice Sites (High to Low Probability):
Position 132: 0.9326977595983337
Position 469: 0.5478364118502608
Position 2792: 0.36304190961324573
Position 2910: 0.20679515901637555
Position 4738: 0.17369613793062838
Position 2212: 0.02414934599926398
Position 819: 0.016328571555136912
Position 760: 0.014819857870569296
Position 2807: 0.009671178121689985
Position 1484: 0.00817104333197583
Position 8450: 0.007790534761432239
Position 152: 0.005680364456568552
Position 1247: 0.005464656408260277
Position 3118: 0.0053100062523584535
Position 1109: 0.004408717734935806
Position 4806: 0.0038307942475639617
Position 178: 0.003812350742637885
Position 2197: 0.0021743346963599736
Position 363: 0.002020470216414669
Position 387: 0.0018577610698754519
Position 1056: 0.001380901617152832
Position 4823: 0.001303945675454509
Position 193: 0.0009424459270863473
Position 1840: 0.0007442175275459687
Position 1469: 0.0003040127018420959
Position 1863: 0.0002714788892152608
Position 483: 0.00017853885546285873
Position 102: 0.0001741637889998704
Position 615: 0.0001695406172911851
Position 501: 0.00016232835550417885
Position 114: 0.00015850774040214455
Position 141: 0.00013893991576308128
Position 1719: 0.00013505231127239068
Position 180: 0.00013091396548155823
Position 1426: 0.00011658277644847735
Position 300: 0.0001086465536664467
Position 185: 7.583793580853622e-05
Position 1773: 5.067442121388204e-05
Position 397: 4.221494102911382e-05
Position 637: 3.196073170038222e-05
Position 462: 3.046055022793903e-05
Position 29: 7.517500636470028e-06
Position 510: 5.724413285037653e-06
Position 237: 3.6910289745207916e-06
Position 395: 3.039742637897994e-06
Position 2914: 2.147725913628151e-06
Position 2902: 2.0803071385124232e-06
Position 166: 1.1006787898390928e-06
Position 514: 9.000991952246185e-07
Position 419: 6.802572161648042e-07
Position 453: 5.007498281410597e-07
Position 82: 4.695183853209432e-07
Position 1499: 3.265629393864361e-07
Position 967: 2.6875327216981357e-07
Position 27: 1.1506822260856676e-07
Position 297: 1.848988283731365e-08
Position 542: 1.842333893185172e-08
Position 427: 1.358834684363226e-10
Position 254: 9.609371366500434e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 267: 0.47829915573906917
Position 2865: 0.38654671923889333
Position 11374: 0.2694721262876828
Position 2717: 0.22177093091914982
Position 12260: 0.15358157312734946
Position 2699: 0.10019277169471444
Position 4695: 0.08878660722382448
Position 2676: 0.06678012717149666
Position 10814: 0.062123536746494054
Position 4603: 0.051029752634177056
Position 4671: 0.04096450221566022
Position 8218: 0.037791773499597156
Position 3022: 0.03448893016651283
Position 5225: 0.03343640638411853
Position 3040: 0.023753858394122026
Position 5837: 0.022280935018503187
Position 584: 0.020706546319499662
Position 4259: 0.017784067579231736
Position 4714: 0.016392488366275663
Position 4871: 0.01564142564192552
Position 4906: 0.014994252443996615
Position 10730: 0.012883298707079355
Position 1374: 0.012554729425335637
Position 609: 0.012368785685097264
Position 4732: 0.011928385942531573
Position 1568: 0.011409491602818263
Position 1987: 0.011365583145910732
Position 223: 0.01019719324979054
Position 2117: 0.008186172349467108
Position 373: 0.008186049533853542
Position 549: 0.0074371795161785
Position 2533: 0.007284665638854106
Position 385: 0.006836649812969209
Position 606: 0.006670083573128658
Position 9105: 0.006284384556941367
Position 294: 0.005782304225034673
Position 2035: 0.005299770506516521
Position 5249: 0.004856762550960187
Position 2574: 0.004290088787829739
Position 4283: 0.0029995212999701184
Position 4182: 0.0026140518550944007
Position 2991: 0.0023047683226880187
Position 5229: 0.002201627669557949
Position 892: 0.0021762994858015635
Position 8799: 0.002161620778394065
Position 3601: 0.0014101913693593433
Position 5074: 0.0014057927430672307
Position 1108: 0.0013638866499003299
Position 4984: 0.001287515839534581
Position 6106: 0.0012802593253207302
Position 1844: 0.0011617446444541104
Position 1522: 0.0011401893917001634
Position 1102: 0.001127083732012278
Position 1318: 0.0009236281842141108
Position 6987: 0.0009155509573464105
Position 3604: 0.0008800295761888955
Position 759: 0.0008648506346329204
Position 3676: 0.0008460946181091523
Position 2487: 0.0006995592493790347
Position 5018: 0.0006773418723995486
Position 1011: 0.0006732223236961962
Position 486: 0.0006240243299886274
Position 2016: 0.0005214083750990178
Position 5857: 0.0004998985249969949
Position 2554: 0.0003143878725900162
Position 930: 0.0002971136203414169
Position 649: 0.00029273527842018276
Position 2167: 0.0002760359524783927
