Gene = ACBD6
index = 23
Annotated 5SS: [   910   7494  10686  72775  89589 105439 188263]
Annotated 3SS: [  7428  10588  72691  89482 105348 188231 214436]
SMsplice 5SS: [   910   7494   8593  10686  23091  36300  72775  78892  89589 100586
 105439 111337 133663 155793 160978 188263 191441 202752 202967]
SMsplice 3SS: [  7428   8474  10588  22972  36149  72691  78730  89482 100494 105348
 111226 133529 155698 160824 188231 191214 202697 202845 214436]
top_k =  500
Partition function (log Z): -101.5319090922149

Sorted 5' Splice Sites (High to Low Probability):
Position 10686: 0.9796589562516943
Position 8593: 0.9233775430275338
Position 7494: 0.8425930992163839
Position 910: 0.6451018725081592
Position 16148: 0.3145048304133418
Position 15004: 0.2582745640760386
Position 1274: 0.223106428474174
Position 23091: 0.21431580335075429
Position 900: 0.1972487579937627
Position 3471: 0.18919319473581753
Position 12794: 0.18666616610936496
Position 17603: 0.16528156689059884
Position 16498: 0.09586831759413769
Position 8239: 0.09343570258859335
Position 8231: 0.0919659265443521
Position 862: 0.06834262526192908
Position 6403: 0.03944402532825516
Position 1528: 0.0390716984672956
Position 9061: 0.03354037962183262
Position 10915: 0.0305936275593273
Position 7522: 0.02868426764109458
Position 7562: 0.02658856544637256
Position 11586: 0.025522551582057337
Position 14564: 0.02024148198455505
Position 14827: 0.017724871990963193
Position 5607: 0.010797983762053136
Position 7541: 0.009237271898265764
Position 6206: 0.008752225777141576
Position 1903: 0.007964521104676436
Position 543: 0.007567323660651022
Position 7100: 0.0059713863866333195
Position 1265: 0.00424968307017467
Position 1017: 0.0033260082390811335
Position 891: 0.0032432604161287564
Position 3107: 0.0030993505085756077
Position 14488: 0.002993990903455133
Position 984: 0.0028808643752226437
Position 17764: 0.0025804486951378717
Position 769: 0.002479282590696609
Position 2386: 0.0018647819542129795
Position 1804: 0.0016104853529850533
Position 462: 0.001473362473013735
Position 3557: 0.0014125278727080569
Position 3042: 0.0013270191003692058
Position 606: 0.0013088061205825182
Position 4608: 0.001175868851062275
Position 15463: 0.0010650632324294368
Position 4319: 0.000906453694070486
Position 522: 0.0003931053382076625
Position 989: 0.0003489575739244076
Position 142: 0.00025965255030200506
Position 486: 0.00021389422008077775
Position 1698: 0.0001561143279079755
Position 3011: 0.00011205462833518115
Position 2522: 0.00010555970435580439
Position 1406: 0.00010135011326324615
Position 8426: 8.001229215097316e-05
Position 1614: 7.984152517886063e-05
Position 572: 7.823245762555985e-05
Position 10672: 7.22255998978377e-05
Position 1943: 5.919736184208247e-05
Position 1003: 5.632912720178441e-05
Position 2952: 4.8290965042887175e-05
