Gene = RP5-864K19.6
index = 1188
Annotated 5SS: [  171  8585 14041 14723]
Annotated 3SS: [ 8511 13991 14592 16887]
SMsplice 5SS: [  171  8585 14723]
SMsplice 3SS: [ 8511 14592 16887]
top_k =  500
Partition function (log Z): -9.90637446585913

Sorted 5' Splice Sites (High to Low Probability):
Position 171: 0.9900563120150272
Position 8585: 0.7996946386822135
Position 14723: 0.3021335583786908
Position 6825: 0.26760638148333404
Position 7451: 0.10896069746805237
Position 3220: 0.07977507498436223
Position 8008: 0.07773817592509787
Position 3182: 0.0752100533804089
Position 8069: 0.06865781062256014
Position 10329: 0.06632588304476454
Position 12957: 0.06281701517657154
Position 9012: 0.059112991331152824
Position 8544: 0.051715975263359394
Position 9030: 0.042313951730606786
Position 7842: 0.03825953244907335
Position 14041: 0.03199107615803821
Position 8992: 0.028411820001122693
Position 14282: 0.014970349719144311
Position 5693: 0.014149562714285864
Position 7655: 0.01282347746886464
Position 5747: 0.012668937645548425
Position 5864: 0.012220012284550948
Position 10360: 0.009118996028159156
Position 7939: 0.008172490897418708
Position 1485: 0.007812340254213378
Position 138: 0.007094913676501294
Position 2135: 0.00693748235848705
Position 8606: 0.006626356873812097
Position 4487: 0.005604701852796446
Position 8711: 0.004407163205049331
Position 14680: 0.0032244362777610913
Position 122: 0.00235027457695231
Position 8758: 0.00048287146119135307
Position 8528: 0.0003773009082870014
Position 4930: 0.0003213812831971306
Position 251: 0.0002849519340133337
Position 4870: 0.0002586601523381643
Position 2793: 0.0002337399358706045
Position 3003: 0.0002288371730745949
Position 1081: 0.00014822339376918976
Position 623: 0.0001426904849590039
Position 3184: 0.0001366252853110334
Position 5842: 0.00013404245912527438
Position 396: 7.586165356121796e-05
Position 2145: 4.18929225914813e-05
Position 898: 6.846602425875767e-06
Position 1462: 4.019922933761599e-06
Position 538: 3.4380128525367453e-06
Position 1143: 2.3995828464203025e-06
Position 3009: 2.3539674051084885e-06
Position 2167: 2.129548541687319e-06
Position 1673: 2.092749809237366e-06
Position 532: 1.7479825458949228e-06
Position 1137: 1.5694174415492945e-06
Position 1653: 1.1580604445762093e-06
Position 429: 1.1432398495583175e-06
Position 486: 9.57866895580538e-07
Position 410: 8.056105301233594e-07
Position 1800: 6.787269040225541e-07
Position 2625: 5.988837770559973e-07
Position 1120: 5.458055830587655e-07
Position 2639: 3.450947910298528e-07
Position 2561: 3.0036231906850783e-07
Position 2224: 2.2568599008705772e-07
Position 1445: 1.9566304120271464e-07
Position 652: 1.791685981769546e-07
Position 3144: 1.326561548994302e-07
Position 177: 1.2782547193419114e-07
Position 264: 9.042045902350542e-08
Position 25: 7.893307568466367e-08
Position 522: 7.43156162534579e-08
Position 668: 2.0976489049677326e-09
Position 256: 2.0415876903859013e-09
Position 306: 1.7886324323881564e-09
Position 447: 1.2545516249863832e-09
Position 696: 1.1950701269000692e-09
Position 210: 8.616165595884699e-10
Position 662: 6.686190025827388e-10
Position 671: 3.9042073079990663e-10
Position 346: 1.9605406873087632e-10
Position 644: 1.565995272271142e-10
Position 458: 1.1421787274534069e-10
Position 222: 2.9666975357755245e-11
Position 351: 2.8452756114018793e-11
Position 175: 1.1838153328765104e-11
Position 348: 1.1064189447365e-11
Position 213: 9.42602348432785e-12
Position 280: 4.4265288325254e-12
Position 189: 2.6538328890696304e-12
Position 272: 2.5280981200521855e-12
Position 687: 1.37379051436427e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 8511: 0.8643283058686544
Position 16887: 0.6205051817411212
Position 14592: 0.29498093398564273
Position 13991: 0.1890320778483709
Position 6677: 0.1790801485449396
Position 12703: 0.11348579328661688
Position 7692: 0.10749110958690214
Position 8853: 0.09909373778317021
Position 7362: 0.0911287854141599
Position 10208: 0.07966179241827717
Position 2930: 0.06749012506309807
Position 6740: 0.0669972998966383
Position 3092: 0.06441337204448867
Position 14158: 0.05583709901309258
Position 7857: 0.04265612770848853
Position 8856: 0.04099620448897341
Position 16535: 0.03623026040285178
Position 10805: 0.027506314507792087
Position 7739: 0.024684967865734743
Position 15811: 0.02231577884405362
Position 16848: 0.02097431913309017
Position 7347: 0.017856628697084893
Position 5621: 0.01615301504031634
Position 7554: 0.015222127744420314
Position 5730: 0.010530081416510557
Position 7897: 0.008558014057829988
Position 7965: 0.007283385517702152
Position 1206: 0.006119790801318314
Position 3098: 0.005504340558029098
Position 5408: 0.005151198912577477
Position 5624: 0.00508098527033584
Position 2952: 0.00502939298306393
Position 6657: 0.004988475383034641
Position 6794: 0.0047889079328025
Position 3143: 0.004486029580402781
Position 6689: 0.004434818794312842
Position 8000: 0.003709353645733981
Position 2041: 0.003555341490035439
Position 4297: 0.003357340605026571
Position 3002: 0.003320971262179309
Position 6424: 0.0027360298767621534
Position 6543: 0.002707497124898665
Position 3118: 0.0026352322441226396
Position 15807: 0.00239843266611332
Position 4264: 0.0022592703939474327
Position 2030: 0.0021584374777946684
Position 5478: 0.0017834629023447456
Position 3094: 0.0014544652248486693
Position 8652: 0.0014348344794294218
Position 11126: 0.001314830912655882
Position 6584: 0.0012881596515822962
Position 827: 0.0012208499917124788
Position 3070: 0.0012183170678658046
Position 15097: 0.0011292456631384726
Position 5746: 0.0011249579094110655
Position 13699: 0.0010401734329326506
Position 13369: 0.001012646862010886
Position 2114: 0.0009758021951995471
Position 6601: 0.0008915203516688532
Position 12699: 0.0008525105165664157
Position 10739: 0.0007277945050072742
Position 1362: 0.0006401269218784179
Position 1226: 0.0006100917569418338
Position 4686: 0.0005851158300062888
Position 1365: 0.0005037199573946885
Position 2926: 0.0003343654288555045
Position 1202: 0.0002662801216718308
Position 9193: 0.00022248484386222782
