Gene = DHDDS
index = 444
Annotated 5SS: [   22   654  5930 10519 14078 15306 25551 27790]
Annotated 3SS: [  535  5812 10375 13960 15203 25435 27681 36536]
SMsplice 5SS: [  654  5930 10519 14078 15306 25551 27790]
SMsplice 3SS: [ 5812 10375 13960 15203 25435 27681 36539]
top_k =  500
Partition function (log Z): -2.3773814072175408

Sorted 5' Splice Sites (High to Low Probability):
Position 15306: 0.9987061626566271
Position 27790: 0.9915259068004496
Position 14078: 0.9652628229788256
Position 10519: 0.9292841142982281
Position 5930: 0.8951640097648023
Position 654: 0.8866424396915038
Position 4346: 0.5217880984750416
Position 10018: 0.36092521920056
Position 9941: 0.2556979715800611
Position 4601: 0.24261801176072018
Position 2092: 0.21346685118269296
Position 397: 0.20949016156055478
Position 9777: 0.13012762216170126
Position 2217: 0.11912468911598206
Position 287: 0.0989430350062149
Position 689: 0.09505453697630065
Position 10463: 0.06992267681457362
Position 22: 0.06943052038467004
Position 5934: 0.06916318408368548
Position 14485: 0.054161700207763855
Position 2610: 0.043979026252314604
Position 1233: 0.042192988466426364
Position 3862: 0.03313358319653362
Position 369: 0.03312172939757793
Position 1064: 0.021618951210881955
Position 5974: 0.0206301509845589
Position 11909: 0.020522304274797315
Position 4035: 0.020008736128452
Position 4633: 0.017874722199263893
Position 4686: 0.016503239072440886
Position 1969: 0.015225283458735034
Position 14496: 0.014108652854981538
Position 164: 0.01336110592929009
Position 5882: 0.013236860881592417
Position 4371: 0.011939359571697996
Position 4027: 0.010754034408863404
Position 7415: 0.010704333058868818
Position 61: 0.010454001870715159
Position 14907: 0.010072896456621207
Position 9987: 0.009184590981000622
Position 1908: 0.006044604402778423
Position 14824: 0.005842710787212131
Position 138: 0.004986940528328145
Position 5634: 0.004237274143355389
Position 11116: 0.003538736362253786
Position 2149: 0.00333168677615237
Position 32385: 0.0033103575958287356
Position 28878: 0.003025601039102386
Position 2065: 0.0023722046958657406
Position 41: 0.0023044646283607293
Position 677: 0.002115278792601485
Position 6180: 0.002040023103854346
Position 147: 0.001922363241272398
Position 168: 0.0018152960171547963
Position 5938: 0.0015189575879675646
Position 240: 0.0015092713749248162
Position 476: 0.0014161927631566647
Position 276: 0.0013024960403396726
Position 797: 0.0012357937039862929
Position 14192: 0.0011588885801511505
Position 4558: 0.0009871125248863434
Position 324: 0.0009576475480527785
Position 15073: 0.0008919364324732697
Position 3721: 0.0007971913746200765
Position 394: 0.00048560796603627955
Position 4970: 0.0004358892528668952
Position 503: 0.0004007440850610819
Position 15328: 0.00033702793359139836
Position 14511: 0.0003197860399252805
Position 14537: 0.0002584442955454777
Position 11875: 0.00024991674934365417
Position 10458: 0.00018054497422982134
Position 291: 0.00012883064071327868
Position 11330: 0.00012480187556186692
Position 1615: 0.00010481403717893009
Position 1221: 9.06060856474936e-05
Position 16594: 7.929478444515458e-05
Position 16435: 7.464858717672518e-05
Position 3060: 6.22500914387325e-05
Position 2153: 2.5906579615196055e-05
Position 456: 2.4443430867304363e-05
Position 185: 2.1578607764665454e-05
Position 254: 1.9693224505138834e-05
Position 133: 1.3259258446573632e-05
Position 821: 1.194994877484409e-05
Position 808: 7.761567260432067e-06
Position 16096: 4.8942731223561405e-06
Position 632: 3.945025904464011e-06
Position 897: 3.7165328691345017e-06
Position 480: 3.1428344111998792e-06
Position 10495: 2.964659062220322e-06
Position 727: 2.1595092317427445e-06
Position 421: 2.1117684887302892e-06
Position 5955: 7.40886637316716e-07
Position 736: 6.669552634390425e-07
Position 1508: 2.533906704689359e-07
Position 1161: 2.504147562821182e-07
Position 548: 2.101736988121141e-07
Position 755: 1.207954271258508e-07
Position 693: 7.701779493005666e-08
Position 566: 1.247658387596821e-11
Position 379: 1.7583400116925731e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 5812: 0.9943778066581013
Position 15203: 0.9830547743193994
Position 27681: 0.9810184997515519
Position 10375: 0.8836670722390126
Position 13960: 0.6651721547404567
Position 4093: 0.4800275435663931
Position 36539: 0.44089146557715164
Position 535: 0.38172880411337634
Position 9854: 0.36703956614937505
Position 1953: 0.2898553008918516
Position 4418: 0.2779830855573111
Position 9698: 0.21009177453853492
Position 14033: 0.20663285196480644
Position 10352: 0.1061095491193689
Position 9907: 0.09953678452168682
Position 32318: 0.09599653197345843
Position 36536: 0.09138780180110229
Position 13915: 0.09109591493165763
Position 9647: 0.0752932377986059
Position 34752: 0.07356491022649278
Position 14373: 0.07019490301013119
Position 32080: 0.06127368739056674
Position 31664: 0.06076672071113648
Position 977: 0.058127408036565166
Position 32481: 0.039402198139775184
Position 3974: 0.03828102550625388
Position 32953: 0.03450396038818906
Position 29050: 0.03144969674949933
Position 1874: 0.022553317759819443
Position 473: 0.020364887162804202
Position 4113: 0.019197292465531587
Position 15112: 0.01658309461712638
Position 11699: 0.01637487527520625
Position 28563: 0.015428706817500274
Position 3720: 0.015328861037018436
Position 2490: 0.015015096799197757
Position 2487: 0.014705263522354402
Position 14733: 0.014330824410412862
Position 4251: 0.014177209173386622
Position 30177: 0.014104629153503459
Position 3766: 0.012847061131266274
Position 1816: 0.01279310189337783
Position 1803: 0.012742813236300481
Position 27470: 0.012557847375546261
Position 476: 0.011298431455409973
Position 4089: 0.010710811621037559
Position 1862: 0.010653239679863256
Position 7312: 0.010531130130929205
Position 33376: 0.010260749461669605
Position 10409: 0.009182367284014116
