Gene = MAT2B
index = 818
Annotated 5SS: [  202  6649  8122  8447 11164 12127]
Annotated 3SS: [ 6453  8006  8293 10969 12012 12644]
SMsplice 5SS: [  202  8122  8447 11164 12127]
SMsplice 3SS: [ 8006  8293 10969 12012 12644]
top_k =  500
Partition function (log Z): 0.6857193140595164

Sorted 5' Splice Sites (High to Low Probability):
Position 8447: 0.9907988040166984
Position 8122: 0.9375865368305589
Position 202: 0.8830465038214725
Position 11164: 0.8697320924179569
Position 12127: 0.8612242472640361
Position 6649: 0.5306047904398894
Position 9419: 0.2885733829294018
Position 8686: 0.1020173042867989
Position 12570: 0.10028546079826177
Position 11198: 0.0959565789613781
Position 394: 0.08135109380466819
Position 803: 0.05548962110859693
Position 6598: 0.0495988623418649
Position 9996: 0.02921330665301316
Position 434: 0.028298903788633728
Position 142: 0.028019599010654976
Position 11936: 0.0246670770147285
Position 12168: 0.021853553475199933
Position 5551: 0.01519383956186195
Position 10831: 0.01510016566155173
Position 12936: 0.013739754516040346
Position 12804: 0.0071356610012353475
Position 12190: 0.006168753627663365
Position 592: 0.004573409398936826
Position 12860: 0.0036290260570018863
Position 9679: 0.0024316033718906538
Position 11100: 0.001933476079068643
Position 12131: 0.0013211395637838673
Position 229: 0.0012449550639131747
Position 9658: 0.0008685244725713615
Position 10872: 0.0007696839719397744
Position 10423: 0.0006808139948651854
Position 8744: 0.0006479997525443612
Position 299: 0.0006353017813416181
Position 10849: 0.0005938511771906785
Position 4072: 0.0004690303530362331
Position 5694: 0.00044478381498396695
Position 747: 0.000416424180383688
Position 13550: 0.0003734908452297216
Position 862: 0.0003341860157193226
Position 11512: 0.00031248940076097984
Position 5170: 0.0003078438678390135
Position 11508: 0.0002915148341135201
Position 10449: 0.0002307883152173507
Position 3986: 0.0002264568166408537
Position 1794: 0.00022384141687209738
Position 11070: 0.0002158346171454388
Position 8776: 0.0002002326809846459
Position 101: 0.00019663529100951273
Position 1112: 0.000191433238951669
Position 1219: 0.0001887469093692598
Position 4414: 0.00018672382162557473
Position 11436: 0.0001829835480669988
Position 12066: 0.00014046983888391158
Position 486: 0.00013943189670113457
Position 3466: 0.00013156369488744697
Position 9192: 0.0001310713374170163
Position 773: 0.0001219908547869573
Position 3263: 0.00010950442705179588
Position 1618: 0.00010668588172432804
Position 4148: 0.0001048134764319552
Position 566: 8.830243588351336e-05
Position 8880: 5.180250943642413e-05
Position 539: 5.063541150490755e-05
Position 8797: 4.430839072098007e-05
Position 570: 4.3713832326789095e-05
Position 444: 4.246323968610302e-05
Position 91: 4.240961287517334e-05
Position 196: 3.0086586119852556e-05
Position 438: 2.718914789846157e-05
Position 80: 1.716117610772806e-05
Position 28: 1.5006553776162549e-05
Position 562: 1.0122592197206172e-05
Position 222: 5.051958658175165e-06
Position 370: 4.6507067534064086e-06
Position 644: 3.7851310568203493e-06
Position 499: 3.0507400630468744e-06
Position 188: 1.87694836989402e-06
Position 612: 1.7761122749989598e-06
Position 3787: 1.500903386828171e-06
Position 3165: 1.4203311545977354e-06
Position 778: 1.319367370918992e-06
Position 695: 1.143644163376841e-06
Position 286: 1.1121965632394624e-06
Position 210: 1.0937078666330133e-06
Position 1768: 1.0936697609165142e-06
Position 12855: 9.537144721367861e-07
Position 12830: 8.818013950100067e-07
Position 887: 7.528525765662795e-07
Position 2348: 6.731821936490136e-07
Position 457: 6.286622985669998e-07
Position 3664: 6.038627033402263e-07
Position 322: 5.711715452536116e-07
Position 124: 5.264453966696993e-08
Position 764: 4.619934832034326e-08
Position 62: 1.7092656529868146e-08
Position 175: 7.89855683205095e-09
Position 319: 2.1406690942412876e-09
Position 31: 4.663693253195138e-10
Position 398: 3.729652643366698e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 8293: 0.9728874738433859
Position 10969: 0.9418978179490479
Position 12012: 0.8618059699298244
Position 8006: 0.7652589121292219
Position 12644: 0.56861283427218
Position 6453: 0.3763521783259084
Position 12666: 0.22021544835906676
Position 12357: 0.17962486641260209
Position 9339: 0.17248847781136725
Position 6515: 0.16634009939291733
Position 7977: 0.09788674420859013
Position 9316: 0.08869200409883467
Position 8019: 0.0691945673807185
Position 725: 0.05521809338991228
Position 8557: 0.044331255934412436
Position 6476: 0.03125048691738163
Position 8536: 0.02506324036509707
Position 9868: 0.0241763896218351
Position 12925: 0.02304079896916902
Position 11053: 0.02273541082105351
Position 13379: 0.020556719427996663
Position 11806: 0.01946275667317076
Position 283: 0.018514970528039028
Position 8324: 0.018013766573989936
Position 13158: 0.01679958866589449
Position 10686: 0.016050046073430545
Position 9095: 0.015582931038286469
Position 5455: 0.015521536414634501
Position 12279: 0.01298130542791054
Position 8629: 0.011624790300365218
Position 9389: 0.00943100126186823
Position 11916: 0.00891614395456026
Position 13431: 0.007960077778947309
Position 12249: 0.00795124566157947
Position 11819: 0.007320971175420292
Position 11967: 0.006997896346580738
Position 12057: 0.006826246896842333
Position 12336: 0.006687645633728781
Position 6215: 0.00626088814554713
Position 13213: 0.006142405690137365
Position 13257: 0.006032936036329012
Position 8633: 0.005481744492038876
Position 7807: 0.005251347110558776
Position 12655: 0.005104075415180231
Position 12091: 0.005061286311330508
Position 342: 0.004450094382238853
Position 12935: 0.004202853297610179
Position 303: 0.004038393242004804
Position 12669: 0.0038880141647287883
Position 8559: 0.0033472698110491804
Position 11895: 0.003227737200468575
Position 13644: 0.0031894425983726737
Position 13356: 0.0030227008957648734
Position 13382: 0.002740481450849722
Position 8646: 0.0026690966475087113
Position 13003: 0.0025588732681159653
Position 11008: 0.002542830622698546
Position 8602: 0.002506206337736868
Position 11872: 0.0023412149553542058
Position 8272: 0.0023081309277229703
Position 12027: 0.002178749901993486
Position 11058: 0.002109185336199453
Position 8673: 0.0021014238209240113
Position 9884: 0.0019578924186847684
Position 12206: 0.0018934793557518052
Position 9813: 0.0017616694097202115
Position 11936: 0.0016391242602037486
Position 12110: 0.0016227257530035412
Position 8363: 0.0015247655538324187
Position 9504: 0.001266952742083505
Position 9588: 0.0011857822451014073
Position 11379: 0.0011798935400624837
Position 11142: 0.0010558465038146502
Position 414: 0.0010463218647927236
Position 10255: 0.0009911217728263992
Position 9135: 0.0009793636703026632
Position 12599: 0.0008815806793753099
Position 12879: 0.0007085276993394004
Position 9471: 0.0006931075931103291
Position 8604: 0.0006887654765308655
Position 9395: 0.0006882048659035021
Position 12957: 0.0006869726258932022
Position 4058: 0.0005738438294681886
Position 10972: 0.000549053829650617
Position 9932: 0.0005376874358649555
Position 9957: 0.00047527867286391995
Position 12692: 0.00046397177256269576
Position 11405: 0.00044300538165874487
Position 12713: 0.00043530358585788944
Position 11285: 0.00041628526915891143
Position 10539: 0.0004152456700220163
Position 9248: 0.00040772234456539055
Position 12428: 0.00039301483205471735
Position 9372: 0.00038835767167065435
Position 612: 0.0003816886373985259
Position 562: 0.00035379156211700773
Position 11940: 0.0003500870734937719
Position 8329: 0.0003483973635061731
Position 13295: 0.00034238348448485727
Position 8575: 0.00032369501364464995
Position 11119: 0.0002961726795235607
Position 11835: 0.00026800402287554105
Position 11435: 0.0002504714100927566
Position 9188: 0.0002483462741307629
Position 384: 0.00023166823107546216
Position 1680: 0.00022493508663301364
Position 956: 0.00021253369650215065
Position 3089: 0.00017329764080841218
Position 8568: 0.00016015983071520167
Position 9708: 0.0001546328047905282
Position 9935: 0.00014966445451025244
Position 8584: 0.00014847258570248865
Position 3786: 0.00014334835696417004
Position 8246: 0.00014230911101159957
Position 1154: 0.0001299026471671701
Position 12569: 0.0001247460721276668
Position 4867: 0.00011788621120711323
Position 4207: 0.00011757606570779284
Position 5550: 0.0001170869622114301
Position 4892: 0.00010595732237469502
Position 12113: 0.00010350448905431295
Position 3818: 8.038840822272009e-05
Position 5084: 7.827652619223724e-05
Position 12284: 7.304109683169398e-05
Position 3370: 6.919081228542849e-05
Position 4283: 6.914775591778185e-05
Position 1358: 6.903380213170249e-05
Position 10866: 5.501357535557891e-05
Position 8722: 4.5807464517454514e-05
Position 10928: 4.278876555900202e-05
Position 1545: 3.508942548235893e-05
Position 476: 2.786761326418727e-05
Position 1082: 1.976641072607897e-05
Position 8485: 1.849468995420079e-05
Position 930: 1.7134560129747085e-05
Position 8194: 1.6188405656567553e-05
Position 11847: 6.859414698967868e-06
Position 9541: 6.47612581714974e-06
Position 5030: 5.723808064967954e-06
Position 8742: 3.9630893499554375e-06
Position 9260: 3.1416570363165607e-06
Position 9367: 2.828948095370508e-06
Position 9355: 2.6383467535772973e-06
Position 3635: 2.3278871546159496e-06
Position 9536: 1.6009442573080855e-06
Position 8982: 1.5847798107688936e-06
Position 426: 1.56478694122234e-06
Position 3839: 1.1929360050174723e-06
Position 3755: 7.001316811583066e-07
Position 3465: 6.038627033402272e-07
Position 2181: 4.994674157143424e-07
Position 569: 2.920122326696491e-07
Position 2141: 1.7371477793467172e-07
Position 494: 1.2481953217087555e-07
Position 355: 1.0141184866513258e-07
Position 1401: 1.0013714965309203e-07
Position 9737: 9.183474339119572e-08
Position 485: 8.920877849760126e-08
Position 305: 8.611984928567551e-08
Position 483: 6.742884943080222e-08
Position 319: 5.746853346092828e-08
Position 398: 2.6012178388229414e-08
Position 430: 2.0753882346087538e-08
Position 457: 1.937553750349135e-08
Position 235: 1.7077134331917908e-08
Position 580: 1.542421002231217e-08
Position 585: 6.469696503825119e-09
Position 370: 3.725618915356101e-09
Position 248: 3.1370641931642824e-09
Position 185: 2.4705265636343823e-09
Position 206: 1.4549605966107032e-09
Position 443: 1.0898906133178953e-09
Position 201: 1.0633326507664084e-09
Position 257: 8.362118755168279e-10
