Gene = SKP2
index = 1260
Annotated 5SS: [  204   976 11690 14596 16381 18376 19667 24950 25226]
Annotated 3SS: [  703 11577 14451 16245 18276 19535 24897 25117 29750]
SMsplice 5SS: [  204   976 11690 14596 16381 18376 25226 26744]
SMsplice 3SS: [  703 11577 14451 16245 18276 25117 26530 31772]
top_k =  500
Partition function (log Z): 4.7980825441249895

Sorted 5' Splice Sites (High to Low Probability):
Position 11690: 0.9880427445782083
Position 976: 0.9793111893127427
Position 16381: 0.9748216660759138
Position 25226: 0.9553830122485332
Position 14596: 0.8750305803936007
Position 18376: 0.8459409597924672
Position 26744: 0.825112919419854
Position 204: 0.7344570055274385
Position 28223: 0.6573281027374367
Position 7808: 0.5566907417987985
Position 5573: 0.4422207723206955
Position 19667: 0.3787077055258941
Position 4532: 0.24396581525552039
Position 504: 0.21890279012387964
Position 27960: 0.21824493208607942
Position 4487: 0.20240412846812864
Position 20645: 0.1933394177407261
Position 27616: 0.15977224587828787
Position 1463: 0.15167687744940977
Position 25661: 0.14598571747523992
Position 24950: 0.13515231793055277
Position 25709: 0.12258290428540666
Position 30887: 0.11572237046385608
Position 25438: 0.11198240972701946
Position 20303: 0.10201711540107894
Position 1860: 0.0997512549120572
Position 8183: 0.09520912810883231
Position 31903: 0.09283676882279956
Position 17006: 0.08239930113097209
Position 25044: 0.08106477210512635
Position 29810: 0.08063091987270335
Position 2358: 0.07960384864503177
Position 25796: 0.06676814296183312
Position 25718: 0.0652115895072643
Position 14698: 0.06486122799720229
Position 25561: 0.0637598888728815
Position 31054: 0.06374012365937229
Position 2968: 0.060876738593963656
Position 16755: 0.05059845950314704
Position 20188: 0.047902333396215274
Position 4806: 0.044360259714255515
Position 25230: 0.04434083728321641
Position 29105: 0.04325181745268296
Position 14258: 0.04048710530810448
Position 4469: 0.040370014909395305
Position 21990: 0.03744348185786392
Position 13136: 0.036078126476756775
Position 31888: 0.03380327168591607
Position 16900: 0.03287126088159315
Position 27490: 0.03238972875367581
Position 16885: 0.029352198003858004
Position 15695: 0.02806158017132647
Position 27066: 0.024481150032720632
Position 5817: 0.024474996371996304
Position 21622: 0.024177672752562086
Position 1589: 0.022704953273420456
Position 4905: 0.020473789500900955
Position 291: 0.019929495763201823
Position 22782: 0.019235973483809628
Position 1800: 0.01922028970438462
Position 30878: 0.01891865754993871
Position 25557: 0.018490537774004244
Position 19393: 0.018213582221967395
Position 26790: 0.017514522860667344
Position 31882: 0.015158472327147617
Position 26868: 0.01500685583554456
Position 27510: 0.014451842602351507
Position 17728: 0.014240488871091481
Position 16926: 0.011413910620880579
Position 4874: 0.01095085086144584
Position 4077: 0.010917577495537251
Position 838: 0.01028353723974494
Position 21626: 0.009790618689347896
Position 5968: 0.009731812701505695
Position 21504: 0.009317655172764987
