Gene = INSL5
index = 703
Annotated 5SS: [210]
Annotated 3SS: [3010]
SMsplice 5SS: [210]
SMsplice 3SS: [3010]
top_k =  500
Partition function (log Z): -7.13334436775544

Sorted 5' Splice Sites (High to Low Probability):
Position 210: 0.9547645256256861
Position 488: 0.2972499615858934
Position 779: 0.15864893483818018
Position 1333: 0.0757940922188284
Position 3047: 0.06394435336383451
Position 1059: 0.06231254994376291
Position 968: 0.038505956262644615
Position 1321: 0.02409437888591333
Position 815: 0.023533777190318614
Position 2726: 0.012865923434387772
Position 1158: 0.00841396183198616
Position 169: 0.007741161128859279
Position 984: 0.007475109284358841
Position 1151: 0.007356264658723822
Position 216: 0.006997978122786341
Position 514: 0.006694513165025719
Position 1317: 0.006496396419865826
Position 3088: 0.004905866117220277
Position 774: 0.002557040395567487
Position 2896: 0.0024163976683317864
Position 971: 0.0017893045831647522
Position 2212: 0.0017258288254126412
Position 2810: 0.001141847681496379
Position 763: 0.0009548776649519885
Position 2518: 0.0007331263189467038
Position 110: 0.0005000325137307507
Position 537: 0.00039836980274482854
Position 579: 0.00028013865754602656
Position 565: 0.0002680761765841855
Position 771: 0.00012926250491758831
Position 844: 9.154830991143397e-05
Position 225: 7.367805148998667e-05
Position 921: 6.868988482232987e-05
Position 1879: 5.409373016800787e-05
Position 92: 5.332901648406689e-05
Position 227: 5.108282769718148e-05
Position 531: 4.092480517066825e-05
Position 310: 3.564871914463188e-05
Position 1134: 3.562144699791055e-05
Position 1377: 3.3446810374166295e-05
Position 791: 3.2139236660362374e-05
Position 1523: 3.077345816447287e-05
Position 999: 2.9634172090481616e-05
Position 315: 1.4230353822062018e-05
Position 106: 9.192417782248163e-06
Position 837: 7.861973100961851e-06
Position 996: 4.351169899097009e-06
Position 664: 4.1976408985188544e-06
Position 647: 3.875373761689996e-06
Position 382: 3.7106722809456413e-06
Position 120: 3.667868968097085e-06
Position 904: 2.8628753549839748e-06
Position 156: 2.7631471788366637e-06
Position 594: 2.5155056162725396e-06
Position 251: 8.196891515375908e-07
Position 529: 5.500440455292329e-07
Position 597: 5.408166084052179e-07
Position 298: 1.5962595000172645e-07
Position 273: 8.822743227526769e-08
Position 300: 8.431980182624196e-08
Position 23: 6.750430902273997e-08
Position 332: 3.645555011086231e-08
Position 143: 3.066770555494798e-08
Position 71: 9.32936655321805e-09
Position 275: 4.593737385982767e-09
Position 58: 5.848329676078153e-10
Position 427: 1.2985008087971438e-10
Position 657: 1.2267816032124713e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3010: 0.46517285361245164
Position 427: 0.19082878090827307
Position 903: 0.17011387524858565
Position 681: 0.14888444392078745
Position 2685: 0.1473293257160794
Position 342: 0.13099535406345122
Position 2917: 0.12764436822353545
Position 1224: 0.11081643179243017
Position 2969: 0.07163445572448186
Position 3377: 0.04141650793844195
Position 3126: 0.028854808339102794
Position 2591: 0.027936803906081803
Position 3430: 0.013618119489140058
Position 1053: 0.012945422115778099
Position 1570: 0.010824034694067175
Position 1244: 0.010111386727732131
Position 2140: 0.009645460851655878
Position 693: 0.008106128498537883
Position 1186: 0.007552594680769353
Position 1017: 0.005945531194672263
Position 3297: 0.004606171210170368
Position 2938: 0.0034739655249329433
Position 2385: 0.0024953464896652735
Position 3033: 0.00233975279830293
