Gene = ISCA1
index = 718
Annotated 5SS: [  152  8341 10523]
Annotated 3SS: [ 8286 10416 16337]
SMsplice 5SS: [  152  8790 10523 11366 16419]
SMsplice 3SS: [ 8696 10416 11306 16337 17293]
top_k =  500
Partition function (log Z): -2.6425218163374775

Sorted 5' Splice Sites (High to Low Probability):
Position 10523: 0.9954999424858607
Position 152: 0.9059616562828973
Position 16419: 0.8697203917261841
Position 11366: 0.8108615949947376
Position 8790: 0.6495267463311052
Position 4795: 0.5381629662646518
Position 1224: 0.4451437633432507
Position 8341: 0.3509532962711004
Position 2829: 0.3190565991175786
Position 16878: 0.25182306293656276
Position 12518: 0.20581988615730726
Position 11092: 0.1640141988890201
Position 6610: 0.1257696414516988
Position 13915: 0.08727473499723754
Position 10154: 0.06492193525138616
Position 107: 0.03967378367557069
Position 3333: 0.032278680509796216
Position 561: 0.02957265161634933
Position 16703: 0.029074985773732073
Position 17049: 0.024010474301554303
Position 8766: 0.021107882712036088
Position 1462: 0.02047743988208571
Position 2474: 0.019695961567433876
Position 15430: 0.018758290910350667
Position 16839: 0.011973895785452607
Position 16889: 0.011528688930327338
Position 4723: 0.010389065756582525
Position 8785: 0.008189222079034738
Position 1727: 0.007276372961089287
Position 16696: 0.006893185738035511
Position 13923: 0.0064821645569979455
Position 9156: 0.00532110821670218
Position 787: 0.005099140023506653
Position 2631: 0.00484460625536842
Position 16508: 0.0039000115794655048
Position 493: 0.0038013893078105545
Position 9590: 0.00362638688802646
Position 1491: 0.001939683766924241
Position 1434: 0.001783645402866451
Position 10926: 0.001628065285866054
Position 16892: 0.001503836138315128
Position 712: 0.0010670714210502116
Position 11546: 0.0009204206752347222
Position 669: 0.0007961056569706968
Position 16610: 0.0006894435165165273
Position 429: 0.0005415109737022383
Position 1839: 0.00045434464495184293
Position 16881: 0.00044890805658456573
Position 3324: 0.0004077310586443145
Position 98: 0.00034705876912177107
Position 11838: 0.00033324952414996647
Position 1468: 0.00020162648233518186
Position 73: 0.00019956329287985976
Position 14402: 0.0001815846150271356
Position 951: 0.00017338290352870994
Position 404: 0.00015858237890264653
Position 2387: 0.0001054858164219102
Position 338: 7.983647944668271e-05
Position 216: 7.727759056703794e-05
Position 534: 6.182851706296904e-05
Position 518: 4.979464144817477e-05
Position 703: 3.981528850907749e-05
Position 479: 1.3660774558295196e-05
Position 816: 1.3474600095026637e-05
Position 1383: 6.6436996647340185e-06
Position 1203: 5.554937778770851e-06
Position 1191: 4.858209560613201e-06
Position 1286: 3.344054943505275e-06
Position 894: 2.737345076556162e-06
Position 195: 1.1963199157831593e-06
Position 1216: 8.187613558950292e-07
Position 256: 4.934726737750038e-07
Position 156: 3.390252554473424e-07
Position 86: 2.63283573115644e-07
Position 527: 1.992562608898695e-07
Position 383: 7.31032247707824e-08
Position 537: 5.969496610975235e-08
Position 511: 5.5948866238685795e-08
Position 193: 5.086184536179473e-08
Position 570: 2.3867826910780207e-08
Position 547: 8.6152251699546e-09
Position 232: 5.1959595417788845e-09
Position 181: 3.652047558815024e-09
Position 3: 7.639730806111869e-10
Position 204: 7.212314490299685e-10
Position 269: 2.204309775177879e-10
Position 5: 1.0060637557367799e-10
Position 376: 1.506609946562673e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 10416: 0.979460998364324
Position 17293: 0.6891300589414505
Position 8696: 0.6691820205112013
Position 11306: 0.5915290209198376
Position 16337: 0.5396347635655003
Position 8286: 0.35095329627110033
Position 4622: 0.34018803576834206
Position 16284: 0.3228825980037563
Position 1075: 0.27019518214108457
Position 16718: 0.2132884682836034
