Gene = BGLAP
index = 133
Annotated 5SS: [334 630 870]
Annotated 3SS: [ 590  799 1070]
SMsplice 5SS: [334]
SMsplice 3SS: [590]
top_k =  500
Partition function (log Z): -4.335687639761417

Sorted 5' Splice Sites (High to Low Probability):
Position 334: 0.9974804540010453
Position 630: 0.6269975454403435
Position 870: 0.06844972843213962
Position 917: 0.03574707171798012
Position 591: 0.035061230861521686
Position 624: 0.026289291260023308
Position 967: 0.01625453114973367
Position 829: 0.012090389676831494
Position 986: 0.004133259065948611
Position 961: 0.001302341903969453
Position 152: 0.0011919034752183601
Position 1114: 0.0011627161459565748
Position 678: 0.0004829670105691156
Position 855: 0.0004433330906826313
Position 193: 0.0003021103167309608
Position 77: 0.0002070307531544696
Position 1202: 0.00019973676566403735
Position 606: 0.00019226738523546696
Position 1009: 0.00016997954931429675
Position 564: 0.00010135242261123408
Position 955: 8.901118201193438e-05
Position 921: 8.776748758602046e-05
Position 1118: 2.382899641418231e-05
Position 1062: 2.3791941004344497e-05
Position 651: 4.619973785735263e-06
Position 686: 2.3594009533204992e-06
Position 613: 2.2047395288818567e-06
Position 369: 1.981211212496707e-06
Position 338: 1.4199437702762046e-06
Position 715: 8.884128045749648e-07
Position 202: 5.10017472919876e-07
Position 233: 3.9164618443789657e-07
Position 4: 7.814543230595298e-08
Position 427: 2.7549373988772258e-08
Position 451: 2.201252525690248e-09
Position 438: 6.569850373981162e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.6666693064712229
Position 799: 0.29243057042019166
Position 491: 0.23430668554454392
Position 1167: 0.19004301120734662
Position 727: 0.13981941414772156
Position 1070: 0.07768317493922763
Position 767: 0.055647146170891115
Position 457: 0.049220924243204005
Position 816: 0.028495062818376347
Position 1106: 0.026401968615498723
Position 1295: 0.0177180946594382
Position 1012: 0.012082379440863324
Position 477: 0.010281258209612435
Position 1326: 0.005483609765361113
Position 427: 0.004995018244067364
Position 1250: 0.0037654071590874695
Position 438: 0.003082596430538067
Position 686: 0.0017730621611799617
Position 813: 0.0016660422912106192
Position 1200: 0.001515359641181117
Position 972: 0.0007067687528523822
Position 1101: 0.0006694376292739904
Position 731: 0.0006286028036307545
Position 1347: 0.0005558203564314379
Position 1078: 0.0004429757020548656
Position 819: 0.00035255602484667736
Position 769: 0.00031536099203464263
Position 246: 0.00026639245224157715
Position 1170: 0.0002464069678694457
Position 493: 0.00016609406913555819
Position 184: 0.00012536388932536012
Position 935: 9.485041784130943e-05
Position 938: 9.41508660133917e-05
Position 243: 9.116262370814239e-05
Position 976: 8.870398840189254e-05
Position 1109: 7.899708957894115e-05
Position 528: 6.993094628252616e-05
Position 497: 6.547047139950013e-05
Position 1234: 6.168547224170177e-05
Position 1000: 5.258160687230902e-05
Position 1350: 4.9116595731750363e-05
Position 572: 3.766954124463522e-05
Position 1072: 2.9053082241217896e-05
Position 223: 2.3454431481635838e-05
Position 824: 1.9157207336549174e-05
Position 1352: 1.6314114481523345e-05
Position 156: 1.1661688157049381e-05
Position 598: 7.850957719340041e-06
Position 534: 7.627073183672236e-06
Position 329: 6.276931628815628e-06
Position 499: 5.738702145325667e-06
Position 256: 5.355417575236536e-06
Position 502: 4.1395957113062485e-06
Position 558: 3.712523190954147e-06
Position 202: 3.4432674194735852e-06
Position 736: 2.314862539874866e-06
Position 537: 2.3088998039265218e-06
Position 357: 1.916328726110087e-06
Position 189: 1.3924414967941603e-06
Position 228: 1.2968719063642906e-06
Position 240: 1.0106567414449039e-06
Position 251: 9.168922350056752e-07
Position 543: 6.005493871508779e-07
Position 522: 4.868173812135005e-07
Position 603: 3.734630941288055e-07
Position 264: 1.8764920068875288e-07
Position 276: 1.7473986613326537e-07
Position 881: 1.743897952736539e-07
Position 191: 1.7245492918411645e-07
Position 611: 1.390559880961142e-07
Position 369: 1.3631711152852185e-07
Position 618: 1.0343601780700316e-07
Position 274: 8.164917304492627e-08
Position 513: 6.786127186820577e-08
Position 507: 6.398485719624365e-08
Position 509: 6.393331165112166e-08
Position 210: 5.714368104679614e-08
Position 613: 5.547848021442581e-08
Position 233: 2.2303961228195166e-08
Position 623: 2.1824101999494957e-08
Position 333: 3.4486248626716012e-09
Position 135: 1.4798560761095413e-09
Position 124: 6.674298702002174e-10
Position 115: 5.784064199549774e-10
Position 389: 1.708629299492748e-10
Position 91: 1.2894301418658679e-10
Position 385: 2.7927327156440513e-11
Position 338: 8.875325973443524e-16
Position 382: 1.564158848871798e-18
Position 380: 1.4896077327105743e-18
