Gene = AGGF1
index = 36
Annotated 5SS: [  592  4136  5359  6336  9335 16293 17888 18603 22423 23746 25212 29359
 31418]
Annotated 3SS: [ 4032  5155  6170  9145 15961 17775 18550 22320 23579 25128 29230 31317
 32666]
SMsplice 5SS: [  592  4136  5359  9335 16293 17888 18603 23703 25212 29359 31418]
SMsplice 3SS: [ 4032  5155  9145 15961 17775 18550 23579 25128 29230 31317 32666]
top_k =  500
Partition function (log Z): 11.650561859077913

Sorted 5' Splice Sites (High to Low Probability):
Position 25212: 0.9999907754488291
Position 18603: 0.9993975665697418
Position 31418: 0.9983653125286994
Position 9335: 0.9963147284403084
Position 4136: 0.9557292807053179
Position 16293: 0.9432040167672043
Position 29359: 0.8659241107217192
Position 22423: 0.7450416106869929
Position 592: 0.6906127146328518
Position 5359: 0.6511212804506307
Position 17888: 0.626656592441459
Position 23703: 0.4620228264793225
Position 22676: 0.38044097507693814
Position 6336: 0.3630874455682648
Position 5297: 0.30202945625649025
Position 223: 0.2980574672747698
Position 30868: 0.28866249906491903
Position 5055: 0.26836387069582174
Position 23746: 0.2214730562296206
Position 32847: 0.2127446237979249
Position 10297: 0.1934168463357526
Position 31200: 0.15308072991902388
Position 33404: 0.13709158426958565
Position 32491: 0.08713494547735541
Position 10623: 0.08395432147187604
Position 30136: 0.07628779050995801
Position 24639: 0.06546575927598293
Position 508: 0.0645728745919193
Position 13977: 0.06153286478353947
Position 123: 0.04725224495755751
Position 25018: 0.042147461603138155
Position 32510: 0.03840990331500528
Position 7781: 0.037162019846274895
Position 30418: 0.03527345582607816
Position 24174: 0.033154016966703656
Position 2453: 0.03134247188806068
Position 4230: 0.02803369613049435
Position 6651: 0.025478059666278294
Position 2634: 0.0242902878634331
Position 3612: 0.023010401249705454
Position 14537: 0.022603075157718117
Position 19292: 0.019365942973037446
Position 18406: 0.01621675469247108
Position 29306: 0.01439696238996247
Position 11744: 0.013559546127151817
Position 3962: 0.013293703703287361
Position 14704: 0.012731483431000494
Position 4515: 0.0124631480121962
Position 14970: 0.012370140333632483
Position 8526: 0.011695077134256153
Position 30124: 0.01166662234502416
Position 1113: 0.010824993545877773
Position 27442: 0.010819588728423686
Position 26121: 0.009812058158838179
Position 23442: 0.009175431936589862
Position 34163: 0.008421299100027708
Position 3843: 0.008357959226250924
Position 8771: 0.008162761855486676
Position 1831: 0.008117241058552768
Position 16685: 0.007759669476213159
Position 16930: 0.007258710658921852
Position 28863: 0.006938977820539417
Position 31867: 0.0062949016958010525
Position 22711: 0.005868548281547943
Position 23448: 0.004829773845249189
Position 24453: 0.0044062375539218445
Position 4814: 0.004372530308113188
Position 24567: 0.0040107769305834234
Position 2885: 0.003658346048019217
Position 8972: 0.0034103755168968662
