Gene = RP4-613B23.5
index = 1185
Annotated 5SS: [   83 10362 18491 46394]
Annotated 3SS: [10242 18355 46166 47303]
SMsplice 5SS: [  347 10362 18491]
SMsplice 3SS: [10218 18355 43770]
top_k =  500
Partition function (log Z): -24.450915692591156

Sorted 5' Splice Sites (High to Low Probability):
Position 10362: 0.9792251028120569
Position 18491: 0.5216009005792352
Position 347: 0.4198348361571526
Position 19574: 0.30956808299365945
Position 300: 0.28856375669622997
Position 18534: 0.205105499008118
Position 83: 0.17966240517733084
Position 570: 0.11172461561098179
Position 18557: 0.06810565838106557
Position 13280: 0.05505091653785434
Position 20520: 0.007852150510030638
Position 19359: 0.005013938096530804
Position 384: 0.00019199334112978702
Position 2614: 5.4200252641422623e-05
Position 1289: 1.6751696047968824e-05
Position 5531: 1.5709413291279358e-05
Position 1951: 1.3660978211303882e-05
Position 914: 1.2624004814445107e-05
Position 1663: 9.661692983159191e-06
Position 4045: 8.534871404510304e-06
Position 3309: 6.346750680117107e-06
Position 2402: 3.8980515902246695e-06
Position 2110: 3.5286979254406733e-06
Position 905: 2.6092913167634897e-06
Position 543: 2.50680098245324e-06
Position 28: 2.3688934045784868e-06
Position 3153: 2.311643027805501e-06
Position 1595: 2.1278440478378295e-06
Position 578: 2.023889711151716e-06
Position 2864: 2.004695826889782e-06
Position 3073: 1.7894201447006216e-06
Position 180: 1.116241561070346e-06
Position 1417: 5.764672302995525e-07
Position 756: 5.521408995980803e-07
Position 68: 7.476024584403348e-08
Position 53: 4.434954630675975e-08
Position 193: 2.5815617292881886e-08
Position 937: 2.3926737453729836e-08
Position 734: 2.3404779882422397e-08
Position 220: 2.0142063478744983e-08
Position 59: 1.36564225382808e-08
Position 61: 1.2764537059046144e-08
Position 4: 7.868139144489252e-09
Position 142: 6.8520104064002355e-09
Position 524: 4.056803985282396e-09
Position 946: 3.21952742034501e-09
Position 1274: 2.939058367976253e-09
Position 291: 2.395149705350374e-09
Position 664: 7.427090327149305e-10
Position 1175: 6.662027407231691e-10
Position 1313: 1.8942396381842452e-10
Position 381: 1.8257246835272747e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10218: 0.8699101608639844
Position 18355: 0.8217206572308671
Position 20910: 0.5519045760906685
Position 19397: 0.3335943853316128
Position 20445: 0.17139992926457687
Position 10123: 0.10950399849913517
Position 24288: 0.07287756831369616
Position 19197: 0.07097915556480079
Position 19532: 0.053470805673396314
Position 13157: 0.04948548401234557
Position 20906: 0.010916921563964396
Position 10554: 0.006050155837949437
Position 13118: 0.0040567797709850795
Position 13186: 0.0039055537222249977
Position 17553: 0.003521528958167596
Position 18819: 0.002723287093471562
Position 13964: 0.001817698649173094
Position 14894: 0.0017805654824862493
Position 15636: 0.0015554223077417822
Position 15020: 0.0008635598165061428
Position 11563: 0.000833193888708266
Position 10550: 0.0006611250145473516
Position 10625: 0.0006476260038149894
Position 13988: 0.0006460686188563345
Position 11338: 0.0005082952461893039
Position 15667: 0.0004869769221064886
Position 13575: 0.0004258861009862291
Position 14390: 0.0004010765871027465
Position 13889: 0.00040034732975545353
Position 13279: 0.00034168400964770866
Position 4198: 0.0002732203437045616
Position 7777: 0.00022841818139652278
Position 13468: 0.00020807250396731933
Position 1376: 0.000178701058757179
Position 13561: 0.00017610362224952813
