Gene = MECR
index = 827
Annotated 5SS: [  202 14345 14928 24171 27802 28990 30417 34735 34992]
Annotated 3SS: [14246 14795 24026 27698 28886 30342 34673 34918 36752]
SMsplice 5SS: [  202   623 10099 14345 14928 24171 27802 28990 29559 30417 34992]
SMsplice 3SS: [  525  9989 14246 14795 24026 27698 28886 29413 30342 34918 36752]
top_k =  500
Partition function (log Z): 3.0840552890612756

Sorted 5' Splice Sites (High to Low Probability):
Position 24171: 0.9853434661892261
Position 27802: 0.9832421813706472
Position 10099: 0.9720297956846367
Position 28990: 0.9503919640352186
Position 14928: 0.9188547938891601
Position 34992: 0.9089573960011823
Position 30417: 0.8962392383547526
Position 14345: 0.8297752511859786
Position 623: 0.784981174285201
Position 29559: 0.5984241908622803
Position 17728: 0.5711063992299492
Position 202: 0.4754943802538075
Position 21179: 0.4738101508979634
Position 7793: 0.4320271318785453
Position 35720: 0.3690715744257343
Position 9858: 0.2810891829830744
Position 8090: 0.24461974859897812
Position 371: 0.21824596993029016
Position 578: 0.2097902992293768
Position 345: 0.20882474956620012
Position 24892: 0.16902906018280434
Position 30523: 0.0921953762814497
Position 6696: 0.08881757343366492
Position 34735: 0.08073430981710306
Position 18802: 0.07908107556686074
Position 29848: 0.07595608931653285
Position 33136: 0.07168829668623562
Position 14674: 0.07069267118381196
Position 8362: 0.07047303273920275
Position 32723: 0.06917792932170669
Position 21274: 0.06784048460098165
Position 30177: 0.06723778825281392
Position 6257: 0.06604098309391969
Position 28315: 0.06530662832929181
Position 31874: 0.05791013350955337
Position 6237: 0.04748015416669435
Position 31900: 0.04072104467435389
Position 33684: 0.03356432941598944
Position 13237: 0.030451621561287237
Position 194: 0.029278387354850895
Position 5087: 0.02665318052842503
Position 349: 0.02265553176144912
Position 402: 0.022641627981513337
Position 5441: 0.02017555226337549
Position 5510: 0.02017490380547695
Position 6050: 0.01928803629102391
Position 32971: 0.018712384924485407
Position 32734: 0.018711157822449934
Position 30057: 0.017901920116455815
Position 29330: 0.01787841995109451
Position 4529: 0.01775962360731837
Position 3223: 0.016696245385587182
Position 36830: 0.01623477574880457
Position 10095: 0.016101790804999884
Position 33833: 0.015714845172985124
Position 24636: 0.0154195590877185
Position 5567: 0.015333970681704733
Position 28243: 0.01495547769980317
Position 28526: 0.013919182487226624
Position 33063: 0.011545986069759043
Position 32730: 0.009707742486977955
Position 31815: 0.009208746129764295
Position 152: 0.009003063445306747
Position 14546: 0.008808778742592421
Position 13291: 0.007903033031291135
Position 13326: 0.007842029979684847
Position 289: 0.006807200397499885
Position 6247: 0.005681607856819635
Position 7876: 0.0051175319679878165
Position 10216: 0.004878337724826667
Position 53: 0.004369756997020227
Position 30793: 0.0040633592057869655
Position 5305: 0.0036445366708051396
Position 28319: 0.00320022225385922
Position 35601: 0.0029866959152562165
Position 709: 0.0028701601397448893
Position 28604: 0.0028230609250632062
Position 30215: 0.0028219918654838524
