Gene = CAMLG
index = 275
Annotated 5SS: [ 292 3023 5552]
Annotated 3SS: [ 2561  5485 12257]
SMsplice 5SS: [292]
SMsplice 3SS: [13203]
top_k =  500
Partition function (log Z): -7.832445961255439

Sorted 5' Splice Sites (High to Low Probability):
Position 292: 0.9996323152204623
Position 5552: 0.520648815548836
Position 2702: 0.23368030037857138
Position 10287: 0.08968768568340457
Position 1328: 0.02969086541081482
Position 3023: 0.02395506353360835
Position 1670: 0.0107215187141498
Position 878: 0.009004531640149001
Position 3430: 0.0069969607849089495
Position 3455: 0.006934886572223497
Position 1064: 0.00583731880511301
Position 615: 0.005077822901523367
Position 893: 0.0009913265990513537
Position 919: 0.0009676200835918421
Position 673: 0.0006996223833813273
Position 1232: 0.0006213247892316716
Position 887: 0.000593478685299599
Position 1518: 0.00043739475708341605
Position 505: 0.00043034320223078173
Position 2436: 0.00035033498486673596
Position 181: 0.0003492470330762656
Position 1672: 8.090526856241471e-05
Position 2660: 7.314422287300555e-05
Position 2642: 6.451711020841395e-05
Position 553: 4.003190286971958e-05
Position 680: 3.161543383437377e-05
Position 2652: 1.0676098521124934e-05
Position 2505: 5.904113919516381e-06
Position 797: 1.987802361186397e-06
Position 315: 1.2839507243587532e-07
Position 430: 1.1268262456340059e-07
Position 345: 8.845054801282358e-08
Position 735: 8.33969233341552e-08
Position 1182: 5.800211223518811e-08
Position 125: 1.58752948928478e-08
Position 8: 4.354244993342461e-09
Position 108: 3.288015667434237e-09
Position 165: 3.0781151395882923e-09
Position 709: 2.247510693875894e-09
Position 214: 1.2499360366449299e-09
Position 199: 1.2488938470982589e-09
Position 744: 1.193575023278619e-09
Position 442: 8.917892304978176e-10
Position 15: 5.517568247576681e-10
Position 185: 5.353524634234569e-10
Position 473: 3.439817088628847e-10
Position 52: 2.5309319401613273e-10
Position 135: 5.971899617993425e-11
Position 695: 5.207853840178611e-11
Position 558: 4.4987110484392996e-11
Position 416: 2.7583196620855947e-11
Position 612: 2.2759374466720112e-11
Position 466: 2.0705509327466724e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5485: 0.42042227157549367
Position 2561: 0.2257643777195608
Position 13203: 0.22448114046191586
Position 12257: 0.1864257230224764
Position 13224: 0.1504007859775486
Position 12726: 0.1211652093518984
Position 5415: 0.06875686581837684
Position 10164: 0.06782206975183679
Position 8005: 0.05406222635329399
Position 11002: 0.047673614668019476
Position 5394: 0.040356009803007804
Position 10214: 0.029893500119469597
Position 3241: 0.02261105621397964
Position 10189: 0.021356847935097466
Position 10587: 0.019370340990949978
Position 1399: 0.01901354665447712
Position 12943: 0.018963262477301703
Position 2564: 0.017645321755933852
Position 1215: 0.01544215855066918
Position 4922: 0.013199250453001781
Position 11210: 0.012957762725562677
Position 1259: 0.012459619833013464
Position 2964: 0.011287683861322577
Position 462: 0.0065096564495264325
Position 531: 0.006003372900176474
Position 2638: 0.005843448909773994
Position 826: 0.005824599249223139
Position 9382: 0.005439566452258109
Position 695: 0.0051920149905624845
Position 8872: 0.004104624377508805
Position 10558: 0.0040625034581786065
