Gene = VCP
index = 1545
Annotated 5SS: [  913  4999  5359  6575  7999  9096 10272 11033 11247 11673 12235 12449
 12937 13757 14186 15874]
Annotated 3SS: [ 4886  5185  6431  7867  8963 10168 10898 11110 11559 12069 12325 12723
 13447 14029 15718 16026]
SMsplice 5SS: [   86  4999  5359  6575  7999  9096 10272 11033 11247 11673 12235 12449
 12937 13515 14186 15874 16528 16951]
SMsplice 3SS: [ 4886  5185  6431  7867  8963 10168 10898 11110 11559 12069 12325 12723
 13447 14029 15718 16404 16857 17050]
top_k =  500
Partition function (log Z): 32.349911684405946

Sorted 5' Splice Sites (High to Low Probability):
Position 4999: 0.9990257072165085
Position 15874: 0.9893789768859156
Position 7999: 0.9877037173635085
Position 14186: 0.974536220557284
Position 11673: 0.9684698246781696
Position 12937: 0.9417390404825606
Position 9096: 0.9290133017579646
Position 12235: 0.902656471013419
Position 10272: 0.8553442642275624
Position 6575: 0.8549486100378764
Position 5359: 0.8148217736444775
Position 11247: 0.8094613130826894
Position 13515: 0.7408801608394032
Position 16951: 0.6549711270743644
Position 12449: 0.6348231897206732
Position 11033: 0.5047519089057242
Position 16528: 0.4374758454736205
Position 86: 0.42747523271209936
Position 10538: 0.42472753823224507
Position 973: 0.35664716319042483
Position 8863: 0.33681929889294804
Position 4546: 0.32462203625570246
Position 12469: 0.31030222075884495
Position 7721: 0.29303468196657867
Position 7742: 0.2553339943896571
Position 10926: 0.245542669851284
Position 13807: 0.23849187848576767
Position 7643: 0.19686631904036364
Position 16153: 0.17352287444272624
Position 16532: 0.15255929482710723
Position 7342: 0.12772055524642434
Position 5336: 0.09487413521966706
Position 741: 0.09477534708311988
Position 4342: 0.09298661646723284
Position 13761: 0.0890096022541985
Position 9765: 0.08838256451217683
Position 1359: 0.08688440775223384
Position 12259: 0.08558406600527901
Position 4708: 0.08430471265877551
Position 1780: 0.07601219937891454
Position 913: 0.07421731458625833
Position 15276: 0.06338939692127388
Position 15610: 0.051173930462126135
Position 6526: 0.05053750328281336
Position 13377: 0.04903100386711467
Position 10699: 0.04847535792635412
Position 4725: 0.04847519155477043
Position 16784: 0.04773535683715573
Position 16536: 0.0449017850829038
Position 2021: 0.04368373694052519
Position 194: 0.04171847453525401
Position 5217: 0.04133425833852146
Position 12426: 0.038596147890435285
Position 14880: 0.03377587344102491
Position 10531: 0.029019932684562624
Position 10765: 0.027125420440177392
Position 5774: 0.026451724157305706
Position 10772: 0.026277069631784885
Position 1493: 0.023821038445770912
Position 10756: 0.022218399726836046
Position 9458: 0.021647737189013683
Position 1730: 0.02094924212708292
Position 15329: 0.020059707132416758
Position 773: 0.01916681071630776
Position 13048: 0.017506618677543058
Position 4818: 0.016269046471874632
Position 10405: 0.01558540859568109
Position 11938: 0.015157107696396806
Position 4156: 0.014536911589760677
Position 9714: 0.01141354719423701
Position 213: 0.01137939031862866
Position 6253: 0.011201660405099232
Position 1223: 0.009846418182644645
Position 12386: 0.009646230350465357
Position 4720: 0.009465917839604931
Position 16123: 0.008976708611082115
Position 15064: 0.008890570590256112
Position 7490: 0.008512397837467238
Position 11286: 0.00843707815908296
Position 581: 0.007844611739773228
Position 13297: 0.007501064619977893
Position 15255: 0.007417756728488706
Position 6512: 0.0071352824645485695
Position 6467: 0.006892747403668289
Position 5858: 0.006555493182593184
Position 4452: 0.006471886573725496
Position 11485: 0.00611398778732562
Position 13871: 0.005914976701014707
Position 5714: 0.005841213585951608
Position 7541: 0.0058045142569137995
Position 14139: 0.005780052786548428
Position 11748: 0.005714152599987735
Position 70: 0.005552425163345434
Position 314: 0.005532721880205305
Position 15820: 0.005180442231867659
Position 7638: 0.005073873998166959
Position 2380: 0.004692332998510275
Position 5671: 0.004609155261299562
Position 16219: 0.004559597731977942
Position 9223: 0.004461214580756316
Position 4713: 0.004267941723686783
Position 13533: 0.004158074367996361
Position 5675: 0.003839821472012515
Position 10782: 0.0038314604995335665
Position 1477: 0.003791860885381777
Position 13854: 0.003780322692761493
Position 8610: 0.0030714764767304876
Position 10018: 0.002919539608969941
Position 10685: 0.002857483810500517
Position 6044: 0.0028024653946738046
Position 8059: 0.002750627676265565
Position 11756: 0.002675262858647879
Position 16571: 0.002674612863537899
Position 13530: 0.0024642701554112266
Position 2335: 0.002309408415347884
Position 12629: 0.0022534643650869643
Position 8627: 0.0022001333045890956
Position 8826: 0.0019731699297802496
Position 1012: 0.0018935698893351605
Position 6912: 0.0018793344574714553
Position 3343: 0.0018562407168383193
Position 16187: 0.0017991021073842596
Position 13379: 0.0015878002859229397
Position 168: 0.0015713806805897287
Position 6610: 0.0015672193761124642
Position 15110: 0.0015343633107129503
Position 14865: 0.0014833376747131444
Position 7612: 0.0014479073928192602
Position 16821: 0.00137398147191338
Position 118: 0.0013124202475328116
Position 16086: 0.001275256968459694
Position 15646: 0.001219964862877527
Position 8021: 0.0012071177676720515
Position 8882: 0.0011840919841076972
Position 7663: 0.0011822445019983303
Position 11678: 0.0011149657458238513
Position 13848: 0.0010143345215639441
Position 8151: 0.0009169519748465088
Position 4132: 0.0009097402627064222
Position 6900: 0.0008118203109036311
Position 6456: 0.0007840093269450516
Position 1738: 0.000781457651093011
