Gene = SIGMAR1
index = 1256
Annotated 5SS: [225 552 775]
Annotated 3SS: [ 350  681 1912]
SMsplice 5SS: [225 552 779]
SMsplice 3SS: [ 350  681 1912]
top_k =  500
Partition function (log Z): -4.859612173306088

Sorted 5' Splice Sites (High to Low Probability):
Position 225: 0.8025877573655185
Position 552: 0.7866445823480106
Position 779: 0.4534796647882457
Position 775: 0.34030814140516047
Position 165: 0.13408078707347584
Position 505: 0.11401424409665414
Position 1782: 0.05140369330114923
Position 439: 0.04064527076142752
Position 757: 0.015172836647329732
Position 1398: 0.014126239272716666
Position 217: 0.013691593052546214
Position 1937: 0.013307130405364584
Position 97: 0.012406265742847675
Position 445: 0.00963985244643841
Position 1068: 0.006835122608735813
Position 146: 0.005490457455644432
Position 916: 0.005174466220641012
Position 762: 0.004689211889527912
Position 2881: 0.0045764380665217035
Position 801: 0.003639465376302714
Position 1777: 0.0029724925885889794
Position 459: 0.0023810038345612257
Position 1983: 0.0013465197343022265
Position 1921: 0.0012312972101598814
Position 10: 0.0011852707893613098
Position 1614: 0.0011630283468735468
Position 1641: 0.0008038163066393108
Position 1692: 0.000671358215203791
Position 2822: 0.0006375140937723512
Position 1724: 0.000627247176770081
Position 134: 0.0005340114341218203
Position 2287: 0.0004555478060538614
Position 1728: 0.00029328596670667994
Position 2261: 0.00027165540308986887
Position 1400: 0.0002653183456195478
Position 443: 0.00021615340712109784
Position 499: 0.00011154653343039832
Position 79: 9.732030836560529e-05
Position 449: 8.565045736960667e-05
Position 86: 7.871463362137572e-05
Position 103: 7.625598486442918e-05
Position 591: 6.278514482834363e-05
Position 556: 5.12323816723252e-05
Position 509: 4.5480147417455174e-05
Position 478: 4.030376409885681e-05
Position 416: 2.069414242750191e-05
Position 279: 1.973807823456576e-05
Position 205: 1.7402906268711135e-05
Position 588: 1.3355429668032756e-05
Position 312: 8.680073524345752e-06
Position 859: 3.3679446118538386e-06
Position 792: 1.4004356782573896e-06
Position 1671: 1.1112158841145922e-06
Position 822: 5.290306299053329e-07
Position 665: 4.2601274340780913e-07
Position 805: 2.865972988961706e-07
Position 923: 1.9821034480945897e-07
Position 125: 1.053868420028652e-07
Position 149: 6.103362100652547e-08
Position 54: 3.4166787233598314e-09
Position 179: 2.5513299474647755e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 350: 0.8980460785820722
Position 681: 0.768659540868441
Position 1912: 0.37567217716234047
Position 2729: 0.1884630188400895
Position 1018: 0.16327336468257633
Position 1139: 0.04788962842881049
Position 1528: 0.04429344061065557
Position 658: 0.043411550864314724
Position 2566: 0.04257298212563963
Position 2130: 0.04023214702143136
Position 2796: 0.03849978916155041
Position 1830: 0.033131360505850645
Position 306: 0.03206337056478274
Position 963: 0.020501883631040142
Position 2625: 0.01500392004090015
Position 1558: 0.01108700945973865
Position 734: 0.00798015893897633
Position 410: 0.007226738258893521
Position 1671: 0.006758591448350533
Position 3031: 0.006297704317899526
Position 2042: 0.006217170485792306
Position 1716: 0.00544013669102944
Position 1457: 0.004745498603170939
Position 2563: 0.004021948839133074
Position 1596: 0.003393550761898519
Position 1303: 0.00338150405784729
Position 774: 0.002462658097468266
Position 1805: 0.0019312989774107796
Position 2049: 0.0016830493149077052
Position 439: 0.0016054366758857803
Position 909: 0.0014680817027781998
Position 1306: 0.0013615344643937862
Position 1948: 0.0012898018455876276
Position 2800: 0.0012652110409642641
Position 1038: 0.0012544421287568064
Position 2545: 0.0011807606990948496
Position 2300: 0.0011618425064332891
Position 2510: 0.0010822124628198477
Position 391: 0.0010128705744749526
Position 1659: 0.0009992207188575747
Position 1034: 0.0008138316279583783
Position 2698: 0.0005526848554060227
Position 1645: 0.0005259190433149259
Position 1917: 0.000524393544910077
Position 1691: 0.0005006650457966093
Position 915: 0.00048217119908551027
Position 131: 0.0004767987279856494
Position 2356: 0.00047663221233377627
Position 2986: 0.0004702390953268677
Position 1687: 0.00046143183281105416
Position 2223: 0.0004212605343327345
Position 2270: 0.0004077653473397887
Position 433: 0.00039609599054772713
Position 1641: 0.00038982276332009264
Position 2227: 0.0003712110465547655
Position 172: 0.0003489012611562991
Position 187: 0.0003077408295925397
