Gene = ALG1L2
index = 72
Annotated 5SS: [  206  9541 10392 11330 12683 14333 15420]
Annotated 3SS: [ 9429 10269 11269 12571 14217 15343 16391]
SMsplice 5SS: [  206  9541 10392 12683 15420 16278]
SMsplice 3SS: [ 9429 10269 12571 15343 16092 16401]
top_k =  500
Partition function (log Z): 1.0221698792525329

Sorted 5' Splice Sites (High to Low Probability):
Position 9541: 0.9850071513892293
Position 206: 0.9288549558470479
Position 15420: 0.8758687115996043
Position 10392: 0.7946441853485111
Position 12683: 0.7446720039834673
Position 16278: 0.6700525194397371
Position 11330: 0.5544718994102116
Position 12134: 0.2744004104400527
Position 14297: 0.22979617869540694
Position 4067: 0.1404969220842216
Position 10370: 0.12587687152214777
Position 7223: 0.12365896198380441
Position 14333: 0.11729720888305833
Position 6427: 0.10706355461162254
Position 15718: 0.08532298155291443
Position 10631: 0.08264375034909643
Position 5352: 0.07847921572874214
Position 5568: 0.07539626425193191
Position 3950: 0.06702590873973284
Position 15606: 0.06581984831028055
Position 9964: 0.062124935640752915
Position 5471: 0.038245408975044526
Position 8985: 0.03644495395148698
Position 10030: 0.03281526419980977
Position 14436: 0.03193955286994774
Position 6108: 0.03156264756238359
Position 10614: 0.02989258898472682
Position 15592: 0.029195655131282326
Position 10419: 0.025778480028274993
Position 9056: 0.024646630684704646
Position 15262: 0.022579592969442598
Position 58: 0.02215491437668872
Position 11058: 0.02119512942643626
Position 12354: 0.021097429913341074
Position 9022: 0.020147213060245823
Position 5694: 0.019040502076851873
Position 335: 0.01674998983273711
Position 20: 0.01606637513498236
Position 15861: 0.014448886420645892
Position 14280: 0.014187383321139108
Position 10748: 0.014165458789572599
Position 6052: 0.013931677871370169
Position 9952: 0.012091377721039282
Position 7214: 0.01206120456283447
Position 301: 0.011813564677239452
Position 2732: 0.010582086037588282
Position 4158: 0.010282482353778679
Position 3819: 0.010200493638560074
Position 2293: 0.00942509730485362
Position 15781: 0.008864390977107712
Position 4061: 0.00866321146552858
Position 15107: 0.008644172961557676
Position 7014: 0.008518733537149189
Position 3271: 0.008340001746267905
Position 16256: 0.008070844817476162
Position 9797: 0.007694052816080634
Position 4239: 0.007613653906491153
Position 3409: 0.00738025765205247
Position 5106: 0.006956353391322862
Position 10337: 0.006544010720696181
Position 15510: 0.006375278300841559
Position 16169: 0.005822419594023742
Position 10714: 0.005609673186179223
Position 6867: 0.00555662171501511
Position 12637: 0.005293948295066591
Position 1276: 0.0052395631674611465
Position 8975: 0.005140411569559419
Position 10666: 0.004830105629326948
Position 4556: 0.0039017770213088405
Position 852: 0.0038476247390665463
Position 5001: 0.0037926533594849297
Position 10618: 0.0037524468857569318
Position 7060: 0.0037098838906228166
Position 4851: 0.0031435827205891346
Position 8078: 0.0026669312917486647
Position 5264: 0.0026073632487397884
Position 112: 0.0024266758216319106
Position 9936: 0.002353981067673676
Position 1265: 0.002109697296756797
Position 12990: 0.0020767818480797342
Position 6517: 0.0019138853244454403
Position 13889: 0.0018444434045610256
Position 5145: 0.0017976048585263596
Position 5344: 0.0017032364429827404
Position 15680: 0.0016916211566570991
Position 7499: 0.0016271862097429622
Position 14756: 0.0014596698754882269
Position 15721: 0.001354357953575416
Position 12012: 0.001281743920012047
Position 14404: 0.001082104014104122
Position 15908: 0.00100668401644131
Position 15805: 0.000940182258624117
Position 15597: 0.0008180390393866787
