Gene = LAPTM5
index = 761
Annotated 5SS: [  162 15365 16181 18012 18881 20217 22648]
Annotated 3SS: [15270 16103 17882 18757 20120 22554 23902]
SMsplice 5SS: [  162  9128 15365 16181 18012 18881 20217 22648 23987]
SMsplice 3SS: [ 8903 15270 16103 17882 18757 20120 22554 23902 24105]
top_k =  500
Partition function (log Z): 20.488675526147478

Sorted 5' Splice Sites (High to Low Probability):
Position 18881: 0.9981210691362887
Position 16181: 0.9954605152036857
Position 15365: 0.982354304749908
Position 20217: 0.9793245043665314
Position 162: 0.8921508555604231
Position 23987: 0.8040675158802638
Position 22648: 0.711677096042369
Position 10316: 0.6696598423736019
Position 9128: 0.5991106257132749
Position 18012: 0.5818285481728025
Position 2330: 0.42946703292163246
Position 5623: 0.3653016490049814
Position 22664: 0.2825248425008802
Position 6024: 0.2436469464250951
Position 10854: 0.2283470747507513
Position 15205: 0.21516002790039948
Position 22241: 0.20657911753178163
Position 23624: 0.2020373609300742
Position 9042: 0.1815554474698682
Position 18055: 0.15559272672201668
Position 24289: 0.14260143357521948
Position 776: 0.12657748488747886
Position 2316: 0.11793268123131585
Position 23007: 0.10329927340949024
Position 15613: 0.09669610706046229
Position 6540: 0.08991242963653377
Position 18675: 0.08848034212353684
Position 8987: 0.08640939311265786
Position 19070: 0.07769388325186119
Position 15619: 0.07299889920489562
Position 10012: 0.06380845138834311
Position 19996: 0.061508650052444165
Position 23117: 0.05987330224398257
Position 181: 0.05659366691226022
Position 22398: 0.05345446307672774
Position 17752: 0.0461200040205813
Position 23163: 0.040955103613443504
Position 7501: 0.03205629657018322
Position 20525: 0.02927549633320272
Position 19507: 0.028966024030171195
Position 22310: 0.02826172666546377
Position 203: 0.027954077157915702
Position 20023: 0.02776517157699886
Position 25056: 0.027762289297242847
Position 20036: 0.02657009503990659
Position 12301: 0.026299980366500653
Position 13547: 0.024099801654905287
Position 10821: 0.023151215118944003
Position 23818: 0.021417312153338884
Position 7477: 0.020912206411814405
Position 17376: 0.020384383565986073
Position 17780: 0.02015061985722309
Position 1425: 0.0193940293715925
Position 18113: 0.019204632903771855
Position 4173: 0.018995677397137433
Position 9160: 0.018733864572169145
Position 19156: 0.015465846320189002
Position 6552: 0.01522361690697731
Position 9729: 0.014006749127537904
Position 187: 0.013994042804343116
Position 20025: 0.013086088546126081
Position 20254: 0.012756221996534494
Position 1784: 0.012622558663197116
Position 10342: 0.012576241757939942
Position 13468: 0.012385851432023707
Position 16438: 0.012258030645370985
Position 9346: 0.011961001979000725
Position 7433: 0.011800181786489148
Position 579: 0.011715109526461313
Position 19115: 0.010897798410448948
Position 16528: 0.010760511077254913
Position 10435: 0.010374053500127106
Position 23033: 0.010350623634574297
Position 924: 0.010321442579226882
Position 17609: 0.010311786776097794
Position 16590: 0.010241750630524191
Position 4745: 0.009124662869267561
Position 15570: 0.00908698053209523
Position 21641: 0.008824439695397004
Position 2951: 0.008765116939390066
Position 22244: 0.007984739039015379
Position 22425: 0.00794865802081986
Position 18594: 0.007314409903795139
Position 191: 0.006986311904419474
Position 8991: 0.006291731624012972
Position 20021: 0.005770021757060521
Position 9635: 0.0055563842203630994
Position 7130: 0.004980967689270548
Position 9181: 0.0049435302159197315
Position 18410: 0.004684169528576447
Position 13645: 0.004573105803589418
Position 15648: 0.004442741777553741
Position 17384: 0.004365991299406827
Position 16276: 0.004220992508553132
Position 23290: 0.004215163116873466
Position 1099: 0.003993122231500667
Position 15369: 0.003759246665686865
Position 1849: 0.0035940615084896523
Position 23183: 0.0033830821213124617
Position 19955: 0.0032400231278043464
Position 1681: 0.0032372879718701804
Position 19337: 0.003147950280709391
Position 481: 0.0027272617745474864
Position 574: 0.0024739489946973667
Position 24079: 0.0023988870678703154
Position 19057: 0.001632957475733161
Position 19873: 0.0015631874749231648
Position 848: 0.0015236687822007076
Position 7336: 0.0013079921538855176
Position 19582: 0.0013042238669537542
Position 2096: 0.001167847161451389
Position 16763: 0.0011213530577140346
Position 2149: 0.0010365775414781647
Position 23989: 0.0008482312280242048
Position 23188: 0.0006012722377296919
Position 4010: 0.0004574063502822826
Position 1789: 0.0003460506832304072
Position 15567: 0.0002503260693941955
Position 168: 0.00019451693639071127
Position 377: 0.00018893479315562923
Position 2400: 0.00016751421160017432
Position 19014: 0.00016681597708966401
Position 18935: 0.00016298176266887733
Position 548: 0.0001358808736225524
Position 18016: 0.00012897862562925912
Position 24015: 9.729136834676559e-05
Position 5215: 9.172716071160862e-05
Position 16363: 9.098387115258723e-05
Position 183: 8.265151005879425e-05
Position 24027: 7.312927924970551e-05
Position 452: 6.658615059947647e-05
Position 16380: 6.063196146399783e-05
Position 24155: 5.5506586475400735e-05
Position 370: 5.4669274765804836e-05
Position 2724: 4.6785242607232196e-05
Position 11198: 4.4304586918876104e-05
Position 2342: 3.150901453524278e-05
Position 159: 2.2351231800697753e-05
Position 166: 2.2027996815672795e-05
Position 16240: 2.1100179003526172e-05
Position 222: 1.890545024159219e-05
Position 2185: 1.6650845745624465e-05
Position 2501: 1.632822074889053e-05
Position 185: 1.5118030413660919e-05
Position 346: 1.4003031410911894e-05
Position 2268: 1.3201294077451387e-05
Position 16410: 1.1742435851207243e-05
Position 516: 1.1502477883700427e-05
Position 18865: 1.1263831755420654e-05
Position 410: 9.863183285425315e-06
Position 1534: 9.24894141185479e-06
Position 2409: 8.868389521933318e-06
Position 209: 6.111834696731499e-06
Position 123: 3.5031970568319957e-06
Position 510: 3.459058277930344e-06
Position 16478: 2.545469127791677e-06
Position 1018: 2.4302005488903925e-06
Position 207: 1.3789876866280127e-06
Position 319: 1.0691991276217599e-06
Position 488: 7.639575441741835e-07
Position 490: 7.241837652004895e-07
Position 201: 6.549570667910704e-07
Position 96: 5.357859297326658e-07
