Gene = AZIN2
index = 124
Annotated 5SS: [  182   396   700  1242  3015 11110 12304 13601 15757 17067 37004]
Annotated 3SS: [  274   487  1064  2840 10936 12168 13434 15593 16953 36788 38930]
SMsplice 5SS: [  182   396  1242 10778 11110 13601 15757 17067 37004]
SMsplice 3SS: [  277  1064 10709 10936 13434 15593 16953 36788 38930]
top_k =  500
Partition function (log Z): -5.2620198983882

Sorted 5' Splice Sites (High to Low Probability):
Position 17067: 0.9997842508784521
Position 1242: 0.9900399402567006
Position 11110: 0.9496041347552562
Position 396: 0.9326829906204537
Position 10778: 0.9004857029728894
Position 13601: 0.7714270564679763
Position 15757: 0.7041963730325409
Position 12304: 0.598071898509318
Position 3015: 0.40885264147271255
Position 16076: 0.24401376231618166
Position 2030: 0.24020560083369114
Position 166: 0.17966274799400636
Position 16759: 0.12889199670916687
Position 700: 0.11654644326108096
Position 186: 0.10616593281049021
Position 13881: 0.10320300857279811
Position 20790: 0.10257163363670456
Position 13586: 0.09476719952213081
Position 16374: 0.09310782261506927
Position 16502: 0.0900069790171373
Position 18185: 0.08190209611543818
Position 11940: 0.0798207584549675
Position 15768: 0.06310615867392243
Position 15729: 0.050627853125133286
Position 7359: 0.0429199205248662
Position 5364: 0.04145244011884466
Position 12293: 0.03132965564410666
Position 13028: 0.02944685282485696
Position 11087: 0.0273124501954669
Position 13923: 0.025992467971662388
Position 1646: 0.014487800148268533
Position 18673: 0.014413642950426579
Position 16670: 0.014090734506755511
Position 600: 0.006934492765549413
Position 608: 0.0065356099539364155
Position 889: 0.005121000998199899
Position 13122: 0.00460398975193574
Position 2761: 0.004486066786116607
Position 19452: 0.004334605765275701
Position 13019: 0.004331228661629791
Position 11084: 0.00400690898911176
Position 11945: 0.0036865133267936713
Position 18273: 0.003331494708453454
Position 2962: 0.003289721038839024
Position 17778: 0.0030551020527307803
Position 1345: 0.002608538925662172
Position 21313: 0.0025849943873490063
Position 21209: 0.0022776004201897288
Position 1262: 0.002235393370158474
Position 236: 0.001901276501930354
Position 48: 0.0018550749140492163
Position 3085: 0.0017242209491971155
Position 2130: 0.001510896242325889
Position 617: 0.0014063426582925727
Position 13683: 0.0013929201278549273
Position 5140: 0.0012328510037855282
Position 195: 0.0008964023248542189
Position 15761: 0.0006056029183940749
Position 5098: 0.0005462930724691231
Position 971: 0.0003418672410510143
Position 332: 0.0002482538970556833
Position 324: 0.00022033631398927955
Position 412: 0.00015514069400711746
Position 1454: 0.00011552260723034299
Position 625: 0.0001101763927618968
Position 896: 9.057989116674881e-05
Position 19892: 9.013932484351083e-05
Position 747: 9.011692101819892e-05
Position 1704: 8.655703275393654e-05
Position 439: 8.252419563526473e-05
Position 709: 6.951854656198684e-05
Position 943: 6.70272570738075e-05
Position 678: 5.391894779570485e-05
Position 391: 4.499165624178579e-05
Position 18258: 4.3705147044429465e-05
Position 18252: 4.0618164996982856e-05
Position 958: 3.6134757667620426e-05
Position 270: 2.9322105165554015e-05
Position 1751: 2.931723324939015e-05
Position 8: 2.435339166252403e-05
Position 1189: 2.059151274328515e-05
Position 17452: 1.6606191701746233e-05
