Gene = OXNAD1
index = 991
Annotated 5SS: [  307  4077  5873  6524 21250 29799 36670 37550]
Annotated 3SS: [ 3926  5745  6459 21142 29656 36426 37440 38208]
SMsplice 5SS: [  281  4077  5873  6524  6797  7123 16362 21250 29799 36670 36992]
SMsplice 3SS: [ 3926  5745  6459  6659  6945 16148 21142 29656 36426 36762 37103]
top_k =  500
Partition function (log Z): 5.151724451922218

Sorted 5' Splice Sites (High to Low Probability):
Position 29799: 0.9999999999999989
Position 16362: 0.9976204356287256
Position 21250: 0.9938987650643143
Position 36670: 0.9635380865193656
Position 4077: 0.9234569784593615
Position 5873: 0.9217441309284478
Position 37550: 0.8779558746967397
Position 6797: 0.8028657445411631
Position 7123: 0.8017284345709551
Position 36992: 0.7796581711636398
Position 281: 0.5632711882405862
Position 25816: 0.5241902254113368
Position 34746: 0.4703626703065422
Position 37221: 0.46044443136130325
Position 22757: 0.4509394922145055
Position 8152: 0.42119746775187983
Position 6524: 0.3981114671087836
Position 307: 0.3781024864195614
Position 34483: 0.37633628262816776
Position 33434: 0.24537980735613132
Position 3795: 0.23450635308821732
Position 38394: 0.21066061372185244
Position 21972: 0.17221441524099868
Position 4303: 0.16734914501850456
Position 12231: 0.16489023132595407
Position 6594: 0.1288006986104339
Position 6539: 0.12406341087565724
Position 16961: 0.11045601760613952
Position 37152: 0.09923036858496101
Position 2952: 0.09507349009605445
Position 12598: 0.0915969385030625
Position 36884: 0.08524693869630762
Position 34475: 0.0842613034568075
Position 7884: 0.08259679376248502
Position 19468: 0.07829992827423989
Position 27878: 0.07736577392095277
Position 25685: 0.07185330662704471
Position 34780: 0.0684752772543803
Position 8123: 0.06768250957217442
Position 4110: 0.06395801079207925
Position 38139: 0.0561681758210681
Position 15547: 0.04969007672024505
Position 12300: 0.04476564489451977
Position 3821: 0.04397440541146192
Position 32635: 0.04341402403643825
Position 28025: 0.0419193552928977
Position 34793: 0.04075078144481385
Position 3734: 0.04019416738363046
Position 1265: 0.03983131506568766
Position 40015: 0.039248088933652066
Position 25595: 0.035739259237933675
Position 18792: 0.033409403762863756
Position 6548: 0.030981198421748603
Position 21939: 0.02968020647128347
Position 2810: 0.02913467240931506
Position 36679: 0.027838615187843654
Position 14020: 0.027752116026301777
Position 1601: 0.02717959174390273
Position 4326: 0.026869986883650276
Position 36988: 0.026652276113777844
Position 25069: 0.02579177448688505
Position 24189: 0.025239103735601016
Position 37022: 0.024425300237412493
Position 24775: 0.024292940322151818
Position 661: 0.022706567098114843
Position 135: 0.022104697358038723
Position 569: 0.02000014786320437
Position 25082: 0.017134750178862627
Position 5967: 0.016097901520940858
Position 38360: 0.01563757987631843
Position 33650: 0.015551098269724502
Position 23101: 0.012525045939785043
Position 2919: 0.010117683914671223
Position 24783: 0.00942888356325094
Position 5623: 0.009284092060973366
Position 4660: 0.009093818226683419
Position 38631: 0.00876331523936577
Position 13274: 0.008380149969416075
Position 3049: 0.007425168230033515
Position 1779: 0.007022753420117162
Position 142: 0.0068458931898662005
Position 22886: 0.005902561661581601
Position 59: 0.005582382678497295
Position 11662: 0.0050778356207105985
Position 5594: 0.00393008559385104
Position 797: 0.0037385377356432326
Position 23168: 0.003549535804920285
Position 4812: 0.003514160889650282
Position 2415: 0.003057832470859779
Position 38125: 0.0026113391856277886
Position 1431: 0.0025801986255820724
Position 46: 0.0024597017404255537
Position 2956: 0.002174762061963427
Position 1192: 0.002035216280041053
Position 3512: 0.0017841784835987086
Position 37217: 0.0014858327549747035
Position 6764: 0.0011949946500782634
Position 3999: 0.0010204127261550433
Position 11287: 0.0010028158688217353
Position 36977: 0.0009543230182983944
Position 36871: 0.0009193822032283696
Position 37951: 0.0008192600386214997
Position 2824: 0.0008012432327246538
Position 1346: 0.0005944621913882438
Position 3867: 0.0005783336785796278
Position 21177: 0.0002676722608904559
Position 25011: 0.0002606259103859571
Position 36836: 0.0001714864201172579
Position 218: 0.00014550260953256428
Position 1017: 8.790916176810374e-05
Position 1656: 4.4957112571048495e-05
Position 1273: 3.27625739902979e-05
Position 708: 3.0130589145783744e-05
Position 2545: 2.6889929406496364e-05
Position 718: 2.6460404767446012e-05
Position 700: 2.249062130589507e-05
Position 696: 1.9795837010143303e-05
Position 258: 1.5192975867023108e-05
Position 3979: 1.4667086360549505e-05
Position 74: 1.3162991804069567e-05
Position 174: 1.214730161652084e-05
Position 289: 1.0171852104446915e-05
Position 729: 9.106402023375103e-06
Position 485: 4.236957624074627e-06
Position 4544: 3.1053724590100353e-06
Position 450: 3.080561302887159e-06
Position 13: 8.889352618335893e-07
Position 238: 6.152242954719817e-07
Position 92: 5.558682565737477e-07
Position 396: 5.234504105179229e-07
Position 456: 4.425687667985179e-07
Position 38: 5.55322853806588e-08
Position 232: 2.5973108222511123e-08
Position 538: 1.6224150870602594e-08
Position 530: 1.2754267412202379e-08
Position 356: 6.8563856846588635e-09
Position 578: 2.451606310244558e-09
Position 517: 1.966714657739814e-09
Position 409: 1.3796578711076997e-09
Position 358: 1.3208057336706104e-09
Position 402: 5.771228687113109e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 16148: 0.9976204356287253
Position 3926: 0.974213058784789
Position 21142: 0.9555659094727214
Position 36762: 0.9120562056298575
Position 29656: 0.8419036364098006
Position 6459: 0.7296106217258004
Position 6945: 0.610547727912192
Position 36426: 0.5950643844092653
Position 25672: 0.5847269092517886
Position 37103: 0.5718149187921095
Position 6659: 0.4958461973535147
Position 5745: 0.4873421803159377
Position 34386: 0.4268350760830689
Position 37440: 0.3661761726872826
Position 34622: 0.33257804417122977
Position 36523: 0.3191339960338122
Position 3652: 0.30549594552045445
Position 8038: 0.2840427381198459
Position 22594: 0.26244912365594925
Position 34687: 0.2420446042517893
Position 5749: 0.237142929136793
Position 38208: 0.2253366900098655
Position 39627: 0.2178689577802373
Position 37298: 0.2158964089161864
Position 12067: 0.20965587622047382
Position 5729: 0.20634740668173648
Position 4201: 0.1908262533500736
Position 38012: 0.17914588849257926
Position 33372: 0.17230004978280591
Position 21797: 0.16258158065262607
Position 39047: 0.1596819448814623
Position 29676: 0.15809636359019785
Position 8076: 0.1490852424186828
Position 37413: 0.14627822977636212
Position 22704: 0.14347168458990414
Position 2784: 0.12841310514801255
Position 27787: 0.1192851292138505
Position 16724: 0.10419183431129518
Position 6674: 0.10132975276299916
Position 12334: 0.0915969385030625
Position 7048: 0.08831072281226962
Position 40133: 0.08221982415114534
Position 6699: 0.08051152402775683
Position 7028: 0.07933406953253005
Position 19337: 0.07829992827423989
Position 38476: 0.0777877206662141
