Gene = ZMYM6NB
index = 1605
Annotated 5SS: [ 156 1587]
Annotated 3SS: [1405 3233]
SMsplice 5SS: [ 156 1587]
SMsplice 3SS: [1405 3233]
top_k =  500
Partition function (log Z): -8.857525894657876

Sorted 5' Splice Sites (High to Low Probability):
Position 156: 0.8928453781859751
Position 1587: 0.6694231154515046
Position 526: 0.10887115735137493
Position 933: 0.07363909216528272
Position 892: 0.04861134684658121
Position 308: 0.03208236430147116
Position 2065: 0.027052543411474034
Position 3100: 0.020513270016434767
Position 1448: 0.015750331724454697
Position 3353: 0.010385898701241684
Position 2646: 0.006555094045316149
Position 921: 0.005327830081572603
Position 1557: 0.004650761577573101
Position 461: 0.003012923576451217
Position 1745: 0.0025109393529537095
Position 3457: 0.0021028959756180425
Position 3279: 0.0018853312314162842
Position 31: 0.0010494891285691467
Position 421: 0.0007306767883164056
Position 3384: 0.0004627848092244705
Position 141: 0.0004370742296789075
Position 66: 0.0003577985440112076
Position 107: 0.00032557750207002414
Position 3356: 0.00031540364784121184
Position 1313: 0.0001587506308019692
Position 75: 7.3623248541426e-05
Position 535: 1.5669004666183247e-05
Position 590: 1.344528634023635e-05
Position 200: 9.13258492979059e-06
Position 390: 4.6458029087401116e-06
Position 705: 2.5436199798184166e-06
Position 102: 1.9667712933819868e-06
Position 202: 1.548418228208087e-06
Position 1290: 8.179830198485756e-07
Position 944: 7.957978961671444e-07
Position 1170: 4.862500251345567e-07
Position 8: 2.439666757632418e-07
Position 331: 7.235128691471166e-08
Position 73: 3.2449388365385204e-08
Position 322: 7.92068635820838e-09
Position 546: 8.101896965450789e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1405: 0.5477886807944419
Position 3233: 0.5381871652035007
Position 1447: 0.0956331102328124
Position 2212: 0.0822404849275944
Position 3557: 0.08167755774279195
Position 1423: 0.05997518311717459
Position 777: 0.05974118855567363
Position 3203: 0.05315080737681495
Position 827: 0.037023844726999176
Position 1777: 0.033585111184932924
Position 3065: 0.030258092685565924
Position 239: 0.02823306502198452
Position 382: 0.027338878902313676
Position 1718: 0.02300991712112144
Position 3254: 0.021467549131995462
Position 2997: 0.02101902940916742
Position 3736: 0.018019316909983887
Position 3437: 0.01691263474473706
Position 1487: 0.015395068788071469
Position 350: 0.01477154380543905
Position 2489: 0.013719151878372799
Position 2351: 0.010480708275478803
Position 1940: 0.009168477979695897
Position 728: 0.006674178626635456
Position 1943: 0.006082226591142521
Position 515: 0.005685851270538401
Position 1466: 0.005676329449259035
Position 1462: 0.005043417690343861
Position 788: 0.004218513785631716
