Gene = CMBL
index = 381
Annotated 5SS: [  402 17479 19605 21673 25830]
Annotated 3SS: [17244 19496 21529 25737 27393]
SMsplice 5SS: [  512 19088 19605 21673 25830]
SMsplice 3SS: [18994 19496 21529 25737 27465]
top_k =  500
Partition function (log Z): -16.807772740171487

Sorted 5' Splice Sites (High to Low Probability):
Position 5388: 0.667485792926021
Position 512: 0.5669298745038167
Position 402: 0.42369192897205804
Position 5143: 0.3796633546652122
Position 1814: 0.16169053202074488
Position 14402: 0.14104264463177976
Position 7963: 0.11705082876099492
Position 12638: 0.1086580130836463
Position 12612: 0.09311730251512616
Position 7780: 0.06992807764157344
Position 5503: 0.06779597643281685
Position 14336: 0.0281179861761399
Position 3158: 0.027785334791427637
Position 7957: 0.023534503560104725
Position 2101: 0.021435681194759332
Position 7828: 0.018822827708855884
Position 1232: 0.017763515382790872
Position 943: 0.017423084836586805
Position 10205: 0.01670375604189674
Position 642: 0.014940676080019848
Position 2909: 0.011440144070533814
Position 688: 0.010504264542949724
Position 2154: 0.00985164927141405
Position 777: 0.009121936752474297
Position 7751: 0.007504906238660788
Position 4293: 0.006566861116885849
Position 3783: 0.0062134191320471766
Position 6383: 0.005929201513311838
Position 988: 0.005109275567738118
Position 880: 0.004767860394535924
Position 4721: 0.004424637745077099
Position 4787: 0.004311658045418447
Position 760: 0.002562516898536744
Position 1955: 0.0025497476735108376
Position 5086: 0.0025021326459918987
Position 5311: 0.0013171945857854686
Position 6226: 0.0012658565335099616
Position 5271: 0.0008793384911846648
Position 5812: 0.0008286067354140073
Position 493: 0.0006081205174957743
Position 356: 0.00041590677363596715
Position 5853: 0.00033515344477574833
Position 1090: 0.00031914104233768647
Position 6048: 0.0003023090169568
Position 632: 0.00025128958584541306
Position 899: 0.0002246088144398342
Position 1110: 0.00020459842617807472
Position 3973: 0.00015629113980252277
Position 468: 0.00014578608088328373
Position 947: 0.0001292357358741762
Position 129: 7.310336683511939e-05
Position 406: 7.086499397300178e-05
Position 372: 5.754992687705561e-05
Position 992: 5.202752480310008e-05
Position 1416: 4.239326795036476e-05
Position 5302: 3.629390184885833e-05
Position 884: 2.7063529582604815e-05
Position 646: 2.1976179173499853e-05
Position 790: 1.691437135933404e-05
Position 1345: 1.6187398003505125e-05
Position 793: 1.1647983776166135e-05
Position 529: 8.109334097763144e-06
Position 559: 3.7758486765492304e-06
Position 299: 6.448550226181437e-07
Position 307: 2.0723370718234275e-07
Position 274: 1.640644118935003e-07
Position 472: 8.699721157441611e-08
Position 648: 8.220385224012585e-08
Position 504: 7.300412552366091e-08
Position 604: 5.5328200985373904e-08
Position 470: 1.6191618849272262e-08
Position 313: 5.265249262670776e-09
Position 324: 3.4469721273518887e-09
Position 382: 1.6996745542417425e-09
Position 412: 1.3138672833521726e-09
Position 569: 4.5638264335936064e-10
Position 620: 7.228132248141205e-12
Position 702: 7.860952048541879e-16
Position 292: 2.0498218450235938e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 5230: 0.6724109418179782
Position 18487: 0.5603098671928861
Position 14242: 0.3346766310851375
Position 5000: 0.18681813095569935
Position 12559: 0.18375446855680705
Position 5059: 0.17797727863786142
Position 7868: 0.15362245962211926
Position 1621: 0.13258868912434096
Position 7597: 0.11520156089358374
Position 9894: 0.0944044162345943
Position 5433: 0.06421640677469714
Position 13250: 0.05583347117056479
Position 13890: 0.03226730571165634
Position 1637: 0.02659239807442677
Position 2015: 0.02361840045131272
Position 12339: 0.021107287291291063
Position 645: 0.019227646676358994
Position 4754: 0.01842862187435103
Position 578: 0.01757427667089738
Position 2989: 0.012284952791332302
Position 6147: 0.012042360859077577
Position 8193: 0.010313429011906206
Position 5270: 0.009989737590169231
Position 878: 0.008645692164924506
Position 777: 0.00787047439025373
Position 1071: 0.006764602914227558
Position 3046: 0.006554956284686555
Position 4613: 0.00603092502261683
Position 2833: 0.005536310234060335
Position 7744: 0.005200399128073948
Position 2860: 0.005147440422920415
Position 4122: 0.005056166322716325
Position 10061: 0.004913623344250367
Position 1675: 0.004664634274189296
Position 10463: 0.004545428610075295
Position 10106: 0.004493008841397573
Position 11964: 0.004401591445754834
Position 13988: 0.004068905736202224
Position 14435: 0.0037508254115821297
Position 3663: 0.0033724493830985074
Position 10844: 0.0032317831233758245
Position 1150: 0.003182936088010969
Position 3683: 0.0029643969281607447
Position 1977: 0.0025896037898914025
Position 1131: 0.0023843302347110276
Position 540: 0.00231354344510514
Position 5429: 0.002131439396447404
Position 4616: 0.002113923705391694
Position 7253: 0.002110120695900336
Position 1834: 0.0020456136503231204
Position 1087: 0.001974193010553422
Position 7871: 0.0018989371563414574
Position 720: 0.0017274710570662434
Position 2821: 0.001601162814512807
Position 2809: 0.0014280562053387736
Position 3013: 0.00133064573526686
Position 3125: 0.0013205385929678229
Position 1901: 0.0012880904815709762
Position 9923: 0.0012411640076043316
Position 983: 0.0012388016503813888
Position 3008: 0.0011983237832607933
Position 5778: 0.00116552418300566
Position 2052: 0.0011070244518445829
Position 4078: 0.001040598479840346
Position 851: 0.00097762012877407
Position 867: 0.0008101761358420061
Position 1447: 0.0008056843062175303
Position 583: 0.0007446203590525575
Position 2055: 0.000730090788358913
Position 2725: 0.0007232407467789345
Position 2138: 0.0006598458022515002
Position 2735: 0.0006571376828088489
Position 4162: 0.000558951683607948
Position 9780: 0.0005494883274113662
Position 2956: 0.0005415275926790448
Position 2938: 0.0005261478864208249
Position 2579: 0.00045909915841252114
Position 1536: 0.0004581097265416673
Position 6002: 0.00042949089716824576
Position 9136: 0.0004227699528905717
Position 2778: 0.000415348337696861
Position 7779: 0.0004137294321893074
Position 1049: 0.00030686958984093714
Position 1741: 0.0002981568804910794
Position 8197: 0.0002835144397405149
Position 1707: 0.0002468430404228163
Position 543: 0.00022456302930226455
Position 796: 0.00017899489101681795
Position 668: 0.0001723764751066904
Position 2556: 0.0001582422738719864
Position 3207: 0.0001538496576100568
Position 1264: 0.0001117507411904122
Position 3832: 0.00010244520476132754
Position 5924: 8.866663235242179e-05
Position 5546: 5.983743513018075e-05
Position 251: 5.8074013546777476e-05
Position 3858: 5.3845935041194886e-05
Position 3471: 4.824214748715065e-05
Position 946: 4.679992003044839e-05
Position 3495: 4.465714855652167e-05
Position 492: 4.453258121725494e-05
Position 1000: 3.81160166589499e-05
Position 611: 3.0262158074776253e-05
Position 2509: 2.7837191554523275e-05
Position 1231: 2.3935538764607543e-05
Position 3463: 2.2395629917391724e-05
Position 489: 1.8731301510393578e-05
Position 516: 1.8070712385695564e-05
Position 559: 1.765974398835563e-05
Position 1328: 1.2889951536708205e-05
Position 1156: 1.1394329640735359e-05
Position 2532: 1.122875174103363e-05
Position 2191: 1.0824419316108835e-05
Position 614: 1.065810545304799e-05
Position 204: 1.0070512188880435e-05
Position 529: 8.018316951208421e-06
Position 1094: 4.106178946055762e-06
Position 955: 3.7700866140461773e-06
Position 1937: 3.3761442388920607e-06
Position 1948: 2.832522893349734e-06
Position 1785: 2.1111959772203064e-06
