Gene = SPDL1
index = 1307
Annotated 5SS: [  256  4942  7591  9915 10661 10859 11048 13068 14946 15526 17992]
Annotated 3SS: [ 4759  7413  9719 10510 10759 10936 12926 14841 15337 17645 20425]
SMsplice 5SS: [  256   533  4942  9915 10661 10859 11048 13068 14946 15526]
SMsplice 3SS: [  453  4759  9719 10510 10759 10936 12950 14841 15337 17235]
top_k =  500
Partition function (log Z): 10.292236449711602

Sorted 5' Splice Sites (High to Low Probability):
Position 9915: 0.9897003582134409
Position 11048: 0.9795347618947857
Position 10859: 0.9747181242142622
Position 13068: 0.9628238481477285
Position 14946: 0.9228646667106579
Position 10661: 0.8370556721725727
Position 533: 0.7884729765328408
Position 256: 0.764897056925862
Position 15526: 0.6756052143009867
Position 7591: 0.5765373174782101
Position 4942: 0.5280684595662529
Position 4857: 0.3998750869736906
Position 956: 0.2958627680337456
Position 1610: 0.2539873768956359
Position 15921: 0.222814934226082
Position 9564: 0.17764367634071396
Position 3739: 0.14369199708145178
Position 249: 0.14073955850571562
Position 1978: 0.13498031582010467
Position 17557: 0.1205180740280737
Position 12397: 0.10129594098003104
Position 5294: 0.09735755134118733
Position 14568: 0.09140672791128014
Position 9633: 0.08987014969484348
Position 938: 0.08941141647549572
Position 7196: 0.08642255032557532
Position 1111: 0.07330714165244025
Position 17992: 0.07153143136942898
Position 15060: 0.06586764741303153
Position 538: 0.06334156675711101
Position 9149: 0.05264444285403885
Position 10592: 0.0497879989400317
Position 14443: 0.04818113148613677
Position 281: 0.048114269030458706
Position 10268: 0.026993614745867936
Position 7570: 0.026694608090519194
Position 4916: 0.026622548455172097
Position 10191: 0.026442116373048094
Position 9418: 0.0209334131625869
Position 1069: 0.01936616023949294
Position 15875: 0.019143161705157757
Position 481: 0.014803819293967178
Position 11658: 0.013072751573611168
Position 6875: 0.011259926791338212
Position 864: 0.010301533220902234
Position 1961: 0.010138428249852565
Position 13269: 0.009529211625142408
Position 12677: 0.009416190092465455
Position 4873: 0.008556099932330955
Position 3560: 0.007502392919147786
Position 565: 0.006898255664488128
Position 10833: 0.006773420157222299
Position 10869: 0.00538054010445408
Position 6017: 0.004812712077366537
Position 11071: 0.004737851909163815
Position 11731: 0.004516522654478012
Position 14564: 0.0038295351963140095
Position 12387: 0.003640654487782914
Position 7191: 0.0035626309649663974
Position 10790: 0.003378044148595128
Position 274: 0.0029938401706305472
Position 10675: 0.002850474705741577
Position 14958: 0.002081299784072089
Position 17497: 0.0019635382800359613
Position 4862: 0.0018960206198424725
Position 612: 0.0018662494687644617
Position 13039: 0.001783823942828674
Position 14664: 0.0015203077214141466
Position 13862: 0.0013477850036710149
Position 796: 0.0012614874929561335
Position 14999: 0.0012080967613493634
Position 15990: 0.0011108968607182008
Position 17387: 0.0010609849218900468
Position 9907: 0.000873160093615047
Position 1235: 0.0008078060112522933
Position 528: 0.00073210316985
Position 852: 0.0006432622609268521
Position 25: 0.0006278231133545521
Position 3283: 0.0005929890112376986
Position 14611: 0.00039914878771660667
Position 17077: 0.0003776189610610206
Position 1852: 0.00033492067246748545
Position 88: 0.0003184326664546555
Position 15361: 0.0002818435627159454
Position 1318: 0.00023416807930922776
Position 179: 0.00023090218930296957
Position 285: 0.00020541651704649016
Position 15: 0.00019834310893153984
Position 16629: 0.00019184215253372514
Position 800: 0.0001826981554841955
Position 4913: 0.00014401072175690497
Position 493: 0.0001308074446945112
Position 589: 9.926369964020494e-05
Position 684: 9.037169581972563e-05
Position 9831: 7.581525791848994e-05
Position 194: 6.553138734696985e-05
Position 11104: 5.314651688854977e-05
Position 343: 4.209784428653132e-05
Position 1061: 4.097594774542993e-05
Position 1008: 3.721021988052296e-05
Position 668: 3.6865436974763184e-05
Position 798: 3.07446110695708e-05
Position 11015: 2.892693986284016e-05
Position 10990: 2.6925590428827266e-05
Position 95: 1.4807403953540645e-05
Position 9: 1.4793266690813671e-05
Position 10977: 1.2804399781038236e-05
Position 485: 1.253657700864977e-05
Position 750: 9.782809437199017e-06
