Gene = MZB1
index = 904
Annotated 5SS: [ 235 1454 1894]
Annotated 3SS: [1328 1782 1992]
SMsplice 5SS: [ 235  588 1454 1894]
SMsplice 3SS: [ 493 1328 1782 1992]
top_k =  500
Partition function (log Z): -4.592092330440418

Sorted 5' Splice Sites (High to Low Probability):
Position 235: 0.987201848698567
Position 1454: 0.7709655189689987
Position 588: 0.6988428108299876
Position 1894: 0.3916844639056963
Position 1503: 0.05212808724954174
Position 658: 0.03976269997700135
Position 653: 0.011757733645670284
Position 2123: 0.007782051823680238
Position 592: 0.007299405721455763
Position 574: 0.004532399419472122
Position 885: 0.0016814957926065564
Position 1202: 0.0016504197402529975
Position 1642: 0.001471069359544325
Position 1862: 0.0010915999238102943
Position 598: 0.0009891409439544362
Position 1015: 0.0006036048595616799
Position 844: 0.0005158234551253832
Position 1868: 0.0004208529121299639
Position 1075: 0.00017431987316731442
Position 2091: 0.00012304672436364052
Position 1403: 9.74660354312393e-05
Position 968: 8.74555094299926e-05
Position 2125: 8.305710294859766e-05
Position 600: 7.541785979676291e-05
Position 1808: 5.071073404582448e-05
Position 1614: 4.736516960203188e-05
Position 558: 3.690435664186683e-05
Position 672: 3.453969768547251e-05
Position 572: 3.391130879735389e-05
Position 1407: 3.0107087529059157e-05
Position 1650: 2.9170445227755587e-05
Position 1939: 2.9112171637497064e-05
Position 174: 2.8954051662901497e-05
Position 2197: 2.687216929553856e-05
Position 206: 2.670197218163387e-05
Position 239: 2.636188487525258e-05
Position 602: 2.0565738774629055e-05
Position 956: 1.6457400383992218e-05
Position 564: 1.4511943795803373e-05
Position 390: 1.3732182905456678e-05
Position 647: 1.2313204820921358e-05
Position 551: 8.847334988240914e-06
Position 1507: 6.682261248820097e-06
Position 680: 5.654330204651988e-06
Position 645: 3.7443387560262884e-06
Position 223: 1.1673957107059208e-06
Position 252: 6.496886627102023e-08
Position 1419: 1.5254557398697645e-08
Position 678: 7.523368642858028e-09
Position 66: 7.427844296160404e-09
Position 439: 6.423268436511278e-09
Position 506: 1.0713913590716432e-09
Position 470: 2.8119073951474863e-12
Position 549: 5.736438848586282e-20

Sorted 3' Splice Sites (High to Low Probability):
Position 1328: 0.7987689196183306
Position 493: 0.6090926271391437
Position 1782: 0.6071263301336057
Position 1992: 0.5871237757878678
Position 477: 0.13859075226301962
Position 1246: 0.05874176964290618
Position 2216: 0.04561540365610761
Position 1553: 0.03833916150658446
Position 2104: 0.015620385733002572
Position 1312: 0.010159744467982257
Position 2274: 0.009679311153416914
Position 2001: 0.008561542037181687
Position 2178: 0.0044499222339191985
Position 414: 0.004301001040934857
Position 1288: 0.0042762804587951125
Position 776: 0.00359914620156283
Position 1893: 0.0033772928511829263
Position 1664: 0.0032059288887761575
Position 2175: 0.0029133436629355924
Position 1349: 0.0024171983762183
Position 1963: 0.0022621511074360097
Position 1157: 0.002148757509131495
Position 1719: 0.002126811445058967
Position 417: 0.002016509611198915
Position 1567: 0.001913767327902459
Position 1074: 0.0018972388837329263
Position 390: 0.0014594747241233517
Position 455: 0.0012896095295277267
Position 2117: 0.0010842265757524737
Position 1698: 0.001011675116849651
Position 1823: 0.000954137399703563
Position 1291: 0.0008383422639675896
Position 1917: 0.0007025788236143782
Position 1353: 0.0005504234569825486
Position 1707: 0.0005017298494030648
Position 2063: 0.00048103988300865594
Position 2280: 0.0004800096583965141
Position 2220: 0.00034537746571319816
Position 1248: 0.00031676790242401634
Position 1451: 0.0002633780551199525
Position 1125: 0.0002597005451530083
Position 1355: 0.0002271955199154334
Position 701: 0.00022260133968924923
Position 1201: 0.0002215647003896333
Position 2036: 0.00020693645287745698
Position 1492: 0.0001777405898860243
Position 506: 0.00015022579716588753
Position 1589: 0.00013057867234593902
Position 1874: 0.00012934898446866636
Position 439: 0.00012879397445101083
Position 1790: 0.0001216498332935968
Position 1829: 0.00011435051402422088
Position 354: 0.00011062918199994711
Position 1285: 0.00010675954674909658
Position 880: 9.626415771702725e-05
Position 448: 8.354750800526878e-05
Position 564: 6.856545805154166e-05
Position 360: 6.662716794699162e-05
Position 1099: 5.315018782806523e-05
Position 1394: 3.119524531562105e-05
Position 1497: 2.430305335090501e-05
Position 1524: 2.4070730073510976e-05
Position 1432: 2.3661346555553907e-05
Position 1603: 1.8243317575485692e-05
Position 961: 1.5492656648173136e-05
Position 1799: 1.4357514442132151e-05
Position 2338: 1.1621432529987098e-05
Position 955: 1.1374476101535762e-05
Position 793: 1.032414370386843e-05
Position 1298: 9.68563562019588e-06
Position 1193: 8.398207484717023e-06
Position 366: 6.769336238454099e-06
Position 1106: 6.434347984849458e-06
Position 1161: 6.214506676056938e-06
Position 906: 5.89818121053678e-06
Position 816: 5.865109611003588e-06
Position 997: 3.750696908325563e-06
Position 787: 2.6885308889108785e-06
Position 936: 1.8767442977976097e-06
Position 1090: 1.1692427413825138e-06
Position 657: 1.007755593710367e-06
Position 645: 8.980985033068822e-07
Position 912: 7.58616823830417e-07
Position 929: 5.594175338609386e-08
Position 592: 3.1222895125373394e-08
Position 1159: 2.7296152770755715e-08
Position 283: 1.6606872557417573e-08
Position 287: 1.3413056360570013e-08
Position 578: 1.1153174190223247e-09
Position 429: 9.490658428880519e-10
Position 968: 5.638136396164191e-10
Position 923: 2.0052781143900516e-10
Position 819: 1.9397406014540185e-10
Position 629: 1.7957110478936354e-10
Position 830: 7.197020386570074e-13
Position 218: 2.6822042379576275e-17
Position 239: 2.6348034915645028e-17
Position 142: 4.124577791346075e-18
