Gene = AK6
index = 47
Annotated 5SS: [   80  3040 13648 13894]
Annotated 3SS: [ 2946 13588 13747 17288]
SMsplice 5SS: [   80  3040  9680 13648 13894]
SMsplice 3SS: [ 2946  9565 13588 13747 17288]
top_k =  500
Partition function (log Z): -4.85208664145432

Sorted 5' Splice Sites (High to Low Probability):
Position 13894: 0.9953702926627617
Position 3040: 0.9273243108010635
Position 13648: 0.83583365639313
Position 9680: 0.7187729744555487
Position 80: 0.5579767604908378
Position 1704: 0.3682907286967678
Position 12153: 0.16711112600391054
Position 9969: 0.11377153299314836
Position 447: 0.10813113612316301
Position 13670: 0.0878092852109043
Position 15357: 0.083364810779075
Position 1298: 0.08246304521458046
Position 916: 0.0806392412190919
Position 14269: 0.07804569553623439
Position 14271: 0.07261065772238075
Position 859: 0.06334665922334326
Position 566: 0.06047633275968748
Position 15368: 0.05848375504074996
Position 156: 0.05346594110123056
Position 7044: 0.05219345931802429
Position 3090: 0.04591809506141023
Position 272: 0.03425093167656227
Position 325: 0.02673898119355446
Position 7056: 0.021948373787468528
Position 1902: 0.01640916083852054
Position 17219: 0.01625014667481213
Position 687: 0.016170998777261858
Position 9321: 0.013742029421308283
Position 1168: 0.012911431968704831
Position 378: 0.011871169087896526
Position 469: 0.0102514119969489
Position 13652: 0.010219038208662577
Position 1983: 0.010198316628709053
Position 1477: 0.00964123920244072
Position 1945: 0.00824204389496932
Position 2415: 0.008066282037059013
Position 17145: 0.007879359881900883
Position 16: 0.007688298204647403
Position 2847: 0.007174062701360462
Position 605: 0.005298713272666399
Position 959: 0.004263060727172217
Position 1149: 0.004256954553926203
Position 17428: 0.0025795661524563567
Position 15281: 0.0021764015058340106
Position 693: 0.002016538137113607
Position 15068: 0.0016236659198755232
Position 1467: 0.0012110958657903185
Position 16752: 0.0011257129131925707
Position 16836: 0.0010986655727594935
Position 1749: 0.0010675056866741486
Position 1368: 0.0009521498020624733
Position 13017: 0.0009501889512421556
Position 12139: 0.0009191194598236567
Position 9765: 0.0008451241190913308
Position 14481: 0.0008436887148203076
Position 13873: 0.0007787187307728434
Position 14684: 0.0004736316595456123
Position 12572: 0.0004639422510578422
Position 5580: 0.00045981727627965064
Position 418: 0.0004030351834813168
Position 718: 0.00037997185075141506
Position 1282: 0.0003432293509259851
Position 210: 0.0001866627496367948
Position 891: 0.0001851271690209212
