Gene = GRIFIN
index = 621
Annotated 5SS: [  12  464  714 1242]
Annotated 3SS: [ 383  554 1074 1496]
SMsplice 5SS: [183 464]
SMsplice 3SS: [383 554]
top_k =  500
Partition function (log Z): -7.3988230942489075

Sorted 5' Splice Sites (High to Low Probability):
Position 464: 0.8594084615332834
Position 183: 0.47300089316694904
Position 100: 0.2976448999966796
Position 714: 0.19298777258270447
Position 672: 0.1360330987251955
Position 12: 0.09827016334149177
Position 281: 0.08917974351924594
Position 1177: 0.04514356896407291
Position 647: 0.023570668954269434
Position 16: 0.019320748619533482
Position 265: 0.01153934938017645
Position 809: 0.00921584768981571
Position 46: 0.006413441689625537
Position 155: 0.003966342937948582
Position 1242: 0.00365784437462116
Position 555: 0.003459206397852467
Position 315: 0.0029013048530779585
Position 149: 0.0027879042841079085
Position 873: 0.0019403776064120999
Position 1210: 0.0009361460265958452
Position 729: 0.0008790538085854652
Position 869: 0.0008160262977765652
Position 1129: 0.0005575647088783818
Position 828: 0.0005073760418382922
Position 185: 0.00028778885460751857
Position 253: 0.0002218387800801526
Position 321: 0.00017062043423939468
Position 1446: 0.0001628506233022732
Position 1081: 0.00015743693354021592
Position 208: 0.0001275851890548361
Position 143: 3.84134366869923e-05
Position 432: 1.346456359792488e-05
Position 327: 1.9319546129047036e-06
Position 504: 1.8771884792720867e-06
Position 397: 1.421466068230784e-06
Position 6: 6.501646075751797e-07
Position 187: 3.97618021648125e-07
Position 216: 2.6942490246440436e-08
Position 76: 1.2609975611747216e-08
Position 544: 1.5080215525455855e-09
Position 361: 1.0940510895702626e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 383: 0.9126095808207363
Position 554: 0.7190892277194607
Position 1395: 0.16459847041950673
Position 1496: 0.08597784267337077
Position 808: 0.07288807002185063
Position 1264: 0.0451153026715851
Position 92: 0.030807348585550825
Position 969: 0.030392356647714825
Position 1065: 0.027570902711922654
Position 526: 0.023562281867294692
Position 202: 0.019546201978394784
Position 872: 0.01524433810116624
Position 579: 0.015210584123330678
Position 1074: 0.014618253195396329
Position 1301: 0.010943382463876659
Position 985: 0.009433522328121297
Position 1304: 0.008773763712686048
Position 1461: 0.008619004294391662
Position 852: 0.008548588395636986
Position 606: 0.0069214842915654535
Position 1530: 0.006312193311725851
Position 1078: 0.005503529108002239
Position 620: 0.005331115902847841
Position 390: 0.0048934002318703155
Position 916: 0.003472749665769228
Position 123: 0.002971575846043916
Position 1175: 0.0028367652979124913
Position 1122: 0.0028046323269943626
Position 869: 0.0024999010614382613
Position 769: 0.0024581782209706937
Position 1080: 0.002214684686426299
Position 1128: 0.002074423000853287
Position 1421: 0.0018200309372060522
Position 996: 0.0017021410379237907
Position 895: 0.0014674043623373856
Position 1209: 0.0013913588681249876
Position 182: 0.0013528459518272044
Position 1014: 0.0007107860451689824
Position 647: 0.000679720644423176
Position 1051: 0.0006180738515987503
Position 1466: 0.00048080349995648336
Position 425: 0.0003637081290376335
Position 130: 0.0001156495197196748
Position 304: 0.00010292819633652621
Position 1152: 9.29549143464854e-05
Position 164: 6.87053446114937e-05
Position 347: 6.816046870347763e-05
Position 561: 6.789358593624026e-05
Position 224: 5.957474666740343e-05
Position 340: 5.282984672660254e-05
Position 1023: 4.789207799401761e-05
Position 94: 4.611242016315744e-05
Position 437: 3.7740635375582125e-05
Position 356: 3.1360763676378365e-05
Position 313: 2.4221825233669035e-05
Position 275: 1.989227275061194e-05
Position 337: 1.2706129458186048e-05
Position 463: 1.0935906298373337e-05
Position 671: 7.305466887321409e-06
Position 516: 6.470204528274828e-06
Position 231: 5.923536195237859e-06
Position 154: 4.705104293910444e-06
Position 744: 2.2698582835169345e-06
Position 288: 2.0214003223882464e-06
Position 458: 1.1915586714918446e-06
Position 668: 7.300612903995958e-07
Position 333: 6.973837934298023e-07
Position 166: 6.669093836707715e-07
Position 784: 6.613980405574007e-07
Position 147: 5.491831146147698e-07
Position 456: 4.1818494720012784e-07
Position 239: 1.1173088041495101e-07
Position 137: 9.283091299196658e-08
Position 139: 8.878868562341789e-08
Position 720: 6.572242612988006e-08
Position 713: 3.661629889408885e-08
Position 247: 2.9849548009012696e-08
Position 241: 3.1360528263112895e-10
Position 69: 3.12644144056256e-16
