Gene = SLAMF8
index = 1262
Annotated 5SS: [ 189 3443 6432 6620]
Annotated 3SS: [3115 6125 6511 8433]
SMsplice 5SS: [ 189 3443]
SMsplice 3SS: [3133 9919]
top_k =  500
Partition function (log Z): -3.638479560289272

Sorted 5' Splice Sites (High to Low Probability):
Position 189: 0.8963874415583307
Position 3443: 0.8410247300463142
Position 6620: 0.4774423341174981
Position 6432: 0.3742225258962382
Position 7494: 0.34547098864323056
Position 6644: 0.28491073873334266
Position 1535: 0.2732898953862655
Position 2810: 0.21510716506154343
Position 10046: 0.21190695201013424
Position 6311: 0.17623468304590367
Position 510: 0.0706778778855874
Position 7498: 0.06943806767375632
Position 6276: 0.06639456624887508
Position 7447: 0.054304814075215986
Position 284: 0.044410677592147556
Position 6947: 0.043559965565677435
Position 10035: 0.04265995031459691
Position 7646: 0.04177510278345281
Position 9813: 0.03727485336920078
Position 1779: 0.03289548905808537
Position 305: 0.02735708357604011
Position 2920: 0.02465732536725511
Position 309: 0.018215541703167713
Position 9830: 0.01677253496366859
Position 7153: 0.015650579843608497
Position 1795: 0.013679054546860943
Position 6635: 0.011130876823784889
Position 9463: 0.009575600914843958
Position 2570: 0.006966361775303666
Position 8542: 0.006276482089609146
Position 5903: 0.005125628876317312
Position 2869: 0.003968704045511765
Position 10042: 0.0033785770316881784
Position 2973: 0.0025081528597699606
Position 8406: 0.0021936458055598637
Position 100: 0.0017070486090408885
Position 3013: 0.0004733063232792421
Position 1066: 0.0003791292707256424
Position 10397: 0.0002975571466898236
Position 501: 0.00026784176112964976
Position 2606: 0.00014971431862006163
Position 1656: 0.0001391093402073698
Position 1227: 0.00011880924864172305
Position 1636: 8.76255042616372e-05
Position 1439: 8.591138761044434e-05
Position 2359: 6.883804971031617e-05
Position 465: 4.025961000035934e-05
Position 605: 3.3522853164493157e-05
Position 873: 3.326571662441029e-05
Position 526: 2.7582725989651596e-05
Position 671: 2.053157708804142e-05
Position 1161: 1.8182597731685477e-05
Position 637: 1.764720737401356e-05
Position 882: 1.4430281701257211e-05
Position 152: 1.4030079196637268e-05
