Gene = BRK1
index = 143
Annotated 5SS: [  228 10117]
Annotated 3SS: [10033 10676]
SMsplice 5SS: [  228 10117]
SMsplice 3SS: [ 9966 10676]
top_k =  500
Partition function (log Z): -6.451991980080825

Sorted 5' Splice Sites (High to Low Probability):
Position 10117: 0.9621212069593971
Position 228: 0.9582785414926844
Position 751: 0.35453266245110066
Position 772: 0.13013231461579855
Position 1041: 0.06137897838120047
Position 10875: 0.0542368746709696
Position 842: 0.03673734620690331
Position 5296: 0.02290171114735989
Position 9917: 0.012495914112073741
Position 5898: 0.011606699821105291
Position 274: 0.00881073827973193
Position 358: 0.005955978443081619
Position 223: 0.00211517856764201
Position 131: 0.001843948520720622
Position 10687: 0.0017640970938662332
Position 591: 0.0016518462634136286
Position 1945: 0.0013946792780767613
Position 3379: 0.0011636170709341809
Position 5132: 0.0008138458599729166
Position 3638: 0.0005317937555100992
Position 69: 0.0004211470330284128
Position 11008: 0.00036523084982155885
Position 64: 0.00035640171275463597
Position 10914: 0.00035286146236513164
Position 7700: 0.00032750045384612604
Position 169: 0.0003087271762076803
Position 6045: 0.00025733790407316595
Position 30: 0.0002334821788745821
Position 5616: 0.00022558669794319847
Position 6058: 0.0001913892519397958
Position 5623: 0.00018895061654995794
Position 492: 0.0001638984147042148
Position 277: 0.000158503010555005
Position 760: 0.0001574761285423151
Position 5178: 0.0001431752171504864
Position 4401: 0.0001296080632745029
Position 475: 0.00011272706879725405
Position 410: 0.00010674964486557795
Position 3039: 0.0001054565877451185
Position 10: 9.999265058473932e-05
Position 794: 6.699388048882282e-05
Position 535: 5.576766191727244e-05
Position 14: 3.763050908391701e-05
Position 338: 2.6157703335960003e-05
Position 888: 2.5803084164640203e-05
Position 532: 2.452296816717612e-05
Position 397: 2.2231170461111248e-05
Position 519: 2.0408858555391273e-05
Position 571: 1.944119002225296e-05
Position 1738: 1.8267359461850442e-05
Position 331: 1.5482234122800755e-05
Position 1149: 1.3830264503030733e-05
