Gene = DESI2
index = 440
Annotated 5SS: [  421 33735 36408 39086]
Annotated 3SS: [33661 36313 38943 52620]
SMsplice 5SS: [  421  2759  5026 33735 39086 46256]
SMsplice 3SS: [ 2619  4910 33661 38943 46056 46372]
top_k =  500
Partition function (log Z): -30.5101301554213

Sorted 5' Splice Sites (High to Low Probability):
Position 421: 0.8396836935747483
Position 5026: 0.7257373940993836
Position 2759: 0.5522186589254151
Position 6734: 0.37605802329673077
Position 6418: 0.22781688759205843
Position 4993: 0.19324913814768888
Position 1739: 0.16364719348522805
Position 2308: 0.13760140278746077
Position 2843: 0.09038114929776574
Position 3482: 0.08436220927761448
Position 1244: 0.06149351532284188
Position 1103: 0.06106854924272937
Position 3655: 0.05060409207020642
Position 1091: 0.04288044833670944
Position 310: 0.04216756214636913
Position 938: 0.04194256277263004
Position 15: 0.03216096689024248
Position 11580: 0.024172316346442624
Position 5037: 0.019680592281346877
Position 266: 0.016412665547647073
Position 6468: 0.015380907962973357
Position 4785: 0.015364535137000083
Position 6118: 0.01290799560661656
Position 3790: 0.009820673019143165
Position 411: 0.009505803255639381
Position 5606: 0.006894902690189529
Position 173: 0.005303186763818525
Position 8529: 0.005246320056627509
Position 6635: 0.004796277630326263
Position 646: 0.004249317907501025
Position 393: 0.0033162229169541265
Position 2181: 0.002770829477193544
Position 1366: 0.002544757314085183
Position 2277: 0.001825141169040771
Position 145: 0.0015551961597027526
Position 1280: 0.001489323819423193
Position 898: 0.0013107924974464541
Position 912: 0.0007925482687731018
Position 607: 0.0006529600833237339
Position 425: 0.0004729517289690287
Position 7: 0.0002671287237022065
Position 555: 0.0002510545188632635
Position 2038: 0.00024273503582874974
Position 3404: 0.00022203543071783844
Position 839: 4.5570092621198416e-05
Position 517: 2.8066991342717726e-05
Position 51: 2.7973475686941102e-05
Position 125: 2.2387970428064727e-05
Position 889: 2.237234532152822e-05
Position 967: 9.48248955918545e-06
Position 400: 7.976362382700327e-06
Position 127: 5.3947337692634766e-06
Position 477: 2.675866397798685e-06
Position 1198: 2.390492654428752e-06
Position 567: 1.635306067214507e-06
Position 183: 1.5415538427589486e-06
Position 409: 1.4859550947458157e-06
Position 201: 7.477979851215188e-07
Position 616: 6.282344042140512e-07
Position 628: 1.1482320281672724e-08
Position 275: 1.0926529597550306e-10
Position 722: 4.2096679354622324e-11
Position 397: 5.417915488839643e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 4910: 0.882696813366836
Position 2619: 0.6373069497597379
Position 6337: 0.3559359137746954
Position 6573: 0.2905164645594349
Position 11872: 0.260368124245703
Position 8643: 0.11082991939819248
Position 11420: 0.10211662566670096
Position 2138: 0.0959583026881603
Position 3360: 0.0914593864363723
Position 1599: 0.08277304882288632
Position 6255: 0.07740718824296083
Position 977: 0.06314278958735646
Position 6624: 0.062263847744063336
Position 4949: 0.05504084727125804
Position 14681: 0.05052353483870918
Position 6543: 0.046541641611645375
Position 12154: 0.04355926139460674
Position 13002: 0.041792164736281126
Position 7264: 0.040058323673712294
Position 3527: 0.02998618757810806
Position 8421: 0.028108080474202837
Position 1090: 0.027430103913303135
Position 1961: 0.02647154634248021
Position 817: 0.026287243230157322
Position 6590: 0.025007336545100223
Position 1078: 0.021762797498921186
Position 3316: 0.020448119010275444
Position 9584: 0.018686586555492515
Position 4603: 0.018634340462774797
Position 192: 0.01614340758531289
Position 8748: 0.015777840533267674
Position 1570: 0.01481295946735405
