Gene = FXN
index = 569
Annotated 5SS: [  689 11224 18002 29777]
Annotated 3SS: [11125 17880 29678 37352]
SMsplice 5SS: [  689  4661 11224 18002 29777 33453]
SMsplice 3SS: [ 4525 11125 17880 29678 33210 37352]
top_k =  500
Partition function (log Z): -7.275808518083084

Sorted 5' Splice Sites (High to Low Probability):
Position 18002: 0.9999566435414788
Position 11224: 0.9878361780391978
Position 29777: 0.8648334657969058
Position 4661: 0.8510016499444946
Position 33453: 0.6199294716362799
Position 689: 0.5870327760376035
Position 30618: 0.4170353843860178
Position 25750: 0.41363074377536274
Position 787: 0.37939194795569636
Position 6346: 0.3786127179284949
Position 36883: 0.3231993129167095
Position 37572: 0.23571810998948625
Position 30451: 0.15685049646836502
Position 12013: 0.1543525200811822
Position 29785: 0.135106023254491
Position 14143: 0.07635947899718938
Position 8303: 0.06052226491060484
Position 7537: 0.05439285326842864
Position 38075: 0.05330433611543724
Position 13918: 0.045489622484013455
Position 6248: 0.045309623971757036
Position 1385: 0.03742112963779701
Position 1060: 0.032439372785220986
Position 36990: 0.030226642694188417
Position 1583: 0.029778407020018577
Position 1696: 0.026104444377775923
Position 5995: 0.025920215918461713
Position 36396: 0.023402094451960058
Position 10559: 0.022539122680382526
Position 13962: 0.021261981056213745
Position 37986: 0.01879580792925834
Position 6570: 0.017598451853693967
Position 31885: 0.017016439159036927
Position 10481: 0.016204870905793783
Position 10014: 0.013141807016329643
Position 316: 0.006812352458592226
Position 14160: 0.0067204004967864875
Position 995: 0.0064896992343616445
Position 6466: 0.006367622523850361
Position 44: 0.006186599845084739
Position 37118: 0.005958509434269822
Position 31002: 0.005828892181139938
Position 11252: 0.005590970609268805
Position 37951: 0.005443539778111805
Position 89: 0.005327073060678004
Position 10193: 0.005206623296219777
Position 35211: 0.005135348767572521
Position 4863: 0.004972418205867477
Position 1484: 0.004362833321891591
Position 5033: 0.0042909461538534685
Position 35421: 0.004056665103075918
Position 5763: 0.003636151061241161
Position 6708: 0.003312069181893795
Position 4553: 0.0031153643616255396
Position 9530: 0.0029333006840230698
Position 33892: 0.002606497844431554
Position 32812: 0.0025176485309750594
Position 12934: 0.002380316078941019
Position 3426: 0.002306088372845177
Position 30865: 0.0021419572500942707
Position 32854: 0.002080320810718377
Position 4687: 0.0018078991154095263
Position 38296: 0.001771576666468723
Position 13323: 0.001530381816769015
Position 11434: 0.0014380577816602987
Position 14171: 0.0012133282596645274
Position 11794: 0.0010559535655741271
Position 6753: 0.0010094550686236565
Position 33609: 0.000956353726832655
Position 6574: 0.0009199007448116471
Position 5183: 0.0009162093487597374
Position 11343: 0.0008033749015947163
Position 6120: 0.000728387120033574
Position 1215: 0.0005295050006530806
Position 693: 0.0004905204760682933
Position 929: 0.0002773257050491539
Position 985: 0.00019549941596432903
Position 1044: 0.000148797917891051
Position 997: 7.936088206095303e-05
Position 323: 5.8134370613481354e-05
Position 548: 5.3547523472555546e-05
Position 125: 4.944587763475195e-05
Position 185: 4.878423447203411e-05
Position 413: 4.5856519860975966e-05
Position 1089: 3.113757676140955e-05
Position 157: 3.0108755716964722e-05
Position 134: 1.6958684851111906e-05
Position 268: 1.531185542495256e-05
Position 972: 1.3606066097356282e-05
Position 941: 1.354863315445752e-05
Position 305: 1.325728269728096e-05
Position 220: 1.0931148148425567e-05
Position 526: 9.849463379157773e-06
Position 777: 7.228863500587374e-06
Position 109: 6.10599753345281e-06
Position 1070: 4.868758500375686e-06
Position 1091: 4.437626527821597e-06
Position 259: 3.932341557983435e-06
Position 329: 3.5979089923260233e-06
Position 1005: 3.1139536314458843e-06
Position 1103: 2.6929831335640846e-06
Position 602: 1.924735484367901e-06
Position 1118: 1.2698569135309817e-06
Position 1120: 1.2317143495941759e-06
Position 470: 9.961808973210796e-07
Position 401: 8.718290901566971e-07
Position 370: 4.659269797769318e-07
Position 1099: 3.565199194708142e-07
Position 873: 1.489289362760444e-07
Position 864: 1.2708459480550672e-07
Position 386: 1.2635885781070917e-07
Position 457: 3.373594920513139e-08
Position 339: 2.4637573838679467e-08
Position 444: 1.545604614822916e-08
Position 619: 5.6871753984646084e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 29678: 0.9989018328535344
Position 17880: 0.9977154306291051
Position 11125: 0.9934271676438318
Position 37352: 0.844518214647914
Position 4525: 0.7526399621177579
Position 33210: 0.5460794740656953
Position 25576: 0.41363074377536274
Position 6184: 0.34356254356151245
Position 36793: 0.32321870833844624
Position 30546: 0.29354716415131615
Position 38171: 0.22668492714168587
Position 30350: 0.19481484832257573
Position 37872: 0.14635434143382547
Position 11932: 0.1187883883943766
Position 4582: 0.07517821586385588
Position 30480: 0.06447333727789736
Position 33165: 0.05981372471619707
Position 1371: 0.05874691672844963
Position 8181: 0.055669234584282544
Position 6234: 0.04215165582435482
Position 36759: 0.04210497595053249
Position 10394: 0.03874399358617635
Position 13876: 0.03200194372942056
Position 36217: 0.03117961627369441
Position 14040: 0.029831678864081307
Position 14071: 0.028417479596077436
Position 37250: 0.027400536324929736
Position 33117: 0.025140128557086566
Position 6447: 0.0248665988636393
Position 1311: 0.023173026465782683
Position 7375: 0.021951928673783996
Position 13785: 0.021047882708295995
Position 904: 0.020500172654602158
Position 7343: 0.020210444449568234
Position 31753: 0.018965541135829853
Position 6163: 0.0174151833581298
Position 11948: 0.012360202544335392
Position 7222: 0.012230480145076392
Position 11902: 0.012208176146293027
Position 4404: 0.01214229516790533
Position 6153: 0.012125073892291706
Position 13917: 0.011268209939192591
Position 38611: 0.010804744279718344
Position 6247: 0.01040928565122479
Position 30525: 0.008972488266801528
Position 5897: 0.00891217098258147
Position 11864: 0.008379371557444885
Position 30747: 0.007967333541371028
Position 5823: 0.007912010158348335
Position 5856: 0.007783946937290447
Position 4631: 0.007625286604308865
Position 9610: 0.007504638177890208
Position 13961: 0.007253475211176987
Position 36989: 0.007184841542495225
Position 35622: 0.007172576259803039
Position 30369: 0.007092860875469212
Position 1292: 0.007018265007977774
Position 32616: 0.006475716026224505
Position 13747: 0.006362851669326191
Position 33692: 0.005836634465096344
Position 30577: 0.005424027797919517
Position 33181: 0.005237578616389581
Position 10062: 0.00520662329621978
Position 35147: 0.0051353487675725295
Position 13750: 0.005014977562562474
Position 8201: 0.004853030326322293
Position 13814: 0.004412548025773683
Position 4974: 0.004200912795674796
Position 35358: 0.004056665103075911
Position 9713: 0.003755143426817542
Position 4469: 0.00359691955330811
Position 824: 0.0035627118371836693
Position 5611: 0.0030881122066768506
Position 9358: 0.002933300684023064
Position 37711: 0.0027513598320775745
Position 14117: 0.002681855387274525
Position 14004: 0.0025867580498029046
Position 4180: 0.002528352030659846
Position 12823: 0.002380316078941018
Position 17888: 0.002283594612305834
Position 4372: 0.0022701822273568195
Position 11287: 0.0021999474492245394
Position 3318: 0.0020812815035039117
Position 439: 0.002017903909310437
Position 9777: 0.0018820254116218872
Position 5943: 0.001847738136109524
Position 37686: 0.0017302239223965423
Position 6260: 0.001724320325381798
Position 617: 0.0017166707402375726
Position 13097: 0.001530381816769016
Position 1176: 0.0015163391232735953
Position 910: 0.0014939937705621229
Position 11839: 0.0014759596511001642
Position 4710: 0.0013599645317178212
Position 4777: 0.0013074199937500052
Position 11987: 0.001109245721471919
Position 29317: 0.0010376561978621415
Position 11564: 0.0010270497785221158
Position 32049: 0.0010019630246444686
Position 5076: 0.0009162095872960275
Position 30839: 0.0008114738172231579
Position 1116: 0.0007716324085228781
Position 4793: 0.0007000891049111889
Position 6371: 0.0006550351875334395
Position 5595: 0.0006365712566905037
Position 4772: 0.0006200199940501781
Position 4806: 0.0006164676659595823
Position 1350: 0.0005485692189011198
Position 34287: 0.00047515810061095755
Position 1604: 0.00043843999289984567
Position 33755: 0.0004167422021599608
Position 31992: 0.00039629286436801
Position 1506: 0.00039618564137986525
Position 30646: 0.00031406213789573665
Position 1227: 0.00029814374601271526
Position 1525: 0.0002950573690245782
Position 1528: 0.0002667615519656712
Position 3278: 0.00022480686934126117
Position 30700: 0.0002170838965934931
Position 4301: 0.00017178969544707327
Position 1491: 0.0001586420008784884
Position 5784: 0.00015402275460318102
Position 1461: 0.0001449815562257393
Position 31115: 0.000144181214293334
Position 425: 0.00013804116326784633
Position 4368: 0.00013711306835725845
Position 1561: 0.00011819968230573037
Position 467: 0.00010786465449379924
Position 4947: 9.00335928169241e-05
Position 5651: 8.751075127972679e-05
Position 13658: 8.283547129008948e-05
Position 13720: 8.233288982508255e-05
Position 442: 7.846331407370088e-05
Position 11641: 5.9361915161071005e-05
Position 6077: 4.6511651418855566e-05
Position 11310: 4.154028983602757e-05
Position 6315: 3.6303873794844783e-05
Position 19277: 1.0324055274359888e-05
Position 755: 6.006016612869238e-06
Position 689: 2.7504188362095124e-06
Position 23151: 2.6112551305172944e-06
Position 4320: 1.6701703442275689e-06
Position 946: 1.4118781677857544e-06
Position 4197: 1.1196153153704497e-06
Position 20019: 1.0084959719176813e-06
Position 479: 9.129932800699223e-07
Position 11787: 8.293866016418578e-07
Position 20132: 7.908556728869154e-07
Position 19273: 6.921194675027838e-07
Position 22559: 6.546637533608956e-07
Position 22785: 6.50534657229813e-07
Position 1044: 5.874122706310812e-07
Position 18641: 5.582252016970894e-07
Position 619: 5.270285679367003e-07
Position 4297: 4.642223915330707e-07
Position 573: 4.0455909278333443e-07
Position 444: 3.4737633701250965e-07
Position 589: 2.7012682364113386e-07
Position 457: 2.491634332505641e-07
Position 548: 2.47413725536501e-07
Position 20669: 2.2702460636802158e-07
Position 578: 1.5644514761387553e-07
Position 17308: 1.4160511225650734e-07
Position 486: 1.1735359119002903e-07
Position 16633: 1.1293277352181218e-07
Position 386: 1.0768330289943994e-07
Position 711: 9.299887239932759e-08
Position 583: 9.173860175548606e-08
Position 18394: 7.161832914277547e-08
Position 1056: 6.673471872736056e-08
Position 992: 5.816841953445483e-08
Position 693: 4.7235047328535345e-08
Position 962: 4.56208880419188e-08
Position 551: 4.3465558208725765e-08
Position 14261: 3.6797120281842246e-08
Position 356: 3.599794673845741e-08
Position 522: 3.284855931606982e-08
Position 958: 2.5265201492327782e-08
Position 14280: 2.0911801145941873e-08
Position 967: 1.7708975399004646e-08
Position 353: 1.6547525628366417e-08
Position 14964: 1.490833606085581e-08
Position 412: 1.11855497718448e-08
Position 117: 1.1041211057363568e-08
Position 759: 9.70026815596893e-09
Position 11433: 9.286561712274553e-09
Position 240: 2.6374385616503897e-09
Position 273: 2.3813830711193277e-09
Position 511: 2.320690398856333e-09
Position 840: 1.2279212620582428e-09
Position 804: 9.984143483387955e-10
Position 501: 3.225443963846353e-10
Position 494: 2.0404780059905982e-10
