Gene = PHAX
index = 1021
Annotated 5SS: [  791  3916  8217 17066]
Annotated 3SS: [ 3301  8095 16981 24306]
SMsplice 5SS: [  165   791  3916  8217 17066]
SMsplice 3SS: [  675  3822  8095 16981 24306]
top_k =  500
Partition function (log Z): -0.12292628406013861

Sorted 5' Splice Sites (High to Low Probability):
Position 8217: 0.9971230967603146
Position 17066: 0.9971106344908607
Position 3916: 0.9575742759977831
Position 791: 0.9548475170876621
Position 3402: 0.5085971434420201
Position 47: 0.3701011830043504
Position 165: 0.36931333906154296
Position 6708: 0.266728139242861
Position 16823: 0.19558279302944395
Position 430: 0.19280198489965245
Position 2218: 0.17656746448709285
Position 266: 0.1683596394353385
Position 4140: 0.15099958402633368
Position 9388: 0.08541570609898748
Position 9599: 0.07662905793187502
Position 15032: 0.06822531212499346
Position 287: 0.06536464173402702
Position 16883: 0.062072830052247396
Position 6742: 0.06150718334266963
Position 13773: 0.05448005077427521
Position 3609: 0.05138021686104753
Position 6051: 0.04873014084043754
Position 19699: 0.047921923194511835
Position 19970: 0.04258812370011048
Position 10057: 0.03524499683329589
Position 181: 0.03483694142956485
Position 3390: 0.03313561095508394
Position 10045: 0.032510797342231175
Position 15638: 0.030126584854302804
Position 19780: 0.02480963056220738
Position 808: 0.022106503309786373
Position 10581: 0.01561659690425203
Position 6194: 0.013546667973013623
Position 14124: 0.012565557385315146
Position 22501: 0.011375812381808301
Position 9783: 0.01027340377255838
Position 12013: 0.010068165625735929
Position 19250: 0.008584269909637834
Position 22631: 0.006850613297294269
Position 18937: 0.005711508186560669
Position 6868: 0.004949825587298794
Position 2522: 0.004736106861352197
Position 12029: 0.004657436782160197
Position 4277: 0.004371406695724024
Position 13635: 0.004362494800988824
Position 5708: 0.004028015312199869
Position 2023: 0.0035116450340734375
Position 9819: 0.003362922076712952
Position 497: 0.003179570836163058
Position 3159: 0.0028770805743285515
Position 2554: 0.002689275739514418
Position 12292: 0.0026384252036993627
Position 20943: 0.002560605298907124
Position 20061: 0.00238978886582508
Position 865: 0.0021016128532704483
Position 28: 0.0019677062208636508
Position 2679: 0.0015923479917401037
Position 543: 0.0015383980415260687
Position 1677: 0.00139426605185436
Position 362: 0.0009937854710067257
Position 512: 0.0008517047890959972
Position 3248: 0.0008211396667700024
Position 3411: 0.0007715305091544204
Position 3365: 0.000727749029800625
Position 707: 0.0006351981188585783
Position 1187: 0.0005874696481438646
Position 191: 0.0004721957865209379
Position 5037: 0.0003665083294039553
Position 871: 0.00028438280319385985
Position 8611: 0.00021652256666559563
Position 5232: 0.00020226452151081371
Position 5835: 0.00018775991821096317
Position 10: 0.0001866776030309296
Position 298: 0.00018366844803332325
Position 2904: 0.00018291598111806398
Position 2108: 0.00017687052162441847
Position 2830: 0.00015038958978171575
