Gene = ITGB3BP
index = 721
Annotated 5SS: [   87 14688 33133 44452 68326 68836 69298 76410]
Annotated 3SS: [14644 32996 44381 68246 68741 69240 76358 82111]
SMsplice 5SS: [  106   342 20506 33133 69298]
SMsplice 3SS: [  215 20389 32996 69166 82111]
top_k =  500
Partition function (log Z): -43.441971741500396

Sorted 5' Splice Sites (High to Low Probability):
Position 106: 0.8413050430151288
Position 342: 0.48563224530768073
Position 262: 0.18530723766039864
Position 87: 0.10149972319986635
Position 3070: 0.061951900832319454
Position 3463: 0.05990744460197009
Position 91: 0.04906959028186039
Position 9778: 0.0369455838683113
Position 327: 0.0274062173056537
Position 9640: 0.02298502905591634
Position 11200: 0.009767477052070515
Position 39: 0.0077865106904054385
Position 320: 0.005207879619993748
Position 373: 0.004491279571057506
Position 4125: 0.0044840942285102135
Position 11149: 0.0029259669769609183
Position 2508: 0.00265779765617989
Position 488: 0.002591705362427676
Position 334: 0.002405281283049124
Position 4000: 0.0012360328203246701
Position 453: 0.0011148120204778078
Position 1348: 0.0010585129828787148
Position 1000: 0.0009739211688712026
Position 233: 0.0003950112479297185
Position 423: 0.00029836674305667836
Position 2884: 0.0002918582535213322
Position 62: 0.00021292239266366218
Position 1748: 0.0001895182596971273
Position 3505: 0.00018686133299503533
Position 459: 0.00016543672811403055
Position 3501: 0.00011426856229926051
Position 2481: 6.388503984963671e-05
Position 2064: 4.907634993622987e-05
Position 249: 4.735902420594405e-05
Position 1328: 4.4488427323963675e-05
Position 529: 4.2166864273099644e-05
Position 3727: 1.9642804430886547e-05
Position 150: 5.413824752448731e-06
Position 840: 4.051790499204521e-06
Position 492: 4.0098330063158685e-06
Position 585: 2.902449600143671e-06
Position 768: 2.8463323790845966e-06
Position 114: 1.3484598859772003e-06
Position 2290: 1.2502438204718815e-06
Position 467: 1.205783399773314e-06
Position 31: 1.1403686538419082e-06
Position 1181: 1.1009542189324089e-06
Position 189: 8.070572271741294e-07
Position 158: 5.584624778014727e-07
Position 59: 3.8248201239011676e-07
Position 293: 2.373843943008242e-07
Position 538: 2.1716730424472001e-07
Position 276: 1.9093800276431922e-07
Position 396: 1.8224181615894655e-07
Position 416: 8.604208482814092e-08
Position 589: 7.750719485619184e-08
Position 419: 6.590052130172584e-08
Position 446: 3.4715204383948305e-08
Position 1004: 2.9620738525642654e-08
Position 21: 3.091342870974669e-09
Position 199: 1.162796281894839e-10
Position 43: 9.797753724271024e-11
Position 347: 1.9634801854908592e-11
Position 170: 4.4621599933102604e-12
Position 208: 1.2062167272108553e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 215: 0.9513147609612397
Position 13033: 0.1257620377580612
Position 13052: 0.11131828998930028
Position 15855: 0.09421883643289976
Position 9606: 0.07134718740019359
Position 8277: 0.06793890960678232
Position 13029: 0.0632666664758465
Position 11301: 0.05673490642940176
Position 3335: 0.05037535361868548
Position 2830: 0.050366996624855616
Position 9418: 0.04027948653618864
Position 6227: 0.024090827003158555
Position 3875: 0.023508902804699142
Position 2137: 0.022964986950819978
Position 2939: 0.02119394130172479
Position 14644: 0.01898101828460678
Position 11043: 0.01569993612236966
Position 7140: 0.014406227668151165
Position 2853: 0.01425768441829739
Position 3384: 0.011625292288516746
Position 1440: 0.0067015748248511154
Position 1086: 0.006613283102668928
Position 829: 0.004162330132358604
Position 11847: 0.0038967772353960136
Position 1235: 0.0030004931872674406
Position 10674: 0.002931592505509531
Position 10530: 0.0028356916480697216
Position 5448: 0.002583400975371202
Position 8273: 0.0024109768872553616
Position 1196: 0.0023739609074793873
Position 2637: 0.0022717609128403275
Position 7392: 0.0020565949428998733
Position 8822: 0.0019855880856935403
Position 5640: 0.0018492419706776116
Position 3127: 0.0017974544602296968
Position 1436: 0.001732570090352413
Position 5574: 0.0016972630229550644
Position 6532: 0.0015698668798434321
Position 259: 0.0013967550449157631
Position 189: 0.0012699527724767633
Position 2971: 0.0012642119435950724
Position 931: 0.0011855418587284148
Position 3783: 0.0009175234913468145
Position 2750: 0.0008525158062955717
Position 7328: 0.0008473796067472484
Position 419: 0.0007866270505808465
Position 3804: 0.0005762785808356835
Position 1058: 0.0005556346589072758
Position 6945: 0.0005502569903784615
Position 6513: 0.000519867840300498
Position 1382: 0.00047948657637881696
Position 4281: 0.0004657755707687436
Position 6993: 0.00046384337882171675
Position 6921: 0.0004261922981687964
Position 6431: 0.00041259351871293724
Position 1460: 0.0004111728705388684
Position 3234: 0.00039075270203770945
Position 5710: 0.000368092900855554
Position 5099: 0.0003230810708900323
Position 879: 0.00032201133415256936
Position 6248: 0.0003177636842877708
Position 6019: 0.00031158513844381334
Position 3462: 0.00025179869568598323
Position 1110: 0.0002481771361497943
Position 1576: 0.00023500611481861862
Position 5067: 0.00020977394442043775
Position 3168: 0.00016165560870788528
Position 3155: 0.00015775190110493557
Position 4983: 0.0001547037893510512
Position 3609: 0.00013527686083963166
Position 3627: 0.0001313240569879833
Position 3703: 0.00012635781288743486
Position 869: 0.00011704983807686523
Position 1556: 0.00010923252069472087
Position 2608: 0.00010727747460541433
Position 3038: 0.00010581412990440388
Position 2806: 0.00010479916177487627
Position 3630: 9.105785767508397e-05
Position 2715: 8.773462498843893e-05
Position 2149: 8.412149161551433e-05
Position 1643: 7.338606138662711e-05
Position 2372: 7.101456265969136e-05
Position 3061: 5.9791491232091636e-05
Position 2571: 5.954503061709706e-05
