Gene = PRPF38A
index = 1074
Annotated 5SS: [  316  1276  4127  6637  8061  9428 10084 10296 10823]
Annotated 3SS: [ 1115  4004  6550  7949  9314 10056 10197 10773 12083]
SMsplice 5SS: [  316  1276  4127  6637  8061  9428 10084 10296 10823]
SMsplice 3SS: [ 1115  4004  6520  7949  9314 10056 10197 10773 12083]
top_k =  500
Partition function (log Z): 12.961756786521828

Sorted 5' Splice Sites (High to Low Probability):
Position 10296: 0.9962778184992158
Position 4127: 0.980690202478462
Position 9428: 0.9703336883167802
Position 8061: 0.9534791765485677
Position 6637: 0.9382907529213403
Position 1276: 0.9230959973133388
Position 10823: 0.8640668277711522
Position 316: 0.8599233655401949
Position 10084: 0.7026861115327856
Position 4660: 0.4795524501686085
Position 7761: 0.24621195126797057
Position 7013: 0.23776377866388734
Position 7009: 0.22034434907399172
Position 750: 0.19203386362175823
Position 14083: 0.06495299843411019
Position 10697: 0.06262697638125148
Position 505: 0.057949177141895646
Position 381: 0.05355436149019009
Position 7717: 0.04500180832151166
Position 9953: 0.040355839250816775
Position 5408: 0.04027646079089838
Position 6995: 0.040158075175453924
Position 7402: 0.03952252662594565
Position 13541: 0.03337199887599167
Position 10709: 0.03207999485204448
Position 7571: 0.027669886260173884
Position 2311: 0.021058328712972682
Position 12180: 0.020512266318297428
Position 10473: 0.01894800275602586
Position 9697: 0.017299263723138208
Position 2184: 0.01346252735913757
Position 1150: 0.012192206247321796
Position 3730: 0.009719040737754111
Position 284: 0.008643151116701053
Position 1843: 0.00818372046469111
Position 8305: 0.008168197983497228
Position 117: 0.006787177282847614
Position 4005: 0.00609976062353736
Position 900: 0.0058228999328957115
Position 5403: 0.005786434970613458
Position 932: 0.005390834816432894
Position 9162: 0.004530771346968989
Position 5721: 0.004368006701382668
Position 2081: 0.004118639100341775
Position 1920: 0.004114411862699526
Position 2732: 0.0041082306579939285
Position 11422: 0.0038373854762991685
Position 5451: 0.003654121836663398
Position 9085: 0.0031424137600639264
Position 8084: 0.0031196511238094134
Position 8421: 0.0028588104240983517
Position 543: 0.0027179534751075114
Position 423: 0.0025882597239327613
Position 5455: 0.002585481602904317
Position 1661: 0.002583593533668383
Position 4834: 0.002447968957314362
Position 138: 0.0024314947334298388
Position 905: 0.0021423813754946636
Position 4131: 0.0017911205488435275
Position 11618: 0.0017887302367975801
Position 9406: 0.00177924979369374
Position 12275: 0.0017105780428167492
Position 7238: 0.0015694413490767978
Position 1904: 0.001561869415892399
Position 1976: 0.0013588361942669456
Position 10323: 0.0012203074168248471
Position 6796: 0.0010689339625006053
Position 1918: 0.0009463484584929786
Position 46: 0.0009201670847397129
Position 11186: 0.0008341082555750046
Position 2144: 0.0008301796511720653
Position 6827: 0.0008174392309851767
Position 410: 0.0008075310625801796
Position 9784: 0.0007656022702898722
Position 816: 0.0007065152420514346
Position 10255: 0.0006816560971430529
Position 6903: 0.0006430923114094673
Position 8087: 0.0006040327033881363
Position 636: 0.0005967595386551518
Position 510: 0.0005735401281597743
Position 9902: 0.0005618936219895516
