Gene = F3
index = 520
Annotated 5SS: [ 264 1544 5836 8711 9480]
Annotated 3SS: [ 1431  5635  8531  9319 11203]
SMsplice 5SS: [ 264 1544 5836 8711]
SMsplice 3SS: [ 1431  5635  8531 11203]
top_k =  500
Partition function (log Z): -3.3533812641584406

Sorted 5' Splice Sites (High to Low Probability):
Position 264: 0.9605385541460983
Position 8711: 0.9426770168300932
Position 5836: 0.9371613885145823
Position 1544: 0.7832607771616265
Position 9480: 0.4962665376357217
Position 6043: 0.1498174985390097
Position 6135: 0.1427637852611705
Position 3145: 0.10482716657367237
Position 2649: 0.10031325764392474
Position 1229: 0.06718735891906123
Position 9888: 0.05718063389617528
Position 9443: 0.04765198708003577
Position 909: 0.03048985927951507
Position 931: 0.02534141001207756
Position 5956: 0.021437783077539144
Position 6103: 0.0196822204087787
Position 3014: 0.019112941983669
Position 7586: 0.018153613117795883
Position 8570: 0.017806353775378356
Position 6446: 0.017596868919207514
Position 6089: 0.016753839698786795
Position 2710: 0.011200459376748994
Position 588: 0.010997236439260254
Position 11064: 0.01045583363094534
Position 5993: 0.009116541072653308
Position 1352: 0.008904614620395747
Position 248: 0.008627242109497398
Position 5779: 0.008213569095640066
Position 2545: 0.007112972902938984
Position 1824: 0.00635848675652333
Position 6876: 0.006120865501270125
Position 6495: 0.005328431073470408
Position 8975: 0.0052640662145014595
Position 786: 0.004188703173810341
Position 6414: 0.0037370751999916663
Position 7142: 0.003716927459443716
Position 5798: 0.0035777964091084345
Position 4897: 0.0031683995810940268
Position 651: 0.0028585519177341673
Position 4416: 0.002856658458744979
Position 5377: 0.0026868270282026734
Position 4888: 0.002646594043584789
Position 3209: 0.0025586511383885987
Position 9511: 0.002333912628630328
Position 1330: 0.002240755862377411
Position 2553: 0.0021338727743555426
Position 2362: 0.0018986461131892337
Position 1553: 0.0018073602672272254
Position 1256: 0.0017411039013625297
Position 1939: 0.0016933742857321232
Position 9450: 0.0016543612360057707
Position 6663: 0.0014995796275265355
Position 10300: 0.0014677996329713512
Position 3514: 0.0014044324781734513
Position 985: 0.0012295978223666542
Position 2525: 0.0012242390794985015
Position 3162: 0.0012052131987297953
Position 2195: 0.0011386506964622312
Position 10268: 0.0010204499063268258
Position 1574: 0.0009501624005131655
Position 1008: 0.000937920581223688
Position 2535: 0.00093477825692407
Position 1342: 0.0009045942858698343
Position 8962: 0.0008997070757683418
Position 955: 0.0008664053775628832
Position 2830: 0.0008402870330469474
Position 158: 0.0008248704329276674
Position 1689: 0.0008063537099911706
Position 427: 0.0007304445141278474
Position 520: 0.000592118973726514
Position 1836: 0.00048726263551331295
Position 4904: 0.0004839163503113723
Position 3466: 0.0004694739601400205
Position 6193: 0.00046149169337176876
Position 2020: 0.00044449140160635867
Position 6758: 0.00044357175962066853
Position 2653: 0.0004333729071915221
Position 4460: 0.00039852305330124327
Position 935: 0.0003977779891958355
Position 3184: 0.0003732112838601385
Position 820: 0.0003457765712576299
Position 6000: 0.0003442317014150896
Position 990: 0.00016677242749746395
Position 734: 0.0001463460518603541
Position 1335: 0.00011473357389914045
Position 1360: 0.00010658303425731181
Position 855: 8.433409789824356e-05
Position 1153: 7.096354558085136e-05
Position 2268: 4.0740032488926926e-05
Position 2114: 3.711547749953236e-05
Position 2109: 1.302076643671112e-05
Position 3115: 4.785417873532294e-06
Position 188: 3.8127535734062143e-06
Position 4464: 3.5270944624029917e-06
Position 514: 3.219251216348921e-06
Position 512: 1.3071400837164708e-06
Position 740: 1.012718236808624e-06
Position 236: 1.0048200803047784e-06
Position 822: 9.669494066291831e-07
Position 1838: 6.254817955987956e-07
Position 431: 4.2049539701508864e-07
Position 462: 3.08063606643835e-07
Position 676: 2.5910795850694816e-07
Position 707: 1.76842894674335e-07
Position 592: 1.7233714442550476e-07
Position 531: 1.327203105806119e-07
Position 635: 1.2460474297618952e-07
Position 637: 1.1762471655270854e-07
Position 500: 1.014965778668136e-07
Position 1533: 9.903817134449631e-08
Position 349: 4.121701758615644e-08
Position 627: 3.9841995023255953e-08
Position 619: 1.0051370507131732e-08
Position 322: 1.0026288685606211e-08
Position 448: 9.994201616432323e-10
Position 268: 5.499416668399047e-10
Position 367: 4.4156617817441544e-10
Position 370: 2.8552372176143163e-10
Position 643: 2.398031637913611e-10
Position 209: 1.0946337013625452e-11
Position 534: 2.8531032062261383e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 8531: 0.977355857764088
Position 1431: 0.7602018734393082
Position 5635: 0.6636166647053628
Position 11203: 0.6059756201337677
Position 9319: 0.44360972154713835
Position 5949: 0.2502319077297434
Position 5679: 0.23681128915199012
Position 9715: 0.12334622567657623
Position 2388: 0.10168261371585369
Position 3041: 0.09843417650175212
Position 12133: 0.09147039909481239
Position 5987: 0.07827377326044631
Position 9368: 0.05481840703415512
Position 5760: 0.05316332496025149
Position 733: 0.05184508968123911
Position 9075: 0.048643260248846645
Position 1153: 0.041309039165296
Position 11729: 0.03004192825843533
Position 6334: 0.02830613433884159
Position 5910: 0.022725557244248996
Position 9416: 0.021291924199642258
Position 10603: 0.019589445523962586
Position 9253: 0.017833853835571793
Position 2876: 0.017554397138945806
Position 10138: 0.016744015518204224
Position 7373: 0.016469205817601956
