Gene = G0S2
index = 571
Annotated 5SS: [130]
Annotated 3SS: [232]
SMsplice 5SS: [130 342]
SMsplice 3SS: [232 425]
top_k =  500
Partition function (log Z): -2.428723559481551

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9921706968534509
Position 342: 0.6018226525392353
Position 334: 0.017638884667812244
Position 53: 0.005454271331497701
Position 170: 0.0017299690290000491
Position 57: 0.0003987276944254579
Position 532: 0.000211584618421157
Position 133: 0.00012532343972880441
Position 379: 0.00011489379919311826
Position 346: 3.2859663120641634e-05
Position 400: 2.3097014080048484e-05
Position 582: 1.9459884918561237e-05
Position 376: 1.496598143576384e-05
Position 274: 1.023538647117306e-05
Position 402: 4.629602182667739e-06
Position 428: 2.4130594187982928e-06
Position 358: 1.5835542275399406e-06
Position 598: 9.596822654098693e-07
Position 614: 7.345798542486645e-07
Position 5: 1.675064766093514e-07
Position 794: 1.4855168277916105e-07
Position 782: 1.4817511738344267e-07
Position 119: 1.0585162818252381e-07
Position 180: 5.439329282149712e-09
Position 233: 4.44654046094594e-09
Position 177: 1.90634981315309e-10
Position 197: 2.6877213268002236e-11
Position 189: 3.785540655275048e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 232: 0.9992249290472186
Position 425: 0.4228397811621856
Position 441: 0.07938605035162086
Position 564: 0.026124564495254746
Position 731: 0.01823674633096922
Position 444: 0.017138611403692532
Position 750: 0.011953760291777738
Position 465: 0.009273835060623367
Position 576: 0.008476594726676447
Position 407: 0.006162492803718075
Position 877: 0.005677026093139438
Position 483: 0.005481192853634652
Position 810: 0.002484264827046029
Position 695: 0.001415386215922434
Position 668: 0.0012998833760463461
Position 495: 0.0009332386071271586
Position 448: 0.0005507107165147675
Position 767: 0.0005495550945366752
Position 779: 0.0004387758494558857
Position 733: 0.0003760205362984382
Position 206: 0.00023588056112276799
Position 492: 0.00023195844481361204
Position 507: 0.0002099133411706485
Position 782: 0.0001288730966060081
Position 477: 0.00012165859205585013
Position 671: 0.00012087977228532473
Position 688: 0.00011364677557221537
Position 499: 9.179782569103894e-05
Position 514: 8.846300782577734e-05
Position 593: 4.199970563618198e-05
Position 510: 4.0008913191364636e-05
Position 257: 3.596549772637586e-05
Position 794: 3.105306506556302e-05
Position 690: 2.9590226548217506e-05
Position 252: 2.95488607029408e-05
Position 300: 2.9185076533704127e-05
Position 250: 2.755115289267038e-05
Position 396: 1.595535423134426e-05
Position 627: 1.5547227677759982e-05
Position 617: 1.5485096348048468e-05
Position 356: 1.3443302864276201e-05
Position 608: 1.2755848981775454e-05
Position 651: 1.0863363368185057e-05
Position 279: 9.40516884632955e-06
Position 459: 8.846331055804569e-06
Position 881: 8.08030508715905e-06
Position 885: 7.763814329817269e-06
Position 303: 7.193967323658771e-06
Position 259: 4.956964655256352e-06
Position 519: 4.460740704821058e-06
Position 525: 4.088154107956186e-06
Position 614: 1.8798331987928268e-06
Position 698: 1.0790752466704572e-06
Position 522: 1.003190432119856e-06
Position 637: 9.332080395128207e-07
Position 647: 7.403351431017728e-07
Position 318: 5.396108880506128e-07
Position 621: 5.00447797231266e-07
Position 315: 4.7262653536578413e-07
Position 598: 4.0680108895871e-07
Position 653: 3.7550857857261125e-07
Position 588: 2.2043598933332416e-07
Position 282: 7.041083109216648e-08
Position 160: 1.5255582859626213e-08
Position 324: 1.4543827286118568e-08
Position 165: 1.3163639328375469e-08
Position 264: 7.738723536257841e-09
Position 129: 4.6522703580909474e-09
Position 339: 3.5357417720769242e-09
Position 330: 2.6405057280006505e-09
Position 149: 8.478518004045789e-11
Position 186: 5.050305170256024e-11
Position 133: 1.3762914016264775e-11
Position 94: 7.433665898971175e-12
