Gene = NREP
index = 961
Annotated 5SS: [   141 241695 262035]
Annotated 3SS: [241633 261956 266417]
SMsplice 5SS: [   141  35182  98605 104438 129958 146179 175333 250008 258925 262035
 262795]
SMsplice 3SS: [ 35074  98516 104212 129860 146112 175230 249957 258808 261956 262653
 266417]
top_k =  500
Partition function (log Z): -130.32120990433418

Sorted 5' Splice Sites (High to Low Probability):
Position 141: 0.8883839591432112
Position 5445: 0.15795140618371376
Position 173: 0.11047738162880069
Position 6041: 0.03823073867868249
Position 687: 0.021040707255965917
Position 9390: 0.011448350015270812
Position 5421: 0.009526162523950143
Position 1662: 0.009459954956008198
Position 4479: 0.008378662793501624
Position 1297: 0.007797831936072209
Position 6735: 0.003215769900717603
Position 7395: 0.0030477359223975344
Position 3986: 0.0025788178121655234
Position 9304: 0.0025730749161792256
Position 1387: 0.0022635458680668667
Position 2293: 0.002136189134210982
Position 4797: 0.0019753553937044343
Position 8245: 0.0017130642687446186
Position 2653: 0.0012085281197538736
Position 4813: 0.001192510509916068
Position 2951: 0.0009964265125865476
Position 227: 0.0008074908879315275
Position 5045: 0.0007978944156574463
Position 3991: 0.0007149991899269548
Position 5180: 0.0004204510838253929
Position 886: 0.000383010988631171
Position 3948: 0.0002220495042589212
Position 847: 0.0001891754976438706
Position 4151: 0.000188726647597934
Position 3579: 8.761098922149169e-05
Position 3952: 7.974275190688696e-05
Position 231: 5.918634238226206e-05
Position 177: 3.697201069220593e-05
Position 939: 3.082339812531162e-05
Position 180: 2.4259545742611258e-05
Position 235: 1.8811705046197948e-05
Position 654: 1.556830815992314e-05
Position 248: 1.180936749736188e-05
Position 1195: 9.38518068835448e-06
Position 6124: 8.013228998522704e-06
Position 650: 6.5041038097699045e-06
Position 2287: 3.267383014488183e-06
Position 3522: 3.0894966510133192e-06
Position 210: 3.0192653506335776e-06
Position 2941: 2.681324859036136e-06
Position 901: 1.9385134100026913e-06
Position 1113: 1.295252734404148e-06
Position 157: 8.769527897335342e-07
Position 879: 7.593766103826926e-07
Position 856: 6.969971581014909e-07
Position 466: 6.694418688886752e-07
Position 305: 6.37802348956851e-07
Position 1133: 5.667468481741841e-07
