Gene = HGD
index = 650
Annotated 5SS: [  475  6780  7671 12145 29980 31798 34695 35599 36305 38253 40983 44117
 49425]
Annotated 3SS: [ 6707  7581 12038 29919 31705 34659 35518 36204 38127 40877 43989 49242
 54041]
SMsplice 5SS: [  475  7671 12145 31798 32221 34695 34998 35599 36305 38253 40983 44117
 49425]
SMsplice 3SS: [ 7581 12038 31705 32143 34659 34810 35518 36204 38127 40877 43989 49242
 53307]
top_k =  500
Partition function (log Z): -22.720100493105942

Sorted 5' Splice Sites (High to Low Probability):
Position 12145: 0.9946357110335772
Position 7671: 0.9473319970755032
Position 475: 0.8078944863662987
Position 4318: 0.5490137953251393
Position 6780: 0.471196455815747
Position 7862: 0.4696344294903378
Position 11731: 0.30339498692249334
Position 4668: 0.2851753259125807
Position 3387: 0.22446177620390953
Position 13955: 0.18913625003678725
Position 963: 0.11312268260976335
Position 8081: 0.11245222270267616
Position 4779: 0.09802721495904937
Position 9079: 0.09176461794021529
Position 184: 0.08821698900725733
Position 12887: 0.07561115377410528
Position 654: 0.05911777650831563
Position 2368: 0.04582760900147742
Position 8636: 0.04383066346732598
Position 6069: 0.03716597411938572
Position 11146: 0.03685510406212921
Position 3434: 0.03524689467618098
Position 13713: 0.034598928237373636
Position 1747: 0.028752966648130023
Position 8337: 0.02816520834297296
Position 5318: 0.022747993237076037
Position 8514: 0.020455863886203286
Position 7709: 0.019929382779230183
Position 14676: 0.016307091534293577
Position 12643: 0.0162408068674211
Position 14667: 0.014893859361419398
Position 3481: 0.012536351850946712
Position 8716: 0.012264161183004782
Position 10298: 0.010907859697093743
Position 3765: 0.009957630198082858
Position 1140: 0.00925060425899328
Position 10353: 0.008720164097650251
Position 254: 0.008593458025819118
Position 7705: 0.00840441443869786
Position 547: 0.007758117021184488
Position 2204: 0.006370932874544656
Position 4206: 0.005241796234674898
Position 5370: 0.0050592007034561915
Position 13238: 0.003181036603371062
Position 13693: 0.003156992669997027
Position 8785: 0.002723951547065704
Position 1484: 0.0026604957843500837
Position 4097: 0.002599534564791914
Position 247: 0.002501654590985686
Position 3364: 0.0019578056500420523
Position 5489: 0.0016785262371786325
Position 2432: 0.0014611463882583725
Position 3929: 0.0013250967142632818
Position 1335: 0.0011890885792616454
Position 13391: 0.001187978645563764
Position 4895: 0.0010653725910394578
Position 12668: 0.001057114083181544
Position 12604: 0.0009974862981808655
Position 8696: 0.00078587843811894
Position 4672: 0.0007762223426006212
Position 3174: 0.0005642635826529074
Position 969: 0.0004945509410999371
Position 844: 0.0004570225393944266
Position 2840: 0.00045101375990397183
Position 226: 0.00022724937117276535
Position 8302: 0.0001636955909851733
Position 8312: 0.000157050674928092
Position 167: 9.954190545542192e-05
Position 13266: 8.721321380632156e-05
Position 2015: 4.4407438853160094e-05
Position 285: 3.2635707317089185e-05
Position 377: 2.3162052696308596e-05
Position 8107: 1.183894788146906e-05
Position 685: 8.553466163104731e-06
Position 494: 7.705005891791615e-06
Position 1379: 6.426327757507345e-06
Position 988: 6.066727507877382e-06
Position 581: 5.9437799637105895e-06
Position 1434: 5.688813897516197e-06
Position 529: 4.293335405964482e-06
Position 424: 3.621764373375716e-06
Position 468: 2.8883545751290673e-06
Position 595: 2.0263902478239704e-06
Position 555: 1.991145813998802e-06
Position 291: 1.729507036714906e-06
Position 399: 1.4783889481076274e-06
Position 434: 1.4101338405837452e-06
Position 616: 1.3253612914811534e-06
Position 374: 1.1868582113958347e-06
Position 41: 1.0904931733352216e-06
Position 620: 1.0576794369546766e-06
Position 614: 7.221006355566056e-07
Position 343: 6.325625062281713e-07
Position 983: 6.184119513451302e-07
Position 95: 6.118221584195545e-07
