Gene = EBNA1BP2
index = 477
Annotated 5SS: [ 208  375  782 1505 3322 5101 5435 7618]
Annotated 3SS: [ 290  608 1380 3231 5024 5340 7454 7766]
SMsplice 5SS: [ 208  375 1505 3322 5101 7618]
SMsplice 3SS: [ 290 1380 3167 5024 7454 7694]
top_k =  500
Partition function (log Z): 2.431020757101715

Sorted 5' Splice Sites (High to Low Probability):
Position 208: 0.9974936852667236
Position 1505: 0.9277392248580781
Position 5101: 0.8211179793920789
Position 375: 0.8151069357650107
Position 3322: 0.7318501004235777
Position 7618: 0.6082926790055305
Position 5435: 0.32490973116891436
Position 34: 0.14997646899272432
Position 782: 0.14534854084902527
Position 5137: 0.12201406032833341
Position 3523: 0.08879642084720432
Position 6480: 0.07725390663374175
Position 7640: 0.04468997592968264
Position 1331: 0.03135717696270685
Position 5105: 0.029051284179570057
Position 5474: 0.026205665340681736
Position 4599: 0.021516919861737142
Position 399: 0.02151539521190716
Position 392: 0.016868121274993007
Position 1754: 0.013841173175610823
Position 7632: 0.012785760187331692
Position 1800: 0.012450129079192419
Position 687: 0.011904649894840637
Position 6420: 0.011875274959851518
Position 3703: 0.010805361035190737
Position 4697: 0.007255863753909262
Position 852: 0.006623100129532512
Position 508: 0.006565285084893881
Position 3273: 0.006349887516179201
Position 778: 0.0063336352953512
Position 7622: 0.006135527225125579
Position 28: 0.005724344869388579
Position 4913: 0.005686234202062875
Position 3362: 0.00429565925479469
Position 15: 0.003810103856648721
Position 1838: 0.003672440352540132
Position 3449: 0.003599078669071931
Position 3028: 0.003280714755900419
Position 381: 0.003194307232724291
Position 2579: 0.0025358403834618484
Position 4376: 0.0024713851670666283
Position 6254: 0.0022881238165400504
Position 7549: 0.0022533681653012657
Position 809: 0.0022409850264129613
Position 1272: 0.001972813258976082
Position 7749: 0.001971288276149444
Position 2153: 0.0018781245254023233
Position 372: 0.0018656691786746917
Position 3065: 0.0017635128323928535
Position 4930: 0.001755285095036487
Position 3360: 0.0017074930421128245
Position 8: 0.001216506767393316
Position 4916: 0.0010474303052622207
Position 5469: 0.00101501380656249
Position 2442: 0.0008301719714965689
Position 4380: 0.000674749535944169
Position 3334: 0.0006497179091752867
Position 212: 0.0004897412776721482
Position 5130: 0.0004799117675295847
Position 3546: 0.00045901705627846175
Position 2175: 0.00041113443825980763
Position 6246: 0.0003841128240894948
Position 5941: 0.00031010846052193755
Position 5237: 0.0003034488732903492
Position 4360: 0.0002463349244808811
Position 5491: 0.00021760554101825342
Position 3955: 0.00021488195969193924
Position 3840: 0.00020744011427827896
Position 128: 0.00019369919873495542
Position 491: 0.00018200408230068503
Position 2439: 0.00016297780548121796
Position 5498: 0.00015127155064162948
Position 2515: 0.00014069417962830482
Position 214: 0.00010914260091300822
Position 430: 9.516820635353995e-05
Position 115: 5.629072717366145e-05
Position 5278: 5.207828971948164e-05
Position 583: 3.854827965265947e-05
Position 5037: 3.55163247365102e-05
Position 5255: 2.7469170377553358e-05
Position 119: 2.461898599202045e-05
Position 227: 5.095830912101695e-06
Position 132: 3.581523843614254e-06
Position 336: 3.173966087394986e-06
Position 90: 1.7356210556004394e-06
Position 5605: 4.2091140138276035e-07
Position 171: 2.0741621119191028e-07
Position 239: 1.9100898755742398e-07
Position 193: 6.899130162931601e-08
Position 121: 5.394912875115074e-08
Position 280: 3.797694131087809e-09
Position 268: 2.8487705677679372e-09
Position 105: 1.1414368651106744e-09
Position 274: 1.0177923367747865e-09
Position 363: 1.8028279780768934e-10
Position 282: 1.1042076953983233e-10
Position 339: 3.196342671663535e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 5024: 0.9759815325577917
Position 290: 0.7574777091493177
Position 7694: 0.6105250541468269
Position 7454: 0.5805470950328908
Position 1380: 0.43977235798417874
Position 1432: 0.43176453355494804
Position 5340: 0.3962925379542405
Position 3167: 0.3897140463361797
Position 3231: 0.3701729435190275
Position 7766: 0.28716706148614324
Position 118: 0.16071111741279703
Position 296: 0.09923780947176904
Position 6317: 0.08814863154172628
Position 608: 0.08212661094406049
Position 3447: 0.06366421665567572
Position 7509: 0.047991293495959424
Position 633: 0.034895102392379564
Position 7460: 0.031138722668000916
Position 1200: 0.02496687761596019
Position 1636: 0.02379500988662885
Position 1222: 0.021183517458722052
Position 544: 0.017834073277805056
Position 664: 0.01596186357725546
Position 7485: 0.015831167172493218
Position 7720: 0.015822080016107392
Position 1172: 0.01365391837173209
Position 1271: 0.010495268822635576
Position 4465: 0.010365469241770621
Position 4791: 0.00978387632614073
Position 592: 0.008587759830717785
Position 7769: 0.008114558959447656
Position 1276: 0.008017599400085267
Position 4438: 0.007298090057535456
Position 3100: 0.007244322667233841
Position 6192: 0.0070302773346098
Position 7723: 0.006603784511175202
Position 1709: 0.006261420809907171
Position 695: 0.0058858292822634925
Position 4413: 0.0057889173192330065
Position 7402: 0.005626838625170856
Position 312: 0.005345897099118665
Position 3694: 0.004500477838472184
Position 4257: 0.004253004845450053
Position 1396: 0.004141258402157719
Position 3605: 0.003604546556792067
Position 1412: 0.0034475042511096536
Position 3216: 0.0033321115721771668
Position 7506: 0.003237460960138064
Position 345: 0.002795212240298896
Position 3193: 0.0025278981147540697
Position 7370: 0.002253225129461773
Position 4593: 0.002246784996253492
Position 2496: 0.002207382974675017
Position 2923: 0.002059505115949576
Position 2890: 0.0017634865684424941
Position 1495: 0.0017316494611621747
Position 4468: 0.0016943484348581857
Position 323: 0.0016861370667501715
Position 460: 0.0013988365847919372
Position 7972: 0.0013607234870955831
Position 6146: 0.0011855431771331888
Position 5661: 0.0011142546820446435
Position 1975: 0.0010715510256588678
Position 2984: 0.0010247525771451167
Position 641: 0.0009924983460077642
Position 8026: 0.000959062073658629
Position 3576: 0.0009103519213757168
Position 5164: 0.0007879868246407837
Position 3550: 0.0007754592047449476
Position 3132: 0.0007607089919210538
Position 1326: 0.0007299723864477664
Position 5679: 0.0007079861541163597
Position 4961: 0.0006881046324328911
Position 3070: 0.0006829616252137593
Position 327: 0.0006304841120044915
Position 6004: 0.0005977130787334465
Position 2299: 0.0005310435296927408
Position 3502: 0.0005191105071451719
Position 4670: 0.0005186383480372722
Position 6842: 0.0004713051393758065
Position 1391: 0.00046896109374307434
Position 7771: 0.00046543632798994906
Position 2424: 0.00043842098620091593
Position 2357: 0.00043103678287080744
Position 3636: 0.0004135638215021335
Position 521: 0.0003758009484383695
Position 6367: 0.00037437524757359566
Position 1978: 0.00028670619391507737
Position 3240: 0.000283643134937345
Position 2011: 0.0002803138299665352
Position 2100: 0.00026219833270451964
Position 725: 0.000259328425766287
Position 2021: 0.0002476027921282283
Position 620: 0.00022432778152253516
Position 6339: 0.00022295881442833233
Position 2839: 0.00020323462852602457
Position 1335: 0.00019331411843639544
Position 3144: 0.00018783858146929636
Position 7344: 0.00018377008935154608
Position 1144: 0.0001797085435022857
Position 1090: 0.0001769256758842311
Position 6661: 0.00016350669621373863
Position 1028: 0.00014329264527148088
Position 731: 0.00012714716745120943
Position 4839: 0.00011472362599693935
Position 717: 0.00011171769130848767
Position 6869: 9.254580320426508e-05
Position 5815: 8.796890557852143e-05
Position 756: 7.773128379232602e-05
Position 6899: 7.347746197514843e-05
Position 5045: 7.214804668317569e-05
Position 587: 7.112656703743815e-05
Position 465: 6.214429949167548e-05
Position 2562: 6.180006662846059e-05
Position 560: 5.7599357442704675e-05
Position 5529: 5.137263374710401e-05
Position 2033: 4.766580122966004e-05
Position 487: 4.402208235017214e-05
Position 1882: 2.0915103278922217e-05
Position 1675: 1.8643804346960315e-05
Position 4796: 1.4969606583552529e-05
Position 199: 9.362252483072026e-06
Position 5253: 7.209588328037122e-06
Position 3005: 4.13994189910319e-06
Position 390: 1.8430945679613693e-06
Position 1501: 1.7183502733694388e-06
Position 424: 1.7114397921465026e-06
Position 710: 1.2176820249389867e-06
Position 3469: 1.067812964420698e-06
Position 203: 1.0498752088884742e-06
Position 5393: 8.982438745234313e-07
Position 5378: 8.489984716462195e-07
Position 5369: 8.272921180078335e-07
Position 3522: 6.840565244870919e-07
Position 359: 6.723373123892953e-07
Position 941: 6.221957209554587e-07
Position 347: 3.9970253684525465e-07
Position 81: 3.4997206333089037e-07
Position 171: 3.4156916872767696e-07
Position 356: 2.9937352787382565e-07
Position 5258: 2.9504114630168974e-07
Position 1035: 2.5686107117230784e-07
Position 1759: 1.4404359633173705e-07
Position 1717: 6.382901856757471e-08
Position 489: 5.526479990389601e-08
Position 1650: 4.925641640650254e-08
Position 141: 3.214220125250629e-08
Position 1780: 2.7925952158976797e-08
Position 443: 1.9635326037917253e-08
Position 205: 7.049461429850013e-09
Position 268: 2.172734825002195e-10
Position 753: 8.45737267336685e-11
Position 379: 2.110099712390026e-12
Position 207: 1.8486810381601955e-12
Position 211: 6.782452528665842e-14
Position 218: 1.0125729375752278e-14
Position 223: 1.1905165095542507e-16
