Gene = FANCG
index = 540
Annotated 5SS: [ 576  866 1412 1876 2753 3046 3293 3585 4055 4552 4738 5090 5646]
Annotated 3SS: [ 774 1279 1672 2616 2914 3145 3432 3987 4261 4690 4933 5521 5799]
SMsplice 5SS: [ 576 1412 2753 3038 3293 3585]
SMsplice 3SS: [1279 2616 2914 3145 3432 5799]
top_k =  500
Partition function (log Z): 9.540704853539022

Sorted 5' Splice Sites (High to Low Probability):
Position 576: 0.9120689493749677
Position 3585: 0.8849907033426483
Position 2753: 0.8761831144947393
Position 1412: 0.8413649284232746
Position 3038: 0.7723909414916913
Position 3293: 0.7082118962720567
Position 4552: 0.5728075326033695
Position 4738: 0.5546390266257852
Position 5090: 0.5314046552628946
Position 866: 0.4270491733561452
Position 2031: 0.4130573119059637
Position 4055: 0.2693771307144019
Position 286: 0.24644961790684444
Position 3046: 0.21556497618364853
Position 3308: 0.19615461303983048
Position 5646: 0.19012381272489642
Position 4095: 0.1885847663521238
Position 4059: 0.18572631889396218
Position 1876: 0.17953755230170537
Position 4961: 0.11483634439343926
Position 3567: 0.1016836949059847
Position 2168: 0.08054588442837733
Position 5410: 0.07829447458028517
Position 1704: 0.05594595524182976
Position 3337: 0.047995672133890166
Position 4791: 0.045731961148039825
Position 889: 0.041644581317554094
Position 1125: 0.036054155251616926
Position 1553: 0.03247375525746713
Position 5163: 0.03000171285200092
Position 600: 0.0173270540723727
Position 4890: 0.017194614791655224
Position 4087: 0.015560798794413548
Position 1976: 0.01463379524904576
Position 629: 0.014562510966166143
Position 387: 0.01341306265367144
Position 2017: 0.011545213816488894
Position 1166: 0.00950939699844556
Position 347: 0.008675292097606932
Position 2130: 0.00843587467990893
Position 3960: 0.008031731014931882
Position 4612: 0.0076727716022342305
Position 1624: 0.0076146548130206935
Position 4779: 0.005621808942637707
Position 3287: 0.005262011500698421
Position 5522: 0.005155088236456912
Position 127: 0.004855618260886205
Position 1652: 0.004620599915402569
Position 2577: 0.00442128866937298
Position 4208: 0.0040331021677709085
Position 3010: 0.003978656435649358
Position 1656: 0.0036095534897867777
Position 395: 0.002936223837953732
Position 1642: 0.0026454773204873587
Position 4187: 0.0021703013015612954
Position 1547: 0.0021259194436241613
Position 1654: 0.0020589932619461196
Position 1640: 0.002014538924794362
Position 3590: 0.0019825265163970064
Position 4200: 0.0017027887883354462
Position 2035: 0.0016589744921525836
Position 4884: 0.001652070780779938
Position 584: 0.001510235905715636
Position 1815: 0.001340837008249752
Position 4368: 0.0012668679096042707
Position 5905: 0.0012205734883626127
Position 14: 0.001178148069764142
Position 1792: 0.0011727824641992069
Position 3351: 0.0010665319762843846
Position 3481: 0.0010193706713454863
Position 1638: 0.0010044442711716049
Position 1519: 0.0009116394223044881
Position 3824: 0.000909529422266434
Position 141: 0.0008927921487843838
Position 178: 0.000888741831559471
Position 5898: 0.0007741121438438103
Position 185: 0.0007445541312704304
Position 775: 0.0006818259865042533
Position 4472: 0.0006548216390139872
Position 419: 0.0006048748467518911
Position 4293: 0.00038819641568457335
Position 3316: 0.0003803501890027208
Position 1600: 0.0003782629770791469
Position 4304: 0.0003548688065020331
Position 209: 0.0002725466957157026
Position 5738: 0.0002544468847306709
Position 3815: 0.00022367285515468037
Position 1077: 0.0001796271976844059
Position 3343: 0.00016659149559950147
Position 2915: 0.00016324380994159985
Position 1820: 0.00013485204970556275
Position 3027: 0.00012817454402484999
Position 47: 0.00012237929407200906
Position 3000: 0.00011356699618375897
Position 874: 9.22362317577314e-05
Position 791: 8.693009025704482e-05
Position 1130: 8.253005030720177e-05
Position 3004: 6.455027672276226e-05
Position 3321: 6.425661571021373e-05
Position 3063: 5.484327311077538e-05
Position 196: 4.4027401171092775e-05
Position 1660: 3.971711673031866e-05
Position 1010: 3.7185662026439166e-05
Position 327: 3.388969067508062e-05
Position 3642: 2.108503407241376e-05
Position 1256: 2.031100781753637e-05
Position 3385: 1.4817249702951318e-05
Position 561: 1.3289375067280828e-05
Position 3273: 1.2283370043157941e-05
Position 456: 6.022892065796491e-06
Position 513: 5.643053766856064e-06
Position 3207: 4.72714195493477e-06
Position 3107: 4.722491592781847e-06
Position 467: 3.3840113731261124e-06
Position 318: 3.3560728149501277e-06
Position 88: 2.518760062668896e-06
Position 636: 1.7663723113625775e-06
Position 3794: 1.2574549619560586e-06
Position 16: 2.516369128028087e-07
Position 494: 2.6859749376778688e-09
Position 536: 1.7471994379909684e-10
Position 3012: 1.3905371627150324e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3432: 0.9817399263935402
Position 5799: 0.9050405118116327
Position 3145: 0.8858971844803935
Position 2914: 0.8665610673503544
Position 1279: 0.7553245362264275
Position 2616: 0.6875717047997445
Position 4690: 0.6786554910114608
Position 1938: 0.5191259326599431
Position 3987: 0.4833747644220847
Position 774: 0.40905457527600486
Position 4286: 0.28645295930954656
Position 4815: 0.22031155915702505
Position 4641: 0.194180242933698
Position 3884: 0.17654329139008818
Position 4408: 0.17653586864528412
Position 480: 0.17632301628940514
Position 2700: 0.16614479793388792
Position 4933: 0.15955317152771667
