Gene = TRAPPC13
index = 1478
Annotated 5SS: [   73 10336 11010 12747 22149 25849 27512 30620 33468 35864 37117 39351]
Annotated 3SS: [10266 10909 12661 22020 25775 27466 30601 33333 35664 37015 39199 39469]
SMsplice 5SS: [   73  7436 11010 12747 21515 22149 25849 27512 33468 37117 39351]
SMsplice 3SS: [ 7330 10909 12661 21396 22020 25775 27466 33333 37015 39199 39469]
top_k =  500
Partition function (log Z): -2.6179139039791988

Sorted 5' Splice Sites (High to Low Probability):
Position 11010: 0.9839641553251682
Position 22149: 0.9766283585264356
Position 73: 0.9486816568174
Position 33468: 0.9300052573057811
Position 12747: 0.9166704223081313
Position 37117: 0.9082227336087602
Position 27512: 0.8645762868813804
Position 7436: 0.805199801231712
Position 39351: 0.723148377139448
Position 25849: 0.6110100960911339
Position 21515: 0.5491299908623736
Position 10336: 0.462170038677413
Position 26015: 0.38198855324552816
Position 35864: 0.24021972354933
Position 25867: 0.22246184898101554
Position 22422: 0.1677059824418836
Position 5511: 0.14588644391301092
Position 37865: 0.13587779480797624
Position 37356: 0.11739282155609174
Position 9626: 0.11449216295966781
Position 630: 0.10602223131809478
Position 2955: 0.10526182685943546
Position 14827: 0.09016195617803063
Position 39014: 0.06691964056876966
Position 29580: 0.05134357328610099
Position 8030: 0.04552686310946831
Position 7592: 0.04196434158339439
Position 30203: 0.04074256658394116
Position 25711: 0.03897941291349177
Position 35150: 0.03545021423994939
Position 7116: 0.03089236858689505
Position 10375: 0.02977226604148784
Position 9850: 0.02659988506571379
Position 9644: 0.02244296531922564
Position 277: 0.02048511306402396
Position 1173: 0.01705295685900558
Position 7106: 0.015760866921756562
Position 9312: 0.014902743187951688
Position 7427: 0.01440335888303916
Position 29901: 0.013284930121513869
Position 387: 0.011799996541942871
Position 7123: 0.010842212490794138
Position 4588: 0.00950621475857687
Position 7207: 0.00836599503692999
Position 10624: 0.00832551832614096
Position 11928: 0.005623194757996413
Position 11748: 0.004828327206356594
Position 10482: 0.004459085780395903
Position 3237: 0.004320619895021194
Position 6237: 0.004092274222105272
Position 10127: 0.003805657471195109
Position 25789: 0.0032116746376136167
Position 10421: 0.0031229200141779396
