Gene = NAIF1
index = 909
Annotated 5SS: [731]
Annotated 3SS: [3420]
SMsplice 5SS: [731]
SMsplice 3SS: [5494]
top_k =  500
Partition function (log Z): -8.611398868424496

Sorted 5' Splice Sites (High to Low Probability):
Position 731: 0.4810463798490621
Position 131: 0.17998892703118316
Position 475: 0.16163129394897227
Position 454: 0.14938811420918233
Position 497: 0.13681794121476068
Position 127: 0.13312971651426936
Position 3948: 0.12863216949816103
Position 1175: 0.039621681703660615
Position 334: 0.03020705265587085
Position 1607: 0.02145474686129225
Position 1714: 0.01761910801147276
Position 313: 0.012269169525432437
Position 1124: 0.0065337710786476134
Position 466: 0.005951561849408452
Position 2537: 0.0056540885160685185
Position 120: 0.004638216801604702
Position 1033: 0.004260806695556877
Position 2054: 0.003727045603671272
Position 5564: 0.0035842704521340868
Position 353: 0.0031148502790741077
Position 4700: 0.002474308996967208
Position 1956: 0.001911726524563273
Position 3855: 0.0018924992862052628
Position 32: 0.0018056690870840008
Position 3890: 0.001785137149475778
Position 1820: 0.0017568835680236343
Position 3771: 0.001150551127222211
Position 3013: 0.0011298679383539244
Position 3952: 0.0008167467894258482
Position 1974: 0.0008083694435771281
Position 5725: 0.000684242612599559
Position 421: 0.00017122733656996553
Position 268: 4.780330902327622e-05
Position 59: 4.574481888617601e-05
Position 826: 3.436530886274331e-05
Position 715: 3.16460659769049e-05
Position 71: 2.8751000280507262e-05
Position 805: 2.7582998145994847e-05
Position 611: 2.7454767375538162e-05
Position 86: 1.8493215784265318e-05
Position 1739: 1.207949593387162e-05
Position 3542: 5.43744486162578e-06
Position 916: 1.187186013880532e-06
Position 382: 9.267156752837288e-07
Position 280: 1.6236158079435135e-13
Position 226: 4.500052328771197e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 5494: 0.583939268338891
Position 5532: 0.11745338890225923
Position 3812: 0.11327564768851314
Position 5686: 0.11293004306806512
Position 259: 0.07091814037733725
Position 3325: 0.06906283710544103
Position 1044: 0.051082105214626486
Position 232: 0.050170994776089016
Position 202: 0.04930717426986689
Position 3504: 0.036435612232561206
Position 407: 0.03131498080455995
Position 574: 0.027815214814541116
Position 4618: 0.027254854196885427
Position 1521: 0.023318379093144045
Position 1558: 0.017417064192547585
Position 647: 0.015656182862686125
Position 1871: 0.009765440231524359
Position 633: 0.009730297127291114
Position 2378: 0.009381150489252386
Position 703: 0.008801797595924374
Position 656: 0.007648154665746728
Position 3420: 0.007059905794834774
Position 3854: 0.006963162479541909
Position 237: 0.0068700741417103695
Position 4583: 0.0065812691151171275
Position 586: 0.006404727694222505
Position 3770: 0.005922130105725254
Position 580: 0.0056615397734449254
Position 664: 0.0056550117982671925
Position 912: 0.005360260022547815
Position 4456: 0.004741763718208754
Position 3361: 0.004584093233313523
Position 5572: 0.004362883185487405
Position 547: 0.0041008148118090535
Position 1760: 0.0039389193202283386
Position 2896: 0.003530900910316872
Position 1154: 0.003509253298367712
Position 3380: 0.002722059809771545
Position 1446: 0.0016514972140843417
Position 273: 0.0015329585198692744
Position 1056: 0.0013413926599869167
Position 4781: 0.001330898847915576
Position 267: 0.0010442020497363985
Position 1174: 0.0009966008954066768
Position 2353: 0.0008239853286956393
Position 5445: 0.0008118443864399823
Position 5910: 0.0006842426125995602
Position 1738: 0.0006447214721846131
Position 869: 0.0005469007178404578
Position 4860: 0.000546748078819609
Position 4406: 0.0004791231382261508
Position 1070: 0.00047424933696283236
Position 3330: 0.0002887677622453586
Position 3429: 0.0002196632245634112
Position 3506: 0.0002165972885905241
Position 242: 0.00021211427700736912
Position 204: 0.00018774401932963083
Position 246: 0.00016636836056617036
Position 294: 0.00015469697908112248
Position 2902: 0.00013760407089403377
Position 351: 0.00013705144407365858
Position 216: 0.0001280857901317363
Position 380: 0.00010958130964484422
Position 209: 9.103981952344063e-05
Position 261: 4.899412093704114e-05
Position 1491: 4.471896798404666e-05
Position 1938: 3.947012185589067e-05
Position 729: 3.096265986050407e-05
Position 944: 2.2078669469326707e-05
Position 409: 2.1330372178893794e-05
Position 557: 1.969239861259719e-05
Position 1697: 1.7593511355114227e-05
Position 377: 9.509920419136427e-06
Position 474: 8.703708206290791e-06
Position 288: 8.307825097405322e-06
Position 353: 6.980988734434591e-06
Position 1073: 6.716048543730323e-06
Position 522: 6.142286949419207e-06
Position 709: 5.936502082043132e-06
Position 519: 5.468624850884512e-06
Position 846: 4.580795882778699e-06
Position 214: 4.479037549405206e-06
Position 300: 3.539846821223774e-06
Position 303: 3.461071647986295e-06
Position 447: 2.9280928117130224e-06
Position 864: 2.7286844630045603e-06
Position 465: 2.234460492475127e-06
Position 123: 1.94749073433187e-06
Position 1481: 1.823957403634311e-06
Position 411: 8.881646254816935e-07
Position 453: 8.359881062285704e-07
Position 285: 5.409445153237972e-07
Position 426: 4.806734652733461e-07
Position 429: 1.772660510126146e-07
Position 752: 1.448866758002601e-07
Position 492: 2.9586516726589905e-08
Position 804: 7.741428879304251e-09
Position 104: 9.028388354970276e-10
Position 100: 6.985041145734525e-10
Position 179: 5.09826349573382e-10
Position 142: 5.458604225673768e-11
Position 152: 1.567728949614198e-11
Position 155: 1.1830104328402652e-11
Position 157: 6.068304719494915e-12
Position 160: 2.54954479685811e-12
Position 148: 1.955235033020829e-12
Position 135: 1.2877877706610958e-12
