Gene = PERM1
index = 1012
Annotated 5SS: [2149 4531]
Annotated 3SS: [4404 4759]
SMsplice 5SS: [ 268 2149]
SMsplice 3SS: [2048 4759]
top_k =  500
Partition function (log Z): -6.62880248136563

Sorted 5' Splice Sites (High to Low Probability):
Position 2149: 0.9477911208664049
Position 268: 0.5315231911701359
Position 451: 0.5075350393170013
Position 4813: 0.412092006692053
Position 4531: 0.26011909826083324
Position 252: 0.108618911435866
Position 1810: 0.05640443373949872
Position 691: 0.046258878520238585
Position 5074: 0.030979778208257605
Position 754: 0.028448742652899723
Position 722: 0.024829404840953577
Position 260: 0.023989848141462676
Position 5060: 0.02226982644782587
Position 295: 0.020105271619049854
Position 4924: 0.019745242266840293
Position 1844: 0.012855697874561025
Position 1509: 0.010955108401156226
Position 561: 0.007381697806148845
Position 577: 0.005078959820116048
Position 5383: 0.0048892141557411815
Position 388: 0.0036551675280320187
Position 1880: 0.003483511265233287
Position 2720: 0.002703309192492772
Position 1974: 0.0018491589063972626
Position 5101: 0.0009399153892604336
Position 4488: 0.0008469334122818827
Position 4388: 0.0008104689119943458
Position 1422: 0.0007745485543931467
Position 1272: 0.000518036725642154
Position 4537: 0.00044016888647438457
Position 5693: 0.0004046443457159441
Position 565: 0.00026104727906216133
Position 2741: 0.0002557661966217595
Position 1480: 0.0002511618354086143
Position 2566: 0.00018736127284092489
Position 2773: 0.0001002129513741838
Position 4711: 8.927255910325078e-05
Position 2681: 6.105760138022365e-05
Position 2726: 5.641019796948732e-05
Position 4600: 4.879454154345839e-05
Position 2066: 3.0973875941754057e-05
Position 2711: 2.792828732877415e-05
Position 71: 1.9547706317650642e-05
Position 121: 1.6502214190366848e-05
Position 73: 1.3899583076903099e-05
Position 5093: 1.1410568796182576e-05
Position 14: 9.141738321296224e-06
Position 314: 6.736087380749351e-06
Position 473: 6.0973265966139206e-06
Position 116: 5.193333126788562e-06
Position 21: 2.446999531680196e-06
Position 31: 2.2731063740721506e-06
Position 5570: 1.3602710647236598e-06
Position 50: 9.765370140289178e-07
Position 154: 5.671220231181373e-07
Position 371: 1.955111365330251e-07
Position 234: 1.705617747863182e-07
Position 145: 1.9127364897266656e-08
Position 276: 4.983058241286004e-09
Position 338: 3.0507222764634237e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2048: 0.9486271609332316
Position 4759: 0.5236425717790709
Position 4643: 0.31815280517906763
Position 358: 0.18460482433577718
Position 5246: 0.1823956807145367
Position 5433: 0.1350600783831774
Position 4441: 0.1333685274981096
Position 4470: 0.09861721913175384
Position 608: 0.07451500529995508
Position 4972: 0.07074323903946458
Position 5155: 0.07067418949725017
Position 5499: 0.04213076728024067
Position 1655: 0.039253654044848214
Position 4404: 0.037362317783067554
Position 5382: 0.028766387609577924
Position 4812: 0.022495423679471275
Position 1745: 0.01502833616270966
Position 4373: 0.013544425025145804
Position 1390: 0.013213238476438106
Position 367: 0.011976033926461594
Position 4707: 0.011455196424760263
Position 637: 0.010320385715372683
Position 4445: 0.009395152086045779
Position 5159: 0.008729517457007
Position 330: 0.006951916487495112
Position 4688: 0.006263929553313376
Position 1723: 0.005955181437828311
Position 327: 0.005896152301189084
Position 487: 0.0057608013266799065
Position 371: 0.005276263270910538
Position 2005: 0.005141485632510198
Position 2537: 0.005061916055576967
Position 5645: 0.004674043104666402
Position 1670: 0.003291449783019307
Position 4885: 0.0027845588675657618
Position 2565: 0.002654170575192377
Position 1351: 0.0025805179713764776
Position 410: 0.0022099414956658937
Position 4917: 0.002092329283384471
Position 4912: 0.0019278125428507415
Position 1863: 0.001567894439347276
Position 2263: 0.0015664802196856543
Position 1705: 0.0015441473043779153
Position 5504: 0.0012851654494375714
Position 5296: 0.0012098155759189535
Position 5785: 0.0011680743544639992
Position 1586: 0.001164096250459186
Position 1778: 0.0011357104006204345
Position 2510: 0.0010611193786943184
Position 4387: 0.0010201533105797555
Position 2413: 0.0008808159525026923
Position 588: 0.0008756424572885531
Position 514: 0.0008539059812242614
Position 5534: 0.0007991547472852123
Position 2266: 0.0007103760940847408
Position 4530: 0.0006556569620730738
Position 1578: 0.0006334019301783433
Position 4720: 0.0006264350910775889
Position 4724: 0.0005890522738399307
Position 2616: 0.0005695148016126552
Position 2452: 0.0005394235043541173
Position 4904: 0.0005139773936513336
Position 786: 0.00047994003865971957
Position 2140: 0.00044589914134505245
Position 500: 0.0004329850171454707
Position 2667: 0.00039207304191206713
Position 5569: 0.00035437654696074064
Position 1128: 0.0003329067835729395
Position 4329: 0.000324042221275265
Position 541: 0.0003057975179313606
Position 2749: 0.0002635051721819726
Position 405: 0.00024252591860518253
Position 1298: 0.00024067214058294493
Position 473: 0.00022362232958322476
Position 1534: 0.00021254120292228874
Position 4368: 0.00021022905717907081
Position 2581: 0.00019922540309838806
Position 2647: 0.00018637530104791594
Position 644: 0.00017077915759254692
Position 4736: 0.00015881940358162627
Position 1248: 0.00013901496279044223
Position 2078: 0.00012924805708178263
Position 3313: 0.00011766950084900734
Position 1973: 0.00010349239527119661
Position 1175: 9.083221657441583e-05
Position 2436: 7.395764740620575e-05
Position 734: 7.31218970908991e-05
Position 2105: 5.849219216816314e-05
Position 2347: 5.7491039957349125e-05
Position 2423: 5.43410955301014e-05
Position 2171: 4.836867898703508e-05
Position 721: 4.606550688165055e-05
Position 1947: 8.934045665955456e-06
Position 428: 6.369189282434067e-06
Position 416: 4.9269565919460284e-06
Position 4550: 3.800381334628146e-06
Position 188: 2.5689050511456303e-06
Position 302: 1.3360328076549607e-06
Position 1066: 7.412737842379508e-07
Position 455: 4.533069047811832e-07
Position 572: 2.9527694978875764e-07
Position 699: 2.727297063672969e-07
