Gene = H2afz
index = 531
Annotated 5SS: [ 210  724 1147 1654]
Annotated 3SS: [ 645 1032 1523 1898]
SMsplice 5SS: [ 724 1147 1654]
SMsplice 3SS: [1070 1523 1898]
Partition function (log Z): 0.07899795635917423

Sorted 5' Splice Sites (High to Low Probability):
Position 1654: 0.972718177926415
Position 1147: 0.9088508194782661
Position 724: 0.4967114669794265
Position 210: 0.47343422035749944
Position 200: 0.10768932986601491
Position 1474: 0.029074929102912917
Position 653: 0.016944940321491395
Position 117: 0.0075439441427103526
Position 748: 0.006782724045582713
Position 1563: 0.006418280425139735
Position 1157: 0.006325387660264443
Position 215: 0.005301344293648945
Position 1524: 0.003460344575222139
Position 1648: 0.0015817003077940848
Position 728: 0.001454283042844643
Position 2022: 0.001061428579022719
Position 348: 0.0010367664181981893
Position 1412: 0.0010196705616851629
Position 154: 0.0007910617335870844
Position 896: 0.0005974600260023008
Position 387: 0.0005513724325338474
Position 168: 0.00044065731826689505
Position 271: 0.0004272754794227527
Position 1739: 0.0003490633966028343
Position 183: 0.0003399063214900449
Position 1435: 0.00032845592975015074
Position 26: 0.00032521720557413577
Position 1651: 0.0002945947107755575
Position 222: 0.00026942477000138724
Position 2038: 0.0002582328112613266
Position 314: 0.0002460777002910874
Position 1165: 0.00021628670086276973
Position 1732: 0.0002102731667834254
Position 917: 0.0001965858180376057
Position 130: 0.00019428476716133213
Position 1131: 0.00017544463784845604
Position 592: 0.00016611872346643738
Position 1314: 0.0001477759678801179
Position 459: 0.00012029437291264897
Position 2018: 0.00011981711339849838
Position 1341: 0.00011930459813918587
Position 327: 0.00011875533566412338
Position 70: 0.0001186873048188527
Position 1752: 0.00011703784684027955
Position 855: 0.00011315757682692206
Position 1354: 0.00010409234069939958
Position 2190: 8.777588623981063e-05
Position 921: 7.493744487562267e-05
Position 2193: 7.097646154378937e-05
Position 1363: 7.027690206352677e-05
Position 1218: 6.70324815037621e-05
Position 2071: 6.52048661030596e-05
Position 306: 6.38385972561246e-05
Position 1800: 6.27969138717715e-05
Position 867: 5.636052435081193e-05
Position 1658: 5.370163248718538e-05
Position 1366: 4.904435600984816e-05
Position 1199: 4.577150007059059e-05
Position 694: 4.339609057266012e-05
Position 1570: 4.2777789714705475e-05
Position 568: 3.798705453691579e-05
Position 1453: 3.576077978545227e-05
Position 1110: 3.0657301119090174e-05
Position 1811: 2.985472891207586e-05
Position 1286: 2.8090216648970682e-05
Position 2089: 2.6615029571511982e-05
Position 1003: 2.437484006350785e-05
Position 105: 2.2624967797943628e-05
Position 983: 2.0835350279312625e-05
Position 2011: 1.950363522934023e-05
Position 1713: 1.923897044279026e-05
Position 1955: 1.9046645582387747e-05
Position 1316: 1.7304396589192942e-05
Position 44: 1.425354373220565e-05
Position 830: 1.3001589731508159e-05
Position 823: 1.2250290329134216e-05
Position 1007: 1.2187826653010096e-05
Position 900: 1.0209073896949032e-05
Position 1603: 9.125500225593903e-06
Position 764: 8.465476404889709e-06
Position 743: 8.344901107657477e-06
Position 999: 7.723310555420766e-06
Position 884: 7.274863927826758e-06
Position 1871: 7.147817486269412e-06
Position 783: 6.850663998110992e-06
Position 1431: 6.345630567657507e-06
Position 828: 6.296050948770322e-06
Position 2046: 6.0708546651107105e-06
Position 2322: 5.962961947687893e-06
Position 934: 4.923584869362178e-06
Position 1835: 4.791228169113302e-06
Position 1787: 3.5466964850937853e-06
Position 350: 3.337482103807492e-06
Position 2136: 3.049861145442044e-06
Position 2197: 2.9540064525434874e-06
Position 1108: 2.8263909128056145e-06
Position 1415: 2.755910603094977e-06
Position 804: 2.4922090871786397e-06
Position 504: 1.9700827106442454e-06
Position 1478: 1.8009428133527123e-06
Position 1090: 1.4265479638336982e-06
Position 898: 1.3890401333288383e-06
