Gene = 2210017I01Rik
index = 29
Annotated 5SS: [268]
Annotated 3SS: [2220]
SMsplice 5SS: [268]
SMsplice 3SS: [2220]
Partition function (log Z): -9.847183717989349

Sorted 5' Splice Sites (High to Low Probability):
Position 268: 0.9520525397575429
Position 1583: 0.11772192999347139
Position 2320: 0.030461884318708558
Position 2312: 0.019356314697587956
Position 1053: 0.018472012442366067
Position 392: 0.014733705915040056
Position 1897: 0.009304531630417704
Position 1386: 0.006147808351092175
Position 807: 0.005587033713472207
Position 1930: 0.005547615028273137
Position 1692: 0.005147880741191461
Position 1434: 0.0049525237417142156
Position 1009: 0.004878257045746278
Position 376: 0.004242776067677663
Position 2006: 0.004217877677590892
Position 273: 0.002165819727900757
Position 754: 0.0021515544508310977
Position 732: 0.002105949369438708
Position 763: 0.0018130509405226312
Position 346: 0.0015328334961134508
Position 1972: 0.0012304414426251497
Position 2298: 0.0010777471521461223
Position 922: 0.0009037549392493272
Position 1925: 0.0008146101926035088
Position 672: 0.0008102443016446443
Position 2333: 0.0007397893275169981
Position 2023: 0.0007206320753605075
Position 1029: 0.0006364805398700302
Position 278: 0.0005845548828131575
Position 1536: 0.0005599178429569735
Position 1112: 0.00041533365211767755
Position 687: 0.00039819795802514206
Position 1251: 0.000389738862463022
Position 736: 0.0003018787683534026
Position 2345: 0.000292233986685766
Position 836: 0.00028778179861401756
Position 121: 0.00028284220577745183
Position 1902: 0.00022671294327710614
Position 1001: 0.0002167251145122087
Position 567: 0.00018408950041474037
Position 2393: 0.00017530985044648248
Position 205: 0.00013443004062695067
Position 2522: 0.00013192913394439158
Position 1517: 0.00012918083005313848
Position 1013: 0.0001142282561500614
Position 2492: 9.993893418271138e-05
Position 2203: 9.902748784622994e-05
Position 406: 8.58921811294699e-05
Position 252: 6.794960559133708e-05
Position 2436: 5.9703247751718955e-05
Position 1063: 5.9423690421776164e-05
Position 1943: 5.837215594394666e-05
Position 322: 5.810806566180981e-05
Position 495: 5.512942245828523e-05
Position 1815: 5.348401015611399e-05
Position 1399: 5.1386536192393246e-05
Position 1082: 5.0834142460200654e-05
Position 1407: 4.9789607593808125e-05
Position 1389: 4.846465363979911e-05
Position 1238: 4.768266915410176e-05
Position 1017: 4.721936215554616e-05
Position 1438: 4.0908851186550065e-05
Position 2288: 3.999634496028119e-05
Position 1771: 3.737503176019717e-05
Position 425: 3.687032385593786e-05
Position 1298: 3.1544365704673035e-05
Position 1133: 3.1076621149330313e-05
Position 1541: 3.082403896631533e-05
Position 1123: 2.768501508024383e-05
Position 6: 2.7545865052158562e-05
Position 1826: 2.7071424295999555e-05
Position 740: 2.595559141229247e-05
Position 12: 2.5897060997654474e-05
Position 2268: 2.468569479659755e-05
Position 482: 2.3886782387222396e-05
Position 1331: 2.3867846000873194e-05
Position 18: 2.3062408483984695e-05
Position 24: 2.1140632991661197e-05
Position 113: 2.083917767344016e-05
Position 1511: 2.030038386083227e-05
Position 2466: 1.855317061164976e-05
Position 2371: 1.6765865075995192e-05
Position 95: 1.5194016966430375e-05
Position 926: 1.5068738478592994e-05
Position 707: 1.490406066277906e-05
Position 1550: 1.2888765870178716e-05
Position 77: 1.2498862652316852e-05
Position 993: 1.1306030254910087e-05
Position 695: 1.1159322494341318e-05
Position 2501: 9.811623900855974e-06
Position 1172: 8.895203857071866e-06
Position 2459: 8.003188676338783e-06
Position 129: 7.972861522663357e-06
Position 1206: 7.852465834820236e-06
Position 1587: 7.738497475360972e-06
Position 1441: 7.351393530774093e-06
Position 135: 6.983816799108352e-06
Position 2369: 6.975345938709862e-06
Position 822: 6.665298892913517e-06
Position 894: 6.487957216418465e-06
Position 1936: 6.377685955034709e-06
Position 1267: 6.194925748489926e-06
Position 1020: 6.183847307330302e-06
Position 1988: 6.031911397796841e-06
Position 143: 6.021368979744909e-06
Position 1015: 5.646731269931993e-06
Position 929: 5.543791725341271e-06
Position 2468: 5.48876777921857e-06
Position 163: 5.1817366253104275e-06
Position 169: 5.049529170827743e-06
Position 175: 4.792198942801501e-06
Position 181: 3.987844510033219e-06
Position 1501: 3.6182353962037614e-06
Position 2244: 3.526819066894014e-06
Position 468: 3.198360821401732e-06
Position 1075: 2.8506542563756123e-06
Position 2199: 2.555162886429878e-06
Position 2012: 2.293297730409312e-06
Position 1160: 2.284998736236197e-06
Position 1148: 2.2225416911198747e-06
Position 1141: 2.178506650711907e-06
Position 1754: 2.100709880388764e-06
Position 2231: 1.6463030921609598e-06
Position 705: 1.3985474784075926e-06
Position 2095: 1.3819897110259708e-06
Position 1627: 1.377432275931616e-06
Position 151: 1.328019988194503e-06
Position 639: 1.166395403347852e-06
Position 1057: 1.1306762530034726e-06
Position 1660: 1.0599827396430604e-06
Position 2061: 9.740350154287092e-07
Position 1090: 9.320581230545106e-07
Position 1444: 8.967750520011525e-07
Position 2109: 8.580390237612386e-07
Position 2207: 8.511669135374862e-07
Position 2177: 8.164962036564328e-07
Position 187: 8.070015110111854e-07
Position 470: 8.014165350419316e-07
Position 815: 4.297181882927954e-07
Position 698: 2.014757321673264e-07
Position 2611: 1.6795030317425602e-07
Position 2599: 1.5030358113608083e-07
Position 1630: 8.341819781536137e-08
Position 2130: 5.579041776364901e-08
Position 2622: 2.0272401338257217e-08
Position 2650: 3.647266303925813e-09
Position 2684: 3.973478321683454e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2220: 0.6932177550633181
Position 1453: 0.07289171236104593
Position 654: 0.06731726238938023
Position 2655: 0.056884995543072664
Position 1247: 0.05419113625932016
Position 2622: 0.02864553071733354
Position 2187: 0.021407845808823055
Position 1539: 0.021395697715165033
Position 2451: 0.017392958168883182
Position 2345: 0.01614519242480869
Position 1001: 0.01266966129336178
Position 2599: 0.011868875838830133
Position 1762: 0.011832493227679068
Position 1331: 0.01170162958451057
Position 2077: 0.010947510978439332
Position 540: 0.010013626210038163
Position 1048: 0.009260974108470538
Position 373: 0.0083263097869022
Position 2253: 0.008302482625198105
Position 2405: 0.007208572893927859
Position 1111: 0.0071865905125545445
Position 913: 0.006499611609514778
Position 1742: 0.006124134483396687
Position 1701: 0.005776231111764022
Position 2136: 0.0035472509518684058
Position 806: 0.0026356362532934784
Position 468: 0.002613018797103357
