Gene = Lor
index = 642
Annotated 5SS: [49]
Annotated 3SS: [1141]
SMsplice 5SS: [49]
SMsplice 3SS: [1141]
Partition function (log Z): -8.505666307880631

Sorted 5' Splice Sites (High to Low Probability):
Position 49: 0.6914466505342194
Position 192: 0.15260650030843576
Position 144: 0.14968670720620558
Position 904: 0.11268935208461957
Position 1057: 0.01632493854820418
Position 501: 0.007941848303258923
Position 111: 0.004229517260889966
Position 298: 0.0029618971108780912
Position 416: 0.0025362711345815
Position 2622: 0.0024562303692428782
Position 1143: 0.002124102755635749
Position 1385: 0.001076724569777702
Position 496: 0.0009650318441995907
Position 619: 0.0008855702950473304
Position 1352: 0.0008263613057338567
Position 597: 0.0005230339304383594
Position 757: 0.00044222004812141983
Position 912: 0.00036505948647678305
Position 200: 0.0003337160388927323
Position 366: 0.00027891118506188456
Position 40: 0.00025372146468632636
Position 1204: 0.0002391039465036185
Position 1337: 0.0001721350085376838
Position 1398: 0.00015259803917999626
Position 76: 0.00013149317106323142
Position 604: 0.00010707959056900976
Position 1274: 9.328890168612391e-05
Position 657: 8.253590876691709e-05
Position 151: 8.034751057034137e-05
Position 405: 6.51214137559132e-05
Position 216: 6.104257975725607e-05
Position 1047: 6.0040282288070714e-05
Position 956: 5.996997018335169e-05
Position 918: 5.696262502541844e-05
Position 722: 5.684116314062178e-05
Position 223: 5.394849430710118e-05
Position 2627: 4.698311814574286e-05
Position 55: 4.4079951110425914e-05
Position 239: 4.297296311416379e-05
Position 972: 3.4989110171189466e-05
Position 1370: 3.39070345059319e-05
Position 780: 2.6891029486131497e-05
Position 1340: 2.645091681562458e-05
Position 2567: 2.628150836864471e-05
Position 53: 2.614883610475682e-05
Position 804: 2.559213637921247e-05
Position 475: 2.550846545429226e-05
Position 2558: 2.326634592914191e-05
Position 1511: 2.1569700123563108e-05
Position 1601: 1.8168800256073823e-05
Position 878: 1.678878818515292e-05
Position 610: 1.419381252260278e-05
Position 1451: 1.3309350614955071e-05
Position 1880: 1.2745158367780286e-05
Position 2713: 1.2589428652440965e-05
Position 2671: 1.0348112772665655e-05
Position 789: 1.0086730446200909e-05
Position 1226: 9.940111470635085e-06
Position 1946: 9.904201728579952e-06
Position 1415: 9.839742163476127e-06
Position 189: 8.755711074774568e-06
Position 1986: 8.28222739560318e-06
Position 582: 8.191616992151977e-06
Position 218: 8.110724574683761e-06
Position 85: 7.483537724249919e-06
Position 543: 7.470357520598507e-06
Position 1625: 7.3065694302584254e-06
Position 2294: 7.234738490759978e-06
Position 2453: 7.202529842340379e-06
Position 876: 6.7590261907221036e-06
Position 1050: 6.584510106651894e-06
Position 92: 6.478771239830287e-06
Position 1785: 6.463830593519984e-06
Position 1614: 6.160175599869266e-06
Position 2309: 6.098880537504907e-06
Position 940: 4.8567772156193715e-06
Position 1019: 4.552228248938313e-06
Position 1208: 4.372345019311908e-06
Position 1355: 4.322203075579101e-06
Position 1032: 4.005632530235343e-06
Position 1322: 3.7783341162876663e-06
Position 2297: 3.1361278914033075e-06
Position 1061: 2.6325688596822887e-06
