Gene = Tnp1
index = 1130
Annotated 5SS: [185]
Annotated 3SS: [583]
SMsplice 5SS: [185]
SMsplice 3SS: [583]
Partition function (log Z): -6.271832195073279

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.7067036379782197
Position 196: 0.28041078543202747
Position 164: 0.011661213326229172
Position 125: 0.000849339660999872
Position 422: 0.0001954615301885235
Position 189: 6.79335851000226e-05
Position 154: 5.3816480872187306e-05
Position 266: 2.8958683458345585e-05
Position 464: 2.251377088054271e-05
Position 269: 2.2431941410611893e-05
Position 41: 2.1884094897250996e-05
Position 48: 4.084099529206742e-06
Position 299: 3.137554020654417e-06
Position 215: 2.993319424117927e-06
Position 376: 2.345723398231378e-06
Position 505: 2.0966209193432187e-06
Position 115: 1.2060698961830784e-06
Position 328: 1.086289528697463e-06
Position 541: 8.136679876873782e-07
Position 370: 3.718628811463144e-07
Position 384: 2.7600191043873594e-07
Position 635: 2.1467684809055157e-07
Position 342: 1.7806879142784011e-07
Position 394: 1.4264284156646357e-07
Position 320: 1.1166504931744344e-07
Position 336: 8.043466233104864e-08
Position 562: 7.612174271242568e-08
Position 638: 6.233775174676882e-08
Position 396: 5.0994621844116946e-08
Position 360: 4.7928949403101734e-08
Position 413: 4.6284775313169546e-08
Position 609: 2.255442421703346e-08
Position 587: 1.861090633872121e-08
Position 354: 1.7998558952153352e-08
Position 559: 8.153472536320935e-09
Position 347: 5.671955227985398e-09
Position 551: 2.9943784334608658e-09
Position 553: 1.4698859324917997e-09
Position 570: 6.247783930267406e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 583: 0.9563360062688132
Position 587: 0.030388755308526662
Position 518: 0.0050212549258477415
Position 464: 0.0029485105321837486
Position 416: 0.0021278351204951757
Position 370: 0.0010345658928972907
Position 421: 0.0005511010519997461
Position 375: 0.0005167370889996401
Position 659: 0.0002549641947063259
Position 624: 0.00021116223463898655
Position 241: 0.0001634747474197839
Position 668: 8.605166497849225e-05
Position 259: 6.709160333050215e-05
Position 394: 6.243572998910338e-05
Position 438: 5.902977894501999e-05
Position 730: 4.2315458455723374e-05
Position 477: 3.792795474013734e-05
Position 525: 3.693194267611617e-05
Position 662: 3.224597806478535e-05
Position 676: 9.576839974985962e-06
Position 746: 8.132989024141506e-06
Position 297: 7.592191977559387e-06
Position 702: 7.412003654477654e-06
Position 290: 6.757048166923734e-06
Position 692: 6.325383768938669e-06
Position 503: 5.646063901306601e-06
Position 284: 5.54877885046416e-06
Position 706: 5.147965723498027e-06
Position 305: 4.2979001043266705e-06
Position 714: 2.507415151320022e-06
Position 720: 2.3487377213018978e-06
Position 276: 2.2552620879406378e-06
Position 694: 1.0108429353484881e-06
Position 111: 9.492697226337695e-07
Position 226: 7.566492306582102e-07
Position 266: 6.508738894256197e-07
Position 269: 4.379210300947546e-07
Position 255: 4.3196777173535534e-07
Position 299: 3.9845560783154324e-07
Position 678: 3.360710228516818e-07
Position 732: 2.900735012217208e-07
Position 167: 9.913992257369996e-08
Position 120: 5.82068985621849e-08
Position 137: 2.4081374907905743e-08
Position 124: 2.263473556251116e-08
Position 189: 1.8449366753228862e-08
Position 207: 1.2572030841514769e-08
Position 131: 1.018728166569334e-08
Position 215: 1.0173793461577268e-08
Position 135: 4.468439935664791e-09
Position 204: 3.4356278024064224e-09
Position 122: 1.900969120488807e-09
Position 152: 1.5265437012293764e-09
Position 150: 1.1261906776959504e-09
Position 164: 5.693049748360116e-10
Position 200: 2.7316390600338465e-10
