Gene = 1700031L13Rik
index = 17
Annotated 5SS: [105]
Annotated 3SS: [1595]
SMsplice 5SS: [407]
SMsplice 3SS: [622]
Partition function (log Z): -9.635295994450255

Sorted 5' Splice Sites (High to Low Probability):
Position 407: 0.9693451380321484
Position 1419: 0.05864176021031199
Position 115: 0.052863322348581335
Position 1322: 0.036203218897487045
Position 1233: 0.030552501870145892
Position 1500: 0.011069314252973373
Position 203: 0.001676165342690572
Position 146: 0.0011871275996559268
Position 537: 0.0008942787067417054
Position 44: 0.000845561428455159
Position 396: 0.0008402662682827011
Position 565: 0.0007858918107621541
Position 1938: 0.000759358915438273
Position 1775: 0.0006437341266174271
Position 1798: 0.0005622842637470492
Position 733: 0.0005080275939398361
Position 95: 0.0004841447555045312
Position 4: 0.0003259314433826878
Position 1247: 0.00032184580076688164
Position 89: 0.00031980673180415027
Position 779: 0.0003132224149490742
Position 551: 0.0003092548227844891
Position 618: 0.00027502466552644403
Position 868: 0.00024612026157542073
Position 841: 0.00020387379987590082
Position 1993: 0.0001934604058196132
Position 373: 0.0001841051014634919
Position 1975: 0.00017337003089877036
Position 1019: 0.00016869252286292612
Position 590: 0.00016329224529339431
Position 1125: 0.00016235349661813058
Position 738: 0.00016157953663133712
Position 105: 0.00014580108623991883
Position 1085: 0.00014129979161426774
Position 2105: 0.00012516711426844988
Position 1724: 0.00012415682631352669
Position 906: 0.00010571437717791627
Position 1090: 7.934237209389687e-05
Position 1734: 7.653411996842987e-05
Position 2031: 7.498140746778437e-05
Position 1362: 6.591322809795858e-05
Position 1750: 6.241874703060363e-05
Position 965: 5.354754719738218e-05
Position 48: 5.0694273237434346e-05
Position 2091: 4.7947492119943626e-05
Position 1970: 4.742214574558802e-05
Position 1267: 4.653957461803035e-05
Position 1434: 4.434818834261609e-05
Position 1445: 4.4301689584537647e-05
Position 1550: 4.322175390424238e-05
Position 1423: 3.643994656961431e-05
Position 1901: 3.559053199882811e-05
Position 2015: 3.5185288297507337e-05
Position 16: 3.499991483818708e-05
Position 1704: 3.2623396019155277e-05
Position 1679: 3.2034665883036724e-05
Position 1463: 2.926990201486972e-05
Position 605: 2.569658066121129e-05
Position 1206: 2.5681507002049966e-05
Position 260: 2.45610319937938e-05
Position 1292: 2.3805960894652136e-05
Position 622: 2.2575890882137866e-05
Position 892: 2.0233225820390207e-05
Position 1822: 1.9880003976467125e-05
Position 1486: 1.9190187294623588e-05
Position 424: 1.8982716200902904e-05
Position 1216: 1.6861696281514643e-05
Position 1297: 1.6114601707752707e-05
Position 666: 1.4083143526250821e-05
Position 726: 1.2568312087162288e-05
Position 343: 1.1466785268371985e-05
Position 1904: 9.461530195069698e-06
Position 314: 9.396037074945162e-06
Position 1188: 9.042466415468648e-06
Position 1673: 8.994839913021112e-06
Position 1369: 8.945134489157495e-06
Position 628: 7.250895147092997e-06
Position 507: 6.5766541718857745e-06
Position 476: 5.788224362848647e-06
Position 1472: 5.72605861768913e-06
Position 1027: 4.391241283624232e-06
Position 2004: 3.948331208541599e-06
Position 2036: 3.355830778570757e-06
Position 1942: 3.254622885507967e-06
Position 1595: 3.2029041758280245e-06
Position 887: 2.9679150059982577e-06
