Gene = Sprr2j-ps
index = 1022
Annotated 5SS: [82]
Annotated 3SS: [718]
SMsplice 5SS: [82]
SMsplice 3SS: [718]
Partition function (log Z): -10.079029950090362

Sorted 5' Splice Sites (High to Low Probability):
Position 82: 0.8847309736688211
Position 246: 0.0766779755816519
Position 150: 0.02719113508790824
Position 768: 0.004288401810703676
Position 609: 0.004213756108214437
Position 29: 0.0025913506635165287
Position 553: 0.0012316189731569312
Position 525: 0.001134295210553698
Position 250: 0.0006150555450674875
Position 117: 0.0006120325611286297
Position 520: 0.0005168734432758367
Position 263: 0.0004575656648122152
Position 49: 0.00043957710173954563
Position 472: 0.0003697070520849274
Position 392: 0.0002606274706235234
Position 100: 0.0002602955097976774
Position 349: 0.0002602545902343857
Position 660: 0.0002467823495085652
Position 135: 0.00018989709726064473
Position 189: 0.00017319413331027926
Position 57: 0.00015234650896329762
Position 88: 0.00015180810653769392
Position 16: 0.00013017027346460346
Position 127: 0.00011049391767349472
Position 86: 0.00010949495804440221
Position 581: 0.00010730658536047109
Position 622: 9.47663104402985e-05
Position 425: 9.035791262506732e-05
Position 829: 8.477751348667147e-05
Position 653: 8.422608514730562e-05
Position 203: 8.129551291421835e-05
Position 6: 6.876873096064442e-05
Position 856: 6.672039288518494e-05
Position 490: 5.555180593588129e-05
Position 103: 5.0371975531346515e-05
Position 464: 4.858000433215701e-05
Position 108: 4.2227000180238536e-05
Position 802: 4.1302334499948585e-05
Position 883: 3.7447038606136e-05
Position 429: 3.185591546317687e-05
Position 291: 1.5544169494582112e-05
Position 418: 1.4966734742550342e-05
Position 253: 1.4849628981062947e-05
Position 304: 1.3979161838275794e-05
Position 961: 1.3381646310845293e-05
Position 865: 1.1714023564669616e-05
Position 470: 9.162208422973048e-06
Position 509: 7.853263548756865e-06
Position 786: 6.38591079010297e-06
Position 1072: 6.179272111179889e-06
Position 816: 5.715275534440973e-06
Position 359: 4.5884181851087414e-06
Position 991: 3.2306809585311833e-06
Position 907: 3.0569205562039964e-06
Position 788: 2.999070931079053e-06
Position 168: 1.7240909469621616e-06
Position 843: 1.1867398324815519e-06
Position 740: 1.0373459972285571e-06
Position 293: 8.446276421039905e-07
Position 932: 8.363863707624052e-07
Position 994: 4.905619480180348e-07
Position 1118: 4.206609065314857e-07
Position 1037: 3.2020996778585675e-07
Position 758: 1.982939865177013e-07
